date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
6.27.금,컵밥을 첨 먹어본 것은 10년 전 노량진 대공뭔시대때. 빼곡한 수험생들 사이에서 막 취업한 난 지혼자 우쭐대며 풀옵션을 큰소리? 주문했었죠. 그리곤 왜 맛있건 다 때려넣었는데 이렇게 맛이 없지? 하고 의아했고 잊고 살아는데  무학여고앞에서 우연히 다시 먹어본 봉구킹 봉구퀸은 제가 컵밥에서 기대하던 바로 그 맛이 나더라구요. 개인적 팁으론 매장이나 퍼장 후 바로 먹기보다는 밥이 차가운 식은 밥이 되기를 기다렸다가 따뜻한 (컵)라면과 먹으면 진짜 이게 k-푸드로 안뜨는게 원통합니다.  무학여고점의 큰 장점은 사장부부님께서 진짜 너무 친절하십니다. 도핑된 친절이 아닌 네츄럴 친절함이세요. 매장에서 바닥 긁으며 먹으면 '좀 더 줄까?' 하실 것같은 급의 친절함(물론 현실은 추가 주문해야합니다)
9.1.월,"변함없는 밥버거 맛, 친절한 직원분 ~ 오랫동안 유지해주셔서 감사한 곳이에요 !"
8.19.화,맛있고 스피드하게 음식이 나와요
5.10.토,오랜만에 갓는데 역시 맛잇네요
7.14.월,햄치즈 밥버거 맛있어요 사장님이 친절하세요
24.12.31.화,병원존 다녀와서 꼭 들르는 봉구스 존맛탱! 추억의 닭갈비+계란추가는 국룰 부부 사장님께서 운영하시는데 손맛이 넘 좋고 친절하세요 오래오래 더 계셨으면!
1.12.일,언제나 친절함에 기분 젛아지는 매장입니다. 나만의 봉구킹 맛있게 먹는 법 포장을 해서 책상 위에 던져놓고 찬 밥이 될 때까지 기다렸다가 뜨거운 라면과 함께 먹으면 더 맛있는 거 같아요
24.12.24.화,평소 봉구스 밥버거가 궁금은 했었다. 하지만 햄버거덕후로 왠지 변칙 버거라 생각되고 2멍 이상의 여고생들엔 기가 눌리는 느낌이라 차일피일 미루다가 평일 낮시간 빈가게에 급습. 노량진 컵밥거리에서 첨 먹어보곤 입맛에 맞지 않아서 컵밥을 멀리했는데 봉구킹은 달랐다. 맛이 없을 수 없는 조합이라 (왜 노랑진에선 그랬을까?) 정말 사진 찍는다는 것도 깜빡할 만큼 순식간이었다. 주인 아저씨도 너무 친절하고 리드미컬하게 조리하시는 모습도 새삼 떠올라 세프님이라 앞으로 부르겠다.
2.7.금,반응 남기기 방문일 2.7.금 2025년 2월 7일 금요일 1번째 방문 인증 수단 영수증
5.12.월,반응 남기기 방문일 5.12.월 2025년 5월 12일 월요일 2번째 방문 인증 수단 영수증
24.11.28.목,반응 남기기 방문일 24.11.28.목 2024년 11월 28일 목요일 1번째 방문 인증 수단 영수증
24.11.4.월,햄치즈 밥버거 양도 많고 맛있어요 매장도 청결하고 사장님이 친절하세요
24.7.5.금,집근처 맛집이예요 친절하세요^^
24.9.21.토,반응 남기기 방문일 24.9.21.토 2024년 9월 21일 토요일 1번째 방문 인증 수단 영수증
24.10.30.수,반응 남기기 방문일 24.10.30.수 2024년 10월 30일 수요일 1번째 방문 인증 수단 영수증
24.1.30.화,맛있어요! 사장님도 친절하셔요!!
24.1.30.화,봉구스 지점중에 가장 친절하고 맛있는 곳...!!
24.1.5.금,봉구스 맛이야 뭐 항상 최고죠 사장님들이 너무 친절하세요 ^^
24.1.31.수,완전 맛있고 사장님 너무 친절해서 좋아요!
24.1.31.수,너무 친절하고 맛있어요!!9
23.9.18.월,마을버스 정류장앞이라 기다리며 먹기좋아요. 매콤제육갈비컵밥인데 맛있네요
24.3.7.목,사장님이 친절해요 밥버거 양도 많고 맛있어요
23.12.29.금,친절해요 밥버거가 맛있어요
23.12.2.토,반응 남기기 방문일 23.12.2.토 2023년 12월 2일 토요일 2번째 방문 인증 수단 영수증
23.10.23.월,양 많고 맛있어요 사장님이 친절하세요
23.7.25.화,추억의 그 맛을 다시 느낄 수 있어서 좋았어요! 밥도 짱 맛있고 요즘 물가에 비하면 가격도 너무 착한 것 같아요🥰 사장님도 친절하셔서 담번에도 먹으러 갈 예정입니다~~
23.11.11.토,반응 남기기 방문일 23.11.11.토 2023년 11월 11일 토요일 30번째 방문 인증 수단 영수증
23.5.2.화,봉구스밥버거 무학여고점 이용했는데요 무엇보다 추억의 밥버거라 넘 좋더라고요 오랜만에 먹어도 맛있네요
23.8.21.월,친절하시고 밥양이 많아요 한끼 식사로 든든해요
23.4.5.수,사장님분들 친절하시고 음식도 맛있어요!! 오랜만에 다시 갔다가 맛있어서 요새 다시 애용하고 있어요!
23.4.16.일,요즘 봉구스가 많이없는게 안타깝네요 값은 좀 올랐지만 가끔 생각날때 먹기좋습니다
23.3.6.월,혼밥하기 좋아요 ^^
22.12.12.월,몇년째 먹고있는곳. 사장님 부부가 너무 친절하시고 기억 엄청 잘해주세요 음식도 항상 맛있고 간편합니다
23.1.9.월,"사장님이 친절하시고, 밥버거 양도 많고 맛있어요. 가성비 좋은 밥버거 집이에요. 혼밥하기 좋고 포장하기에도 편리해요."
23.2.22.수,반응 남기기 방문일 23.2.22.수 2023년 2월 22일 수요일 1번째 방문 인증 수단 영수증
22.8.3.수,받자마자 옆 테이블에 앉아서 바로 먹느라 사진을 못찍었어요. 바로 앞에 학교들이 있어서 학생들이 많고 카운터 바로 앞에 앉아서 먹을 수 있는 벽테이블이 있어요. 3-4명이 앉을 수 있고 갈때마다 사장님께서 너무너무 친절하세요. 맛있게 잘 먹었습니다 감사합니다!
22.11.3.목,음식이 맛있고 친절하십니다
22.10.17.월,행사로 대량주문했는데 잘 받았습니다!
22.12.13.화,맛도 좋고 양도 많아요 사장님이 친절하세요
22.12.26.월,친절하고 가성비 좋아요.
22.12.23.금,반응 남기기 방문일 22.12.23.금 2022년 12월 23일 금요일 1번째 방문 인증 수단 결제내역
22.10.22.토,반응 남기기 방문일 22.10.22.토 2022년 10월 22일 토요일 1번째 방문 인증 수단 영수증
22.5.13.금,한강가서 먹기 딱 좋아요! 사장님도 친절하시고 양도 많아요!!~
22.5.12.목,사장님이 엄청 친절하세요~
22.7.23.토,반응 남기기 방문일 22.7.23.토 2022년 7월 23일 토요일 1번째 방문 인증 수단 영수증
22.3.20.일,반응 남기기 방문일 22.3.20.일 2022년 3월 20일 일요일 1번째 방문 인증 수단 영수증
23.1.7.토,반응 남기기 방문일 23.1.7.토 2023년 1월 7일 토요일 1번째 방문 인증 수단 결제내역
22.2.25.금,반응 남기기 방문일 22.2.25.금 2022년 2월 25일 금요일 2번째 방문 인증 수단 영수증
22.7.22.금,반응 남기기 방문일 22.7.22.금 2022년 7월 22일 금요일 2번째 방문 인증 수단 영수증
22.2.17.목,너무 맛있고 사장님들 친철하셔서 자주가요^^
22.7.7.목,반응 남기기 방문일 22.7.7.목 2022년 7월 7일 목요일 2번째 방문 인증 수단 영수증
21.10.19.화,가성비가 좋아요! 간편하게 식사하기 좋습니다
22.3.17.목,반응 남기기 방문일 22.3.17.목 2022년 3월 17일 목요일 1번째 방문 인증 수단 영수증
21.9.13.월,꽤 오래살아있는 지점 가끔 입 심심할때 먹기좋다
21.10.15.금,항상 메뉴 고르는데 주춤 거려도 친절하게 응대 해주셔서 감사합니다 ^^
21.9.8.수,친절하셔서 좋아요 맛있게 잘 먹었습니다~
21.11.28.일,반응 남기기 방문일 21.11.28.일 2021년 11월 28일 일요일 1번째 방문 인증 수단 영수증
