date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
9.20.토,음식이 깔끔하게 맛있고 친절하시네요
6.28.토,"봉밀가는 강남구청 본점을 시작으로 행당점, 서울숲점의 분점을 낸 19년차 업력이 단단한 업장이다. 재료의 질과 신선함을 최우선 그리고 고객의 만족도를 항상 생각한다 그래서 블루리본 맛집 9년 연속, 미쉐린가이드 맛집 8년 연속 선정이 납득이 간다. 평양냉면을 무척이나 좋아하는 한사람의 평냉어로서 이런 업장은 오래토록 남는게 바램이다"
8.25.월,제 동네 최애맛집인데 사진을 너무 못찍었네요 여기다가 꼭 사이드 낙지젓갈밥?을 추가해서 드셔야 해요 만두도 추가하시면 베스트 가격은 좀 있지만 주기적으로 먹고 싶은 곳입니다
8.15.금,엄청 친절 하시네요 시원한 냉면국물에 만두 너무 맛있어요 양파간장도 짱이에요
8.23.토,오와 진짜 맛있어요 ㅜㅜ
7.14.월,동선이 불편한 편 미나리 평냉은 미나리 향이 강해 육향이 살짝죽는느낌이라 호불호가 있을 듯 그래도 평균이상이라 만족스러웠은
5.24.토,"저녁시간이 조금 지나서 그런지 한적하고 매우 청결했습니다. 할머니와 함께 방문했는데, 직원 분들이 주문 방법을 차근차근 알려주셔서 좋았습니다. 믿고 먹는 봉밀가 평냉 맛이었고, 자극적이지 않고 담백해서 할머니도 맛있게 다 잡수셨습니다. 친절하게 응대해주셔서 정말 감사드립니다. 다음에 또 방문하겠습니다 :)"
4.10.목,"지하매장이라 눈에 잘 띄지 않는 게 아쉬울뿐, 메뉴가 알차서 다 먹어보고 싶었지만 아쉽게 오늘은 비빔국수랑 미나리한우곰탕과 사이드 몇 가지만 주문했어요. 전반적으로 음식이 너무 깔끔하고 재료 본연의 맛이 잘 느껴지네요. 미나리향 산뜻한 곰탕국물은 한우의 깊은 맛이 살아 있고 고기양도 꽤 넉넉함. 비빔메밀국수는 너무 진하지 않은 양념이지만 기분좋은 매콤함. 손만두는 속이 알차고 맛은 설명 필요없음. 내 마음의 미슐랭으로 인정합니다. 육회비빔밥이랑 메밀물국수 다시 먹으러 올께요."
9.6.토,이번에는 비빔이지만 슴슴한 평양냉면 맛을 잘 살려서 좋습니다.
7.4.금,늘 잘먹고 있어요
4.10.목,만두국맛있어요!! 봉밀가메뉴는 다맛있음. 포장해먹는데 좋아요.
