date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
9.27.토,문어삼겹찜이랑 오징어불고기 먹었어요 양이 많아서 다 먹지 못했지만 부드럽고 맛있는 양념이 중독성 있고 제주 술과 정말 잘 어울렸어요 다음에 또 먹고 싶네요~
7.30.수,"제주의 부부요리단 식당과 같은 이름인데 제주 돼지 수육이 있어 같은 집인듯. 메뉴는 좀 다름.  요즘 핫하다는 식당이라 방문.  맛이 없지는 않지만, 가격 대비 나오는 음식의 양을 봤을 땐 굳이 또 갈 필요가 있을까 하는 판단이 든다."
8.2.토,"옥수역 근처 식당에서 친구랑 둘이 점심 식사했어요. 메인 음식은 엄청난 맛은 아니었지만, 곁들임 반찬이 다양하게 잘 나와서 좋았습니다. 2시 좀 넘어서 입장해서 한참 먹고있는데 3시 브레이크 타임이라고 해서 좀 당황했어요. 1시간도 안되는 시간동안 푸짐한 음식을 즐기며 먹기엔 짧은 시간이었고 15분전부터 두세번 재촉하셔서 체할 것 같았어요. 보통 음식이 어느정도 남아있으면 3시 지나도 입장 시간 고려해서 15분정도는 식사 마칠때까지 봐주시는데 칼같더라구요. 입장할때 미리 알려주셨다면 다른 식당 갔을수도 있을것 같아요; 간단한 점심 먹으러 간거도 아니고 그래도 8만원 넘는 금액 지불하고 먹는건데 서비스 측면에서는 매우 실망스러웠습니다. 재방문 의사는 없습니다. 그런 서비스를 이길 만한 맛은 아니었거든요;;;"
9.30.화,!반드시 영수증 확인하세요. 자세히 나오는 영수증 뽑아달라하세요. 저희는 술한병값을 더 계산해서 나왔어요. 죄송하단말도 안하고 직원 실수라고만.. 바쁘면 소주한병 찍는걸 깜빡할수 있지만 한병 더 찍는 실수는 안합니다.손님들이 일일이 음식값 그자리서 확인 안하는 경우를 악이용하는 음식점도 더러 있다고하니 불이익 당하지말고 꼭! 식사후 계산서 자세히 나오는거 발급해달라고 하시고요. 음식값도 비싼데 안먹은 술값까지 계산할뻔!
5.1.목,"두툼하고 매콤한 갑오징어볶음~ 두 명이서 근로자의 날 점심에 방문했어요. 저희 말고 두 팀이 더 있었어요.  밑반찬도 잘 나오고 깔끔한 맛이었어요. 호텔조리사 출신이시라 기본 퀄이 보장되는듯 합니다.  갑오징어 돼지고기 볶음요리는 조금 매운 편이었으나 같이 가신 분이 매운걸 잘 못드셔서 힘들어 했어요. 다음에는 덜맵게 해달라고 하면 덜맵게 해줄 수 있다고 하셨어요 불닭볶음면의 반에서 2/3정도 맵기 수준이예요.  깻잎도 추가로 요청하니 넉넉히 더 주셔서 가위도 요청해서 뿌려먹으니 맛있었고, 찬으로 나온 고구마도 으깨서 밥이랑 소스에 비비니 꿀맛이었어요. 참기름까지 더 달라기엔 너무 요청하는게 많은것 같아 꾹 참았네요. 하하  미역국이랑 나오는 반찬들 전반적으로 맛있었고 동료들이랑 친구들이랑 모이기 좋아요"
