date,content
"""친절해요""",이 키워드를 선택한 인원
"""상품이 다양해요""",이 키워드를 선택한 인원
"""과채가 신선해요""",이 키워드를 선택한 인원
"""행사 상품이 다양해요""","""행사 상품이 다양해요"""
"""매장이 청결해요""",이 키워드를 선택한 인원
8.8.금,음 과일맛이 저는 별로였어요..
8.2.토,반응 남기기 방문일 8.2.토 2025년 8월 2일 토요일 4번째 방문 인증 수단 영수증
1.29.수,반응 남기기 방문일 1.29.수 2025년 1월 29일 수요일 1번째 방문 인증 수단 영수증
24.10.11.금,반응 남기기 방문일 24.10.11.금 2024년 10월 11일 금요일 6번째 방문 인증 수단 영수증
24.3.23.토,채소가 신선하고 저렴해요 요즘 채소값이 넘 비싸 망설이다 사는데 그래도 이곳은 양을 많이 주니 채소 필요하면 여기에서 구매해요
23.10.28.토,반응 남기기 방문일 23.10.28.토 2023년 10월 28일 토요일 1번째 방문 인증 수단 영수증
23.5.29.월,반응 남기기 방문일 23.5.29.월 2023년 5월 29일 월요일 1번째 방문 인증 수단 영수증
23.5.29.월,반응 남기기 방문일 23.5.29.월 2023년 5월 29일 월요일 1번째 방문 인증 수단 영수증
23.1.19.목,"덕정 장마당 들어설 때 만나는 꽤 괜찮은 잡화점이에요. 신선품도 있고, 가끔은 김치, 파김치도 파시는데 가격이 괜찮아요. 지난번에는 양미리 이번에는 딸기 업어왔어요."
22.12.7.수,반응 남기기 방문일 22.12.7.수 2022년 12월 7일 수요일 1번째 방문 인증 수단 영수증
22.6.12.일,반응 남기기 방문일 22.6.12.일 2022년 6월 12일 일요일 1번째 방문 인증 수단 영수증
22.1.24.월,반응 남기기 방문일 22.1.24.월 2022년 1월 24일 월요일 3번째 방문 인증 수단 영수증
22.1.23.일,반응 남기기 방문일 22.1.23.일 2022년 1월 23일 일요일 1번째 방문 인증 수단 영수증
21.11.29.월,반응 남기기 방문일 21.11.29.월 2021년 11월 29일 월요일 1번째 방문 인증 수단 영수증
21.11.29.월,반응 남기기 방문일 21.11.29.월 2021년 11월 29일 월요일 1번째 방문 인증 수단 영수증
21.10.30.토,반응 남기기 방문일 21.10.30.토 2021년 10월 30일 토요일 1번째 방문 인증 수단 영수증
21.10.26.화,반응 남기기 방문일 21.10.26.화 2021년 10월 26일 화요일 1번째 방문 인증 수단 영수증
21.6.2.수,반응 남기기 방문일 21.6.2.수 2021년 6월 2일 수요일 2번째 방문 인증 수단 영수증
21.6.2.수,반응 남기기 방문일 21.6.2.수 2021년 6월 2일 수요일 1번째 방문 인증 수단 영수증
21.5.23.일,반응 남기기 방문일 21.5.23.일 2021년 5월 23일 일요일 1번째 방문 인증 수단 영수증
21.5.23.일,반응 남기기 방문일 21.5.23.일 2021년 5월 23일 일요일 1번째 방문 인증 수단 영수증
21.4.27.화,반응 남기기 방문일 21.4.27.화 2021년 4월 27일 화요일 2번째 방문 인증 수단 영수증
21.3.22.월,반응 남기기 방문일 21.3.22.월 2021년 3월 22일 월요일 3번째 방문 인증 수단 영수증
21.2.28.일,반응 남기기 방문일 21.2.28.일 2021년 2월 28일 일요일 2번째 방문 인증 수단 영수증
21.1.15.금,반응 남기기 방문일 21.1.15.금 2021년 1월 15일 금요일 1번째 방문 인증 수단 영수증
20.11.18.수,반응 남기기 방문일 20.11.18.수 2020년 11월 18일 수요일 1번째 방문 인증 수단 영수증
20.9.29.화,저렴하긴한데 좋아하는 자두를 끝물에사서인지 와서보니 반이상이 속이 상해 교환했어요 다시 싱싱한걸로 바꿔주시긴했는데 그것도 처음것보단 나았지만 1/3이상은 잘라내며 먹은듯해요
20.7.15.수,재래시장이지만 물건도좋고 사장님의서비스도좋고
20.7.7.화,반응 남기기 방문일 20.7.7.화 2020년 7월 7일 화요일 1번째 방문 인증 수단 영수증
20.5.27.수,반응 남기기 방문일 20.5.27.수 2020년 5월 27일 수요일 1번째 방문 인증 수단 영수증
20.4.24.금,지역화폐로 장볼수있어서 좋아요~
