date,content
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
1.31.금,눈보라를 뚫고 다녀온 보람이 있는 맛! 어디에서도 본 적 없는 환상적인 완두붕!! 완두앙금을 사랑하는 사람은 꼭 드셔보셔야합니다. 포장해와서 에어프라이어에 180도 10분 정도 데워먹었더니 겉바속촉의 진수를 맛 볼 수 있었습니다.  식은 붕어를 살릴 수 있다는 걸 알았으니 또 방문할일만 남았네요.. 어으 리뷰 쓰다보니 또 먹고 싶어요🤪😋
2.22.토,사장님 너무 친절하시고 특별한 붕어빵이 많아요! 신메뉴도 자주 나와서 자주 찾게되는 곳 입니다👍
24.12.20.금,"새로나온 오코노미야끼붕, 마약옥수수붕!! 먹으러 왔어요!! 둘다 맛있지만 개취는 마약옥수수붕😆💛 먹으니 든든해서 한끼 식사 느낌:) 일반 빵집에서 먹는거 보다 훨씬 맛있고 붕어 반죽이 아예 달라요 겉바쫀득!!"
3.2.일,성수동 최고 간식집! 신메뉴들이 많아 자주 가요🍕
24.12.20.금,엄마가 너무 맛있다고 성수가면 꼭 먹으라고 해서 방문했습니다☺️ 콘치즈마요붕은 바로 들고 나오며 먹었는데 치즈도 잘 늘어나고 너무 맛있었어요🤤💗 슈붕이랑 팥붕도 집에 와서 가족들이랑 먹었는데 역시나 쫀쫀하니 .. 짱👍 사장님도 너무 친절하십니다🥹 나중에 또 방문하고 소문도 마구마구 낼게요😻
24.11.29.금,"매번 새로운 신메뉴에 깜짝 놀라게 되는 붕유단이에요. 초당옥수수붕, 마쉬멜로붕 모두 식감과 맛이 너무 좋았어요! 올겨울 가슴속 삼천원을 쓴다면 바로 이곳! 가벼운 점심 대용으로도 좋다는 생각이 들었네요 사장님 분들도 너무 친절하세요. 완전 강추합니다!❤️"
1.3.금,너무 친절하시고 속도 꽉찬 붕어빵을 먹을 수 있어서 너무 좋았어요. 마감 시간인데도 챙겨주셔서 맛있게 먹었습니다.
24.12.27.금,항상 올 때마다 너무 기분이 좋아지는 곳! 성수 들릴 때마다 꼭 오는 곳입니다!! 성수 오시는 모든 분들!! 여기 진짜 붕어빵 맛집맛집!!!! 꼭 와서 맛있는 붕어빵 먹으세요🐟
24.12.15.일,팥붕 슈붕 고를수가 없어서 다 샀어요 정말 반죽이 쫄깃하고 뭔가 다른 곳에서 느낄 수 없는 맛이 있어요 추천!
24.12.6.금,바로 구워주셔서 맛있게 먹었습니다~ 오코노미야끼붕어빵 맛있어요 !!든든합니다!
24.11.28.목,강아지와 함께 방문했는데 사장님이 너무 친절하시고 공간도 예쁘고 무엇보다 붕어빵도 너무너무 맛있었습니다🤎 종종 놀러 갈게요❕🤍🌨️
24.12.7.토,붕어빵 진짜 맛있어요!! 찐입니다👍👍 옥수수붕어빵 또 생각나네요 ㅎㅎ 사장님도 친절하시구 성수동 올때마다 갈 예정입니다 ㅎㅎ
24.11.29.금,매번 새로운 메뉴 먹을 수 있어서 행복해요! 오코노미야끼 붕 먹으러왔는데 주변에서 마약옥수수붕도 꼭 먹어야한다고해서 마약옥수수붕도 삽니다💕💕🥹  다음엔 마쉬멜로붕먹어야지..🐽🐽🐽
24.11.28.목,겨울하면 붕어빵! 첫눈과 함께 드랍된 붕유단 신메뉴 먹으러 왔어요☺️ 붕어빵계의 대감집 황금잉어빵과 콜라보한 반죽이 겉바속쫄 + 둔둔한 속재료까지 하아… 오코노미야키붕 넘나 일품메뉴 같습니다✨✨
1.4.토,메뉴가 독특해서 한 번은 가보고싶었어요! 색다른 경험입니다 가게도 예쁘구요
24.11.28.목,새로운메뉴 많아서 좋아요. 팥붕파지만 이것저것 먹어볼수있는게 많고 다 맛있어요. 마시멜로붕 쫀득하니 너무 맛있었어요. 팥붕은 안에 팥이 완전 많고 옥수수붕도 고소하니 좋았어요. 앞으로도 신메뉴들이 기대되요.
24.9.5.목,특별한 아이스크림입니다! 색다른 맛과 경험을 했어요! 우선 팥을 안좋아하는데 여기 팥붕은 맛있었어요 팥붕에다가 아이스크림이랑 같이 먹으니깐 넘나 맛있어요! 추천!! 아이스크림도 부드럽고 달달해요 가끔 너무 달고 느끼한 아이스크림들이 있는데 여긴 깔끔하고 좋습니다!
24.11.29.금,이 추위를 녹일 붕어빵계 아이도루 붕진스! 꼭 만나보시길바랍니다 얼어붙은 마음까지 녹여드립니다 사진으로 다 담기지않는 맛있음을 직접 느껴보시길… (절대 맛없없 조합들…) 올겨울 붕어유랑단을 만나지않는다면 겨울을 의미없이 보낸거라 마찬가지일듯…! 괜히 아이돌이 아닙니다… 또 가고 싶다… 사랑한다 붕진스
24.12.15.일,죄송합니다 받자마자 빛의 속도로 먹어서 그만 사진찍는걸 잊어버렸습니다 그래서 이렇게 다 먹고난 봉투를 찍게 되었습니다 방문해보시면 제가 왜 이랬는지 이해하실수있을것입니다 다음에는 먹기전에 까먹지않고 꼭 찍겠습니다. 세상을 구하는 붕진스. 아이도루 붕진스.
24.11.29.금,혼자 하셔서 너무 바빠보이심요 제뒤로 사람들이 엄청 방문하시더라구요 바쁜시간에 가시면 기본15분대기 합니다. 찹쌀이 쫄깃쫄깃합니다!
24.12.20.금,친구가 저번에 사서 한마리 줬을 때 너무 맛있어서 계속 시먹고 싶었는데 인기가 너무 많아서 일찍 마감되버려서 아쉬워했는데 드디어 방문!!! 주변에서 맛있다고 많이 듣기도 핬고 필테 원장쌤 조차 항상 사먹으시는…ㅋㅋㅋㅋㅋ 일단 가게 들어왔을 때 냄새부터 너무 맛있는 냄새랍니다ㅠㅠ 다들 붕어빵 먹으로 붕어 유랑단으로 오세요ㅎ
24.12.15.일,메뉴가 자주 바뀌는 것 같아요! 인스타에서 보고 갔던 맛은 없었지만 사장님의 홍보 솜씨에 넘어가 다른 맛으로 맛나게 먹었습니다~
24.11.28.목,"봉인되어 있던 붕어빵집이 드디어 돌아왔네요, 새로운 메뉴가 생겨서 그중 오코노미야끼붕 먹어봤는데.. 와우 햄도 들어있고 양배추랑 간장소스? 간한 한끼로도 적당하고 맛도 👌다른 메뉴인 마x옥수수붕도 기대되네요! 자주 먹을것 같아요!!"
24.12.26.목,갓나온 따끈따끈 붕어빵 최고❤️ 슈크림이 한가득 들어있어서 너무 맛있었어요! 크기가 커서 반죽이 두껍다보니 안익은 부분이 쪼끔 있어서 아쉬웠습니다 🥹
