date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
9.13.토,저번주에 먹었던 군산 3대 짬뽕보다 훨씬 맛있어요👍 국물 맛 미쳤음!! 강추합니다👍👍
24.11.11.월,"가성비 지리네요~~ 양도 많고, 잘먹고갑니다"
24.8.31.토,편안한 동네 중식당
24.3.4.월,자장면이 7000원 아주 저렴하고 짜장먄 맛나요. 짬뽕도 와 맛난다는 아닌데 가성비 대비 괜찮은편
24.9.20.금,반응 남기기 방문일 24.9.20.금 2024년 9월 20일 금요일 1번째 방문 인증 수단 영수증
24.1.30.화,표정을 눌러 반응을 남겨 보세요! 반응 남기기 방문일 24.1.30.화 2024년 1월 30일 화요일 2번째 방문 인증 수단 영수증
24.4.22.월,중국집 잡채밥은 맛이 비슷하네요~~쏘쏘
24.1.7.일,재료가 신선하고 맛도 좋은편입니다. 편하게 식사하기에 괜찮습니다.
23.12.21.목,이름바뀌고 확실히 괜찮아 진 것 같습니다. 지금처럼 깔끔하규고 맛있는 집으로 유지 되었으면 좋겠습니다!
24.1.12.금,반응 남기기 방문일 24.1.12.금 2024년 1월 12일 금요일 1번째 방문 인증 수단 영수증
24.1.18.목,반응 남기기 방문일 24.1.18.목 2024년 1월 18일 목요일 1번째 방문 인증 수단 영수증
24.6.22.토,반응 남기기 방문일 24.6.22.토 2024년 6월 22일 토요일 1번째 방문 인증 수단 영수증
