date,content
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
9.22.월,빵이 맛있고 가성비도 좋아요! 바싹~바싹한 소금빵은 후다닥 먹어서 사진이 없네요. 지금도 좋지만 반기에 1번 정도 계절 메뉴로 새로운 빵이 있었으면 좋을 것 같아요 : )
9.19.금,오며가며 꼭 한번은 사먹고 싶다!!!! 했던 가게인데 드디어 바게트를 사먹었습니다 딱 .. 제가 원하는 겉에 바삭한 질감에 .. 진짜 자주 사먹으러 갈거예요 😙!!! 왕 추천 바게트 좋아하시는분이라면 꼭 한번 사먹어보세요 사장님도 친절하십니다 히히
6.10.화,"언제나 기본에 충실한 맛을 내는 게 참 인상적인 빵집 입니다. 밥 대용으로 먹을 수 있는 치아바타나 베이글, 식빵이 주로 있는데 모두 다 맛있습니다.  용답역 근처에 사시는 분들이 밥 같은 담백한 빵이 땡긴다면 항상 이곳을 추천 드립니다. 역 바로 앞에 있어서 접근성도 좋습니다."
5.17.토,치아바타가 ㄹㅇ 맛도리. 우리 와이프가 블레플러스 치아바타에 블랙베리 쨈 발라먹는 것을 참 좋아했습니다.  저의 최애는 독일식 브레첼. 담백하고 고소한 맛이 일품입니다. 가히 용답의 원탑 빵집이라 할 수 있겠습니다.
5.30.금,빵이 맛있어서 자주 방문하는 가게입니다. 치아바타가 무척 쫄깃합니다!
8.12.화,반응 남기기 방문일 8.12.화 2025년 8월 12일 화요일 6번째 방문 인증 수단 영수증
5.28.수,오늘 마침 빵들이 나온지 얼마 안된 타이밍에 들려 바게트랑 소금빵을 구매했는데 정말 인생 빵집을 찾게 된 것 같아요🥹 바게트는 어찌나 콰삭콰삭하고 쫄깃한지 또 소금빵은 풍미와 버터 동굴이 정말 장난 아니네요.. 가격도 너무 착해서 놀랐어요 바게트랑 소금빵 둘 다 2천원대라니.. 집이 이 근방이 아니라 너무 아쉬울 정도로 정말 인생 빵집이네요
4.9.수,벚꽃 구경 갔다가 빵도 구매했습니다. 치즈올리브 치아바타와 바게트는 언제나 맛있네요 : )
3.25.화,용답역근처 동네 작은 빵집 ㆍ주변에 동네식당도 이작은 깨끗한빵집도 매력있다 이름처럼 프랑스밀로만든 예쁘고 맛있는빵집ㆍ
9.2.화,올리브 치와바타랑 바케트 맛나서 멈출 수 없네요
5.5.월,치아바타 미쳤어요 겉은 바삭 속은 쫀득쫀득 플레인한 맛에 은은하게 퍼지는 고소한맛ㅜㅜ 한번 먹고 반해서 지금 연속 네번 가서 계속 사오는듕
2.26.수,정말정말 맛있어요~^^ 바케트 최고~♡
2.25.화,"바게트, 치아바타, 소금빵 셋 다 식감이 다 비슷한데;; 암튼 담백하고 맛있어요!!!"
7.18.금,표정을 눌러 반응을 남겨 보세요! 반응 남기기 1 명 방문일 7.18.금 2025년 7월 18일 금요일 1번째 방문 인증 수단 영수증
6.24.화,반응 남기기 방문일 6.24.화 2025년 6월 24일 화요일 7번째 방문 인증 수단 결제내역
9.2.화,반응 남기기 방문일 9.2.화 2025년 9월 2일 화요일 1번째 방문 인증 수단 영수증
2.25.화,"바게트, 치아바타, 대파크림치즈프레즐 샀어요~ 다맛있는데 대파크림치즈 프레즐이 진짜 특이하게맛잇어요"
2.21.금,소금빵 맛집!! 소금빵 진짜 맛있어요!!
3.26.수,동네 최애 빵집이에요. 바게트와 올리브치즈치아바타 맛있어요!
3.25.화,치아바타 맛집이라고 해요 빵이 부들부들 소프트합니다
3.3.월,바게트와 소금빵을 사봤는데 둘 다 참 맛있어요. 앞으로도 담백한 빵 생각날 때 찾을 생각이에요.
3.15.토,반응 남기기 방문일 3.15.토 2025년 3월 15일 토요일 5번째 방문 인증 수단 영수증
24.10.9.수,대파 크림치즈프리첼인데 맛나네요 ㅎ 대파향이 은은하게 퍼지는데 크림치즈의 맛하고 어우러져서 두고 두고 기억날 것 같은 맛이예요 ㅎ
3.14.금,반응 남기기 방문일 3.14.금 2025년 3월 14일 금요일 4번째 방문 인증 수단 영수증
6.7.토,반응 남기기 방문일 6.7.토 2025년 6월 7일 토요일 8번째 방문 인증 수단 영수증
24.10.21.월,늘 빵이 맛나요 숨겨진 맛집
2.25.화,치아바타 베리 굳 ㅋㅋ
24.12.21.토,빵이 맛나서 재방문 했어요
