date,content
"""친절해요""",이 키워드를 선택한 인원
"""추천을 잘해줘요""",이 키워드를 선택한 인원
"""설명이 자세해요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""가격이 합리적이에요""",이 키워드를 선택한 인원
"""특색 있는 제품이 많아요""","""특색 있는 제품이 많아요"""
"""매장이 청결해요""",이 키워드를 선택한 인원
"""포장이 정성스러워요""",이 키워드를 선택한 인원
10.19.일,"살롱이후로 사장님이 너무 재밌으시고 와인잘알이셔서 즐거운 마음으로 오게되는 곳입니다..🤍 와인 종류도 많고 센스있는 분위기에서 한잔 즐기고 가기도, 와인을 구매하기도 좋은 곳이에요! 10월에 플리마켓도 한다고 하서서 참석하려구요오 🤭"
10.19.일,비노오라 친구 추천으로 방문했어요.  와인에 대해 잘 모르는데 사장님이 친절하고 상세하게 하나하나 설명해주셔서 즐거운 시간이었습니다!  와인 구매나 테이스팅해보기에 최고의 장소입니다🥰🥰
10.19.일,너무 즐거웠어요~🤍 다양한 와인 즐겨서 좋았습니다.
9.27.토,"왕십리에서 마지막 밤 ㅠ 샴페인으로 마무리하려고 오늘도 비노오라로 향했어요😭 퇴근길 간판 불 켜진 것만 봐도 설레구, 혹여라 문 닫은 날에는 무슨 일이지? 싶어서 바로 인스타 스토리 보러 있나 가곤 했는데요 ㅎㅎ 음식을 먹거나 긴 시간을 머무는 공간도 아닌데 저는 동네친구와의 시간을 보내는 양 비노오라 가는 게 참 좋더라구요 ㅎㅎ 앞으로 이런 와인샵은 다시 만나기 어렵겠지만, 근방 올 때마다 원픽으로 꼬박꼬박 방문하겠습니다❤️❤️ 너무 감사했습니다 좋은 추억 만들어주셔서 고맙습니다😭"
9.22.월,사장님 추천 와인은 실패가 없어요!!. 오늘도 재구매하러 왔습니다. 앞으로도 좋은 와인 많이 소개 부탁드려요!
9.20.토,동네에 와인샵이 있는걸 처음 알았는데 좋은 가격에 괜찮은 제품들이 있어 바로 구매했습니다^^
9.20.토,사장님이 친절하셔서 와인 추천 잘해주시고 가게 분위기가 넘 좋아요😊
9.19.금,시음회만 오늘로 두번째 방문인데요🫶🫶 사장님 항상 세심하시고 친절하시고 매번 맛있는 와인 라인업으로 시음회 열어주셔서 넘 감사해요 ❤️ 근처 콜키지 되는 식당들도 있어서 비노오라에서 와인 사서 바로 저녁먹으러가면 갓벽입니다 👍 어제 저도 사장님 덕분에 갓벽한 저녁을 보냈어요!! 시음회 앞으로도 많이 많이 열어주세요 🫶🫶
9.12.금,와인 필요할때마다 가는데 친절하고 추천 잘해주셔서 맛있는 와인 먹었습니다!
9.12.금,항상 제 취향에 맞게 추천해주세요❤️❤️ 어떤 와인을 구매하든 100% 만족!!!!!!!! 친구들도 제가 가져오는 와인은 다 맛있다고 해용~ 모두 비노오라 사쟝님 덕분이에욤😙 시음회도 하고 여러가지 이벤트도 많이 해서 너무 좋아용❤️
9.10.수,친절하고 자세한 설명도 해주시고 어울리는 메뉴랑 추천도 잘해주셔요 ~~
9.10.수,동네에 와인을 전문적으로 파는 곳이 있어서 언제든 쉽게 맛있는 와인을 먹을 수 있어서 넘 좋아요👍
9.10.수,항상 친절하시고 추천을 잘해주셔요 구매한 와인들 맛있게 마셨습니당 감사합니다
9.8.월,처음 방문해봤는데 사장님이 정말 친절하세요! 설명도 자세하게 해주시고 추천도 잘해주셔요. 가성비 와인부터 내추럴와인까지 종류도 나름 다양해서 자주 방문할 것 같아요😖
9.5.금,친절하시고 추천도 잘 해주셔요!! 시음까지 해볼 수 있너러 좋았습니다💓 또 올게요!!
9.5.금,사장님 너무 친절하세욤! 추천해주신 와인 부드럽고 맛있어욤! 불금에 좋은 와인 추천해주셔서 감사합니당☺️
9.2.화,지삐뽀 너무 맛잇어요~ 찌삐뽀 짱~
9.1.월,집 가까운 곳에서 좋은 와인을 구할 수 있어서 좋습니다.
8.30.토,"최근에 폰텔라 키안티. 비노오라에서 구매하고 마셨는데 가격대비 너무 맛있게 잘마셔서 2병 재구매했어요. 블루베리, 블랙베리가 잘 느껴지는!  한정수량이 다행히 남아있어서 영수증리뷰 3천원할인까지 받아서 구매했어요.  친절한 비노오라 사장님 감사합니다!!"
8.30.토,동네에 비노오라가 있어서 좋아요
8.30.토,보기 힘든 와인들이 많이 있고 사장님이 부지런히 다양한 행사도 준비하고 좋아요. 추천도 잘 해주시고 늘 들르는 재미가 있는 와인샵입니다
8.30.토,와인 살 때 항상 여기로 와요 추천도 잘 해주시고 와인도 다양해서 좋아요
8.29.금,와인파인데 이전에 친구가 집들이로 여기서 사온 와인이 너무 생각나서 들렸어요! 네이버로 문의드리면 미리 와인 있는지 확인해주시고 오늘 먹을거라 하니 냉장고에서 꺼내주셨어요! 사장님도 넘 친절하시고 단골하려구요 ㅎㅎㅎ🤍
8.29.금,한달에 한번은 들르는 최애 와인샵 입니다. 합리적인 가격에 다양하고 퀄리티 좋은 와인을 맛볼수 있습니다. 무엇보다 사장님의 친절한 설명과 세심한 추천이 샵의 백미입니다^^ 항상 좋은 와인 추천 감사드리고 번창하세요!!
8.29.금,3분 컷으로 구매하고오는 비노오라 언제가도 늘 제가 원하는 와인이 있어서 행복해요❤️❤️ 왕십리에만 있기 아깝다!! 도곡에도 분점 내주세요😭
8.29.금,맛있고 다양한 와인과 좋은 사장님이 있는 소중한 와인샵입니다. 사장님 추천은 언제나 믿을 수 있어요~
8.29.금,믿고 먹는 비노오라🤗
8.28.목,가격도 합리적이고 좋은 와인들이 많아요!
8.28.목,항상 친절하시구 와인 추천도 잘 해주세요! 오늘도 궁금한 와인 저렴히 구매하구 갑니당💗
8.26.화,이제 이사가면 사장님 못 봐 어카나요.. 왕십리 생활의 활력소이자 퇴근길을 행복하게 해준 비노오라 늘 감사했습니다❤️❤️❤️ 집 앞에 이런 곳이 있다는 건 축복이에요😭
8.26.화,"집 앞에 와인 살 수 있는 너무 좋은 곳이 있어서 자주 들려요ㅎㅎㅎ 이벤트도 다양하게 자주 해주시고, 추천도 알맞게 해주셔서 매번 만족합니당❤️❤️ 믹스프로모션도 좋구, 시음회도 자주 해서 좋아용~~"
8.20.수,사장님이 친절하고 추천도 잘해주셔서 좋아요! 테토아 와인은 2주전에 마시고 재구매했어요!
