date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
10.16.목,소고기 스튜하고 바질 파스타 시켰는데 처음 주시는 스프부터 감동적인 맛이었어요. 여기 성수동 숨은 찐찐 맛집입니다. 스튜가 너무 따뜻하고 포근한 맛이에요. 유자 샤베트 후식도 완전 짱입니다. 너무 상큼해요!
8.27.수,소고기 스튜는 부드러운 고기와 향긋한 자스민 밥 조합이 너무 좋았어요. 돼지안심 스튜는 촉촉한 안심과 크리미한 매쉬드 포테이토가 완벽한 조화였습니다. 베이컨 바질페스토 파스타는 바질 향 가득하고 베이컨 풍미까지 더해져 깔끔하게 맛있었어요 👍
9.29.월,돼지고기스튜와으깬감자 메뉴랑 바질새우파스타에 바게트 추가해서 먹었어요! 🤍 오늘의 스프는 돼지호박스프로 주셨는데 향신료가 살짝 있으면서도 한국인들이 먹기 좋은 스프였고 음식은 사장님이 직접 바로 해주셔서 넘 맛있었어요 ㅠㅠ💗 20년동안 프랑스 요리 하셨다는데 프랑스를 가보지 않았지만 한국에서 이런 맛을 느낄 수 있다는점이 너무 좋은거같아요 !! 두명이서 가서 먹은건데 양도 진짜 너무 많고 파스타도 너무 맛있고 스튜에 들어가있는 돼지고기도 냄새도 안나고 부드럽고 엄청 커서 씹는맛도 좋았습니당 !! 뚝섬역근처에서 특별한 요리 먹고싶다면 강추🖤 거리도 가깝고 사장님 취향대로 꾸며놓으신거 같은데 아기자기하고 예뻐용 데이트 코스로도 추천드립니다:) 친절한 사장님 번창하세용~~!☺️☺️
9.11.목,간만에 레스토랑 왔어용~ 양고기스테이크도 냄세 없고 소스랑 넘 잘어울려요 가니시도 맛나서 와인이랑 어울려용 😍 스파게티도 크리미한데 부드럽고 소스 떠먹었는데 너무 맛나서 스프처럼 먹을뻔 ^^ 맛나게 잘 먹었습니당
10.14.화,프랑스 가정식을 먹을 수 있는 곳은 많지 않은데 성수동에 있다고 해서 다녀왔어요~ 날이 살짝 쌀쌀해졌는데 스튜를 먹으니 좋네요 :) 음식도 바게트도 좋았습니다~
