date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
9.25.목,"너어무 맛있어오 개인적으로 머핀에 큰 감흥 없는 편인데도, 앉은 자리에서 두 개 먹었어요.. 친절하고 다정하신 사장님의 응대도 너무 감사했어요 -"
7.10.목,커스터드머핀이랑 가나슈머핀 포장했어요 사장님 넘나 친절하시고 포장도 너무 이쁘고 머핀 진짜 쫀맛💛💛💛 가나슈 완전 제 스타일이예요 찐하고 꾸덕한 초코맛🍫 다른 머핀들도 궁금해용
3.31.월,"머핀 자체가 너무 맛있고 촉촉해요ㅠㅠ 달달한 편이라 커피,우유 같이 먹음 더 맛있어요 그리고 꼬옥 참았다가 실온에 이틀정도 숙성시켜서 드세요.. 훨씬훨씬 촉촉해져서 더 맛있어지니까 꼭 숙성시켜먹기...🤙  커스터드-얘가 제일 맛있었어요 쫀득한 커스터드 크림 존맛ㅠㅠ  팥크림-산미있는 크림치즈+달달 팥 조합이라 팥이 크림치즈의 산미를 눌러줘서 잘어울리는 맛!  바나나모카-씁쓸한 모카크림치즈와 바나나의 조합! 씁쓸한 맛 때문에 약간은 호불호가 있을것 같아요"
24.3.18.월,"최고의 디저트 예요 !! 다른 머핀과는 완전 다릅니다!! 사장님도 너무 친절하시구요 선물하기에도 너무 좋고 , 받아보신분들도 너무 좋아하셨어요~~ 너무 맛있어요 👍👍👍"
23.6.11.일,"머핀이 정말 맛있는 곳, 그리고 사장님께서 머핀에 정성을 쏟으셨다는 게 잘 느껴집니다. 매장도 아기자기하고 귀엽고, 혼자 사색하기에 완벽한 곳이네요. 음료만 마실까 했는데, 머핀을 보고 안 시킬 수가 없었어요. 그리고 먹어보니 시키길 잘 했다는 생각이 드네요. 추천합니다!!"
