date,content
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
8.28.목,뺑드에코 빵은 많이 먹어도 계속 들어가고 몸이 편해서 좋아합니다. 연무장에서 현재 위치로 이전하고 매장 분위기가 더 밝고 예뻐졌습니다(매장 앞에서 자세히 보면 작은 창문사이로 사장님께서 빵 써시는 모습도 보여요) 사장님 내외분은 언제나 친절하시고 가족에 대한 사랑으로부터 시작한 빵들은 그 마음이 전해져 사 먹는 사람에게도 그대로 전달됩니다. 비건 빵들도 여러가지가 있어서 채식하시는 분들에게도 추천합니다.
10.4.토,샤워도우빵 처음 먹어보는데 너무 맛있구 진짜 거짓말안하고 속이 편안해요...저 밀가루 잘먹는데도 그게 속이 불편한거였나? 싶을정도로 속이 거북하지않고 편안했어요!!! ㅎㅎ 집들이 할때 사놓고 식전빵 대접하기 좋을듯
7.5.토,"🥖하드빵 맛집! 빵순이 인정! 하드빵이 떨어져서 대충 찾아 갔는데, 오우 맛집! 여기 맛나네요! 가격대가 있는데, 빵이 커서 그렇구요. 썰고 포장하는데 한 10분정도 걸려요.  •무화과 깜파뉴: 적당한 무화과 중간 피칸이 있어 고수움 •깜빠뉴: 담백 적당한 호밀함량, 무난하니 좋음, 잼, 샌드위치류로 좋을듯. •트리플치즈 바게트: 바게트안 짭조름한 치즈🧀  전반적으로 안달고 고수워요. 세개다 맛났음요. 집근처 였음 주기적으로 빵 쟁겼을듯요❤️ 중간중간 안나온 빵 있었음ㅠ 하드빵 외 페스츄리 류 도 판매중. 직원분들 친절 했어요. 손님 계속 있었어요.  ✔️테이크아웃 전문점. 성수오면 재방문 할듯! ✔️식사빵 하드빵 맛집! ✔️4만원 이상 구매시 에코백 증정 이벤트."
7.2.수,"📍내돈내산📍 식사 대용으로 먹는 빵을 만드는 이곳. 유기농 밀가루와 르방을 넣어 만드는 빵집이라고 합니다. 블루리본도 두 번이나 받았네요. 성수카페거리에 있다가 경동초등학교 근처로 이사를 왔습니다. 테이크 아웃만 가능해서 내부에서 먹을 공간이 없는데요, 가게 앞 오렌지색 의자에 앉아서 드실 수 있어요. 이곳의 빵은 채식주의자도 먹을 수 있는 사워도우를 사용했다고 적혀 있군요. 건강에 좋은 호밀 100%, 통밀 100%로 만들 빵들도 있어요. 음료와 수제잼, 수제크림치즈 등도 판매합니다. 🔶신의 바게트. 이름이 독특하네요. 기공이 많이 보입니다. 겉은 바삭 속은 촉촉 쫄깃해요. 🔶소시지 바게트. 짜지 않은 소시지와 고소한 바게트가 잘 어울려요. 🔶고다레드치즈치아바타. 치즈맛은 살짝 폭신하고 맛있어요."
9.17.수,성수에서 식사용빵을 찾는다면 여기!
8.26.화,애정하는 곳이었는데 갑자기 사라져서 놀랬지만 이사를 가신거였더라고요. 오후에 늦게가면 안됩니다. 일찍일찍 서두르세요! 😊
9.24.수,"전에 한 번 방문했었는데 집 근처로 이전하셔서 가야지 가야지 하다가 저녁 문 닫기 직전에 방문했어요! 신의 바게트 사려다가 갈릭어니언바게트 구매했는데 마늘향 은은하니 치즈, 양파가 씹혀서 담백하게 먹기 너무 좋아요ㅠㅠ👍 바게트 겉은 빠작 속은 촉촉쫄깃합니다! 사실 쇼콜라 바게트 먹고싶어서 간 거였는데 품절인지 안 보여서 아망드쇼콜라를 구입했어요 많이 달지 않은데 초코맛은 느껴져서 만족스럽게 먹었습니당:) 그리고 퀸아망 서비스로 넣어주셨더라구요ㅠㅠㅠ🥹🥹 위에 코팅이 빠쟉하면서 살짝 달달하니 얘도 맘에 쏙 들었습니다 감사해요🩵 다음엔 쇼콜라 바게트 먹으러 일찍 들러야겠어요!!"
7.25.금,빵순이에겐 그저 빛이랄까요. 흡사 누룽지처럼 고소한 바게트 한번도 안 먹은 사람은 있어도 한 번만 먹는 사람은 없을 듯. 위치를 옮기셨는데 매장이 더욱 멋스러워요.
9.19.금,좔깃좔깃 이것이 바게트다!
8.22.금,새로 이전해서 오픈했다길래 방문했어요~ 더 가까워져서 좋습니다^^ 여전히 맛있어요 ^^
7.16.수,"비오는 날을 뚫고 성수감자탕 맞은 편에서 뚝섬역 쪽으로 이전한 뺑드에코 다녀왔오요 기본에 충실한 맛입니다! 바게트가 제일 맛이ㅛ구요, 소시지 바게트도 별미에요ㅎㅎ 하나만 맛 보려다가 집 가는 길에 완빵 해버림ㅎㅋ"
9.3.수,뺑드에코 2층에 있을때 가고 오랜만에 갔는데 여전히 바게트 맛집입니다 🥖🥖🥖 뚝섬가면 꼭 들려야겠어요.!
9.2.화,"바게트 먹으러갔는데 아직 안 나왔대서, 대신 먹은 치아바타. 하지만 대대대대존맛,, 순삭 해버렸습니다. 치즈풍미 ㅁㅊㄸ !"
8.9.토,성수동 메인 거리에 있다가 이곳으로 이사 후 첫 방문이었는데 가격이 또 올랐네요.ㅎ 바야흐로 깜빠뉴 9천원대의 시대 ㄷㄷ
9.20.토,바게트가 맛있는 곳 🥖🥖🥖 세 가지 치즈 바게트 강추 드려요!
9.4.목,친구 추천으로 방문 했어요 사장님도 매우 친절 하시고 서비스까지 챙겨주셨어요 😂 건강하게 맛난빵 많아요 👍 👍
8.1.금,호밀 100 맛있어요!! 그런데 한조각 크기가 너무 작아서 뭔가 식사빵으로 먹기에 식감이 아쉬운 면이 있어서... 다음에는 호밀 식빵으로 사게 될 것 같아요😀
