date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
9.27.토,"너무나 애정했던 마카롱 / 초콜릿 가게인데, 타지로 가서 엄청 오랜만에 와봤어요!! 정말 뚱카롱이 휩쓸때도, 꾸준히 쫀득한 이탈리안 머랭 고집하신 사장님의 마카롱은…. 진짜 최고! 여기 소개시켜주고 다들 엄청 맛있었다 그러고 좋아했어요!! 다이어트만 아니었어도 아이스초코를 벌컥벌컥 마셨을텐데, 결혼식 끝나고 돌아오ㅏ야지 😍 다먹을테다!!!! 매장이 넓지는 않지만 맛있어서 자주 오고싶은곳이에요! 저처럼 다이어트 하는 사람들을 위해 미니마카롱도 있으니 마카롱 입문 하고싶은분들은 미니마카롱으로 시작해도 좋을거같아여!"
9.15.월,"성수동 쁘띠그랑은 1인 운영으로만 이뤄지는 테이크아웃 전문 디저트 가게다. 수제 마카롱과 초콜릿 13년 장인의 손끝에서 완성된 디저트는 단맛이 과하지 않고 재료 본연의 맛을 살려 세련된 풍미를 전한다. 음료 역시 밸런스가 뛰어나 가볍게 들러도 만족감이 크다. 규모는 작지만 정성과 감각이 살아 있는 공간으로, 성수동을 산책하며 특별한 한 입을 찾는 이들에게 꼭 추천하고 싶은 곳이다."
3.28.금,성수에 갈 때마다 1순위로 들르는 최애 초콜릿/마카롱 가게입니다. 20년간 디저트 먹으러 다닌 제가 앉은 자리에서 13개씩 순삭할 정도면 말 다한거죠.ㅋ 오래도록 가게를 지켜주시는 사장님께 감사할 따름입니다. 덕분에 행복감 가득 안고 돌아갑니다. 잘먹었습니다!😋
1.7.화,마카롱은 맛마다 꼬끄가 다른가봐요. 장미버터는 겉은 바삭하고 속은 찰진쪽이고 얼그레이는 부드러운 쪽이었어요 . 친절하시고 선물용으로도 좋아보여요!
6.21.토,반응 남기기 방문일 6.21.토 2025년 6월 21일 토요일 1번째 방문 인증 수단 영수증
