date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
6.26.목,너무 맛있어서 허겁지겁 먹다가 리뷰 쓰려고 사진 찍었어요. 짬뽕이랑 볶음밥 주문하였는데 짬뽕은 직접 불맛이 나도록 볶은 후 육수를 낸 듯해 보였습니다. 불향 가득 풍미가 입안 가득 퍼지는 느낌이었어요. (일단 여기서 근본 가득) 볶음밥의 경우는 밥알이 고슬고슬 살아있고 지나치게 기름지지 않아서 단백하면서 양념 소스 없이 그 자체로 맛있었습니다. 멀리서 봤을땐 장사하고 있는게 맞나? 싶은 느낌이 있는데 그냥 문 열고 들어가면 사장님이 반갑게 맞아주십니다. 정말 오랜만에 근본 넘치는 짬뽕을 맛보았어요. 다음번엔 짜짱 먹으러 올게요!!
6.3.화,저렴하긴 한데 빽홍콩반점 수준의 음식이라서 ㅎㅎ 창틀에도 벌레 시체 많고 특별한 메뉴도 없고 서비스도 그냥그냥 무뚝뚝 장점을 찾기 어렵네요.
3.22.토,길가다 냄새에 이끌려 갑자기 방문했어요.  면이 아주 쫄깃쫄깃했습니다. 추가로 시킨 짬뽕국물도 간은 세지만 아주 맛있었습니다.  인테리어도 휑하고 친절함은 없구요. 양도 적었지만 매력은 있었습니다.
5.21.수,들어가자마자 사장 첫 마디부터 불친절하고 손님 대하는 태도가 가관입니다. 짜장면 기본 만원인데 양도 적도 양파보니 이미 볶아져 있던 거 그대로 올려준 듯함 사장은 끝까지 불친절하고 화장실 어디에 있는지 물어보니 이거 안 보이냐고 뭐라 하는 거 보니 진짜 다신 안 가야겠다 ㅋㅋㅋㅋ
5.17.토,입장부터 느껴지는 불친절함!! 오랜만에 느끼는 불편하고 불쾌한 기분을 느끼고 왔습니다 🤣
24.12.6.금,점심 메뉴는 3가지 볶음밥은 밥알을 잘 볶아 식감이 좋았지만 소금간 싱거웠고 짬뽕 국물은 짰지만 잘 먹고 갑니다.
1.23.목,깔끔하고 맛있어요 음식이 빨리나오니 좋네요
24.11.23.토,음식 양 적고 비쌈 사진에 있는 짜장면 나오자마자 비비기만 한것. 가격 만원. 무엇보다 깡패같은 주방장의 불친절함에 어이가 없고 오토바이 옆에 식쟤료 쌓아두고 사용하는 모습 불편합니다
24.12.25.수,홀에 안 보여서 주문도 어렵고 그렇게 깨끗한 느낌은 없..
24.10.12.토,가려던곳이 다 붐벼서 그냥 들어갔는데 짬뽕국물 추간거 이해해보려했는데 진짜 퀄리티 무슨일 그냥 돈버린 느낌 아숩
24.10.5.토,짜장면 비싸고 맛없음. 면이 딱딱하고 질김. 양은 다른 가게대비 잘반정도임. 다시는 방문하고 싶지 않음. 손님이 없는데는 이유가 있는거임.
24.7.13.토,어린이 메뉴가 있어서 좋았고 탕수육이 아주 맛있어요
24.5.2.목,"친구랑 짜장 짬뽕 시켰는데 넘 맛있어요~ 특히 짬뽕!!!강추입니다.먹어본 짬뽕에 최고로 뽑힐수 있을만큼요~ 배고 넘 고팠나 ?ㅎㅎ진짜 맛있어요,또 먹고 싶은 맛입니다^^"
24.8.9.금,반응 남기기 방문일 24.8.9.금 2024년 8월 9일 금요일 1번째 방문 인증 수단 영수증
24.5.26.일,"아이랑 갔는데 완전 불편하게 먹고 왔네요. 직원분 너무 불친절하고, 눈치 보면서 먹고 나왔습니다. 맛은 있지만 가격도 비싸고, 다시는 가고 싶지 않은 곳이네요."
24.7.27.토,반응 남기기 1 명 방문일 24.7.27.토 2024년 7월 27일 토요일 1번째 방문 인증 수단 영수증
24.2.17.토,뮤지컬 보기 전 시간이 어중간 해서 중국음식 빨리 나올 줄 알고 갔다가 시간이 오래 걸려 엄청 뛰었어요…ㅠ 맛은 쏘쏘~~ 친절해요.
24.2.25.일,짜장1 짬뽕1를 주문. 각각1만원씩. 짜장은 양이 너무적고(아동용정도. 서너젓가락질하면 없을 정도의 양) 짬뽕은 김치만 잔뜩 썰어 넣고 맛도 짜다) 일행이 짬뽕을 먹으면 입맛만 버릴거 같다고 다른 식당으로 가자고 하여 한젓가락씩 맛만 보고 음식나온지 1분도 안되어 일어나서 카운터로 갔더니 이런 광경을 지켜 보고 있었던 직원왈 2만원 입니다 하네요. 금액 말하기전에 음식이 뭐가 잘못 되었냐고 손님에게 물어 보지도 않아서 제가 음식맛 이 원래 이런가요 했더니 답변은 없고 계산만 하더군요. 맛이아니면 양이라도 제대로 나오던지 해야지 이런 중식당 처음이네요. 아무리 뜨내기손님이 상대하는 카페골목이라고 하지만 장사를 이런식으로 하면 안되죠. 기본이 안된식당 입니다
24.5.21.화,반응 남기기 1 명 방문일 24.5.21.화 2024년 5월 21일 화요일 1번째 방문 인증 수단 영수증
24.5.4.토,반응 남기기 1 명 방문일 24.5.4.토 2024년 5월 4일 토요일 1번째 방문 인증 수단 영수증
23.10.3.화,서울숲 걷다가 들어갔는데 이집의 장점 간이 쎄요!! 그래서 다른집보다 맛있어요 ㅋㅋㅋㅋ 주문 동시에 요리해서 느린게 단점 인내가없다면 가지마시길 ㅎㅎ맛은좋습니다 !!! 이제 짬뽕 짜장 다 만원이네요 흑흑 ㅜ
24.10.4.금,반응 남기기 방문일 24.10.4.금 2024년 10월 4일 금요일 1번째 방문 인증 수단 영수증
24.1.3.수,"음식이 정말 늦게 나옵니다. 요리랑 식사 시켰는데 식사는 우리 테이블 보다 늦게 온 두 팀이 먼저 주고 그분들이 나갈 때도 음식이 안나오고, 요리 다 먹고 언제 나오는지 두번을 물어보고 나서야 하나씩 나오는 데 그나마 몇명은 또 한참 기다렸다가 받았습니다. 대량 4~50분은 기다렸다가 받았는데도 양해를 구하지 않을뿐더러 종업원 굳은 표정으로 응대해서 더 기분이 나빠졌어요."
24.1.1.월,서울숲 주변 식당이 많이 비싸져서 여기도 중국집으로서 싸지는 않지만 맛도 괜찮고 좋았음
23.12.10.일,정말 불편해서 다신 가고싶지 않네요. 들어갈까 말까 고민했는데 맞이 해주시는 직원분이 친절하지도 않고 불만 가득한듯이 말하고 밥도 사진과 너무 다르고 정말 하나같이 맘에 안드네요 직원분 교육을 다시 시키시던지 하셔야 될거 같네요 그 직원 있으면 그냥 돌아갈듯 합니다.
23.7.9.일,"가족모임으로 갔는데 캐쥬얼한분위기지만, 음식맛이 너무너무 좋아서 매우 기분좋게 식사했어요^^ 짬뽕이며 짜장, 고기튀김, 새우튀김 뭐하나 빠짐없이 모두 만족스러웠네요 :) 맛있는 음식에 가족들모두 기분좋은 식사를 했네요^^ 다음번 또 재방문 할껍니다💛"
24.4.4.목,반응 남기기 1 명 방문일 24.4.4.목 2024년 4월 4일 목요일 1번째 방문 인증 수단 영수증
24.1.31.수,다시는 가지 않겠습니다ㅜㅜ
23.9.10.일,아무런 정보 없이 들어간 중식당인데 정말 맛있어요!
