date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
4.14.월,너무 맛있고 반찬도 많이 주셔서 항상 먹고나면 한끼 제대로 챙겨먹은 기분이 드는 곳입니다  특히 제육이 정말 맛있는데 여기 맛집인걸 모르는 분들이 많은 것 같아 리뷰 하나 남깁니다
6.20.금,반응 남기기 방문일 6.20.금 2025년 6월 20일 금요일 65번째 방문 인증 수단 영수증
5.20.화,반응 남기기 방문일 5.20.화 2025년 5월 20일 화요일 64번째 방문 인증 수단 영수증
5.8.목,반응 남기기 방문일 5.8.목 2025년 5월 8일 목요일 63번째 방문 인증 수단 영수증
3.31.월,반응 남기기 방문일 3.31.월 2025년 3월 31일 월요일 59번째 방문 인증 수단 영수증
3.23.일,반응 남기기 방문일 3.23.일 2025년 3월 23일 일요일 57번째 방문 인증 수단 영수증
3.13.목,반응 남기기 방문일 3.13.목 2025년 3월 13일 목요일 55번째 방문 인증 수단 영수증
4.9.수,반응 남기기 방문일 4.9.수 2025년 4월 9일 수요일 62번째 방문 인증 수단 영수증
4.8.화,반응 남기기 방문일 4.8.화 2025년 4월 8일 화요일 61번째 방문 인증 수단 영수증
4.4.금,반응 남기기 방문일 4.4.금 2025년 4월 4일 금요일 60번째 방문 인증 수단 영수증
3.30.일,반응 남기기 방문일 3.30.일 2025년 3월 30일 일요일 58번째 방문 인증 수단 영수증
1.29.수,금호동에서 손꼽히는 곳입니다! 영혼이 힐링되는 맛입니다!!!
3.19.수,반응 남기기 방문일 3.19.수 2025년 3월 19일 수요일 56번째 방문 인증 수단 영수증
3.11.화,반응 남기기 방문일 3.11.화 2025년 3월 11일 화요일 54번째 방문 인증 수단 영수증
3.9.일,반응 남기기 방문일 3.9.일 2025년 3월 9일 일요일 53번째 방문 인증 수단 영수증
3.5.수,반응 남기기 방문일 3.5.수 2025년 3월 5일 수요일 52번째 방문 인증 수단 영수증
3.2.일,반응 남기기 방문일 3.2.일 2025년 3월 2일 일요일 51번째 방문 인증 수단 영수증
3.1.토,반응 남기기 방문일 3.1.토 2025년 3월 1일 토요일 50번째 방문 인증 수단 영수증
2.28.금,반응 남기기 방문일 2.28.금 2025년 2월 28일 금요일 49번째 방문 인증 수단 영수증
2.25.화,반응 남기기 방문일 2.25.화 2025년 2월 25일 화요일 48번째 방문 인증 수단 영수증
24.10.15.화,오늘은 라면에 복분자.김치만 달랬더니 멸치까지.
1.4.토,반응 남기기 방문일 1.4.토 2025년 1월 4일 토요일 43번째 방문 인증 수단 영수증
1.2.목,반응 남기기 방문일 1.2.목 2025년 1월 2일 목요일 42번째 방문 인증 수단 영수증
1.22.수,반응 남기기 방문일 1.22.수 2025년 1월 22일 수요일 47번째 방문 인증 수단 영수증
1.13.월,반응 남기기 방문일 1.13.월 2025년 1월 13일 월요일 46번째 방문 인증 수단 영수증
1.7.화,반응 남기기 방문일 1.7.화 2025년 1월 7일 화요일 45번째 방문 인증 수단 영수증
1.6.월,반응 남기기 방문일 1.6.월 2025년 1월 6일 월요일 44번째 방문 인증 수단 영수증
24.12.23.월,반응 남기기 방문일 24.12.23.월 2024년 12월 23일 월요일 41번째 방문 인증 수단 영수증
24.12.9.월,반응 남기기 방문일 24.12.9.월 2024년 12월 9일 월요일 40번째 방문 인증 수단 영수증
24.11.19.화,반응 남기기 방문일 24.11.19.화 2024년 11월 19일 화요일 39번째 방문 인증 수단 영수증
24.11.8.금,반응 남기기 방문일 24.11.8.금 2024년 11월 8일 금요일 38번째 방문 인증 수단 영수증
24.11.1.금,반응 남기기 방문일 24.11.1.금 2024년 11월 1일 금요일 37번째 방문 인증 수단 영수증
24.10.27.일,반응 남기기 방문일 24.10.27.일 2024년 10월 27일 일요일 36번째 방문 인증 수단 영수증
24.10.26.토,반응 남기기 방문일 24.10.26.토 2024년 10월 26일 토요일 35번째 방문 인증 수단 영수증
24.10.24.목,반응 남기기 방문일 24.10.24.목 2024년 10월 24일 목요일 34번째 방문 인증 수단 영수증
24.10.22.화,반응 남기기 방문일 24.10.22.화 2024년 10월 22일 화요일 33번째 방문 인증 수단 영수증
24.10.14.월,반응 남기기 방문일 24.10.14.월 2024년 10월 14일 월요일 31번째 방문 인증 수단 영수증
24.10.10.목,반응 남기기 방문일 24.10.10.목 2024년 10월 10일 목요일 30번째 방문 인증 수단 영수증
24.10.9.수,반응 남기기 방문일 24.10.9.수 2024년 10월 9일 수요일 29번째 방문 인증 수단 영수증
24.5.22.수,"맛도 있고 친절해요.맛좀 보다가 제육쌈밥 사진 올려요,복분자에 쌈밥입니다."
24.9.21.토,반응 남기기 방문일 24.9.21.토 2024년 9월 21일 토요일 28번째 방문 인증 수단 영수증
24.9.2.월,반응 남기기 방문일 24.9.2.월 2024년 9월 2일 월요일 27번째 방문 인증 수단 영수증
24.8.20.화,반응 남기기 방문일 24.8.20.화 2024년 8월 20일 화요일 26번째 방문 인증 수단 영수증
24.8.19.월,반응 남기기 방문일 24.8.19.월 2024년 8월 19일 월요일 25번째 방문 인증 수단 영수증
24.6.8.토,반응 남기기 방문일 24.6.8.토 2024년 6월 8일 토요일 21번째 방문 인증 수단 영수증
24.5.16.목,반응 남기기 방문일 24.5.16.목 2024년 5월 16일 목요일 15번째 방문 인증 수단 영수증
24.6.19.수,반응 남기기 방문일 24.6.19.수 2024년 6월 19일 수요일 24번째 방문 인증 수단 영수증
24.6.18.화,반응 남기기 방문일 24.6.18.화 2024년 6월 18일 화요일 23번째 방문 인증 수단 영수증
24.6.9.일,반응 남기기 방문일 24.6.9.일 2024년 6월 9일 일요일 22번째 방문 인증 수단 영수증
24.6.6.목,반응 남기기 방문일 24.6.6.목 2024년 6월 6일 목요일 20번째 방문 인증 수단 영수증
24.6.4.화,반응 남기기 방문일 24.6.4.화 2024년 6월 4일 화요일 19번째 방문 인증 수단 영수증
24.5.24.금,반응 남기기 방문일 24.5.24.금 2024년 5월 24일 금요일 18번째 방문 인증 수단 영수증
24.4.3.수,맛 있고 친절해요.
24.5.18.토,반응 남기기 방문일 24.5.18.토 2024년 5월 18일 토요일 16번째 방문 인증 수단 영수증
24.3.28.목,반응 남기기 방문일 24.3.28.목 2024년 3월 28일 목요일 4번째 방문 인증 수단 영수증
24.5.11.토,반응 남기기 방문일 24.5.11.토 2024년 5월 11일 토요일 14번째 방문 인증 수단 영수증
24.3.7.목,음식 맛있게 해 주시고 친절해요
24.5.8.수,반응 남기기 방문일 24.5.8.수 2024년 5월 8일 수요일 13번째 방문 인증 수단 영수증
24.5.7.화,반응 남기기 방문일 24.5.7.화 2024년 5월 7일 화요일 12번째 방문 인증 수단 영수증
24.5.3.금,반응 남기기 방문일 24.5.3.금 2024년 5월 3일 금요일 11번째 방문 인증 수단 영수증
24.4.24.수,반응 남기기 방문일 24.4.24.수 2024년 4월 24일 수요일 10번째 방문 인증 수단 영수증
24.4.23.화,반응 남기기 방문일 24.4.23.화 2024년 4월 23일 화요일 9번째 방문 인증 수단 영수증
24.4.15.월,반응 남기기 방문일 24.4.15.월 2024년 4월 15일 월요일 8번째 방문 인증 수단 영수증
