date,content
3.18.화,"요즘 반찬 여러개주고 백반을 8천원 받는 곳이 있답니다. 사장님 음식솜씨가 좋으시고 혼밥하러도 많은 분들이 오네요. 김치도 직접 담그시는것 같고, 재료도 국산을 쓰신다고 자랑스럽게 말씀하시네요. 신금호역 스타벅스 라인에 있으니 집밥이 생각날때 꼭 들려보세요~ 전 배수지공원에 산책오면 자주 들려 점심을 해결하고 갑니다~"
8.1.금,반응 남기기 방문일 8.1.금 2025년 8월 1일 금요일 99번째 방문 인증 수단 영수증
7.3.목,반응 남기기 방문일 7.3.목 2025년 7월 3일 목요일 98번째 방문 인증 수단 영수증
6.24.화,반응 남기기 방문일 6.24.화 2025년 6월 24일 화요일 97번째 방문 인증 수단 영수증
6.18.수,반응 남기기 방문일 6.18.수 2025년 6월 18일 수요일 96번째 방문 인증 수단 영수증
6.17.화,반응 남기기 방문일 6.17.화 2025년 6월 17일 화요일 95번째 방문 인증 수단 영수증
6.12.목,반응 남기기 방문일 6.12.목 2025년 6월 12일 목요일 94번째 방문 인증 수단 영수증
6.10.화,반응 남기기 방문일 6.10.화 2025년 6월 10일 화요일 93번째 방문 인증 수단 영수증
6.9.월,반응 남기기 방문일 6.9.월 2025년 6월 9일 월요일 92번째 방문 인증 수단 영수증
6.5.목,반응 남기기 방문일 6.5.목 2025년 6월 5일 목요일 91번째 방문 인증 수단 영수증
6.4.수,반응 남기기 방문일 6.4.수 2025년 6월 4일 수요일 90번째 방문 인증 수단 영수증
5.30.금,반응 남기기 방문일 5.30.금 2025년 5월 30일 금요일 89번째 방문 인증 수단 영수증
5.29.목,반응 남기기 방문일 5.29.목 2025년 5월 29일 목요일 88번째 방문 인증 수단 영수증
5.28.수,반응 남기기 방문일 5.28.수 2025년 5월 28일 수요일 87번째 방문 인증 수단 영수증
5.21.수,반응 남기기 방문일 5.21.수 2025년 5월 21일 수요일 86번째 방문 인증 수단 영수증
5.20.화,반응 남기기 방문일 5.20.화 2025년 5월 20일 화요일 85번째 방문 인증 수단 영수증
5.13.화,반응 남기기 방문일 5.13.화 2025년 5월 13일 화요일 84번째 방문 인증 수단 영수증
5.12.월,반응 남기기 방문일 5.12.월 2025년 5월 12일 월요일 83번째 방문 인증 수단 영수증
4.30.수,반응 남기기 방문일 4.30.수 2025년 4월 30일 수요일 82번째 방문 인증 수단 영수증
4.29.화,반응 남기기 방문일 4.29.화 2025년 4월 29일 화요일 81번째 방문 인증 수단 영수증
4.28.월,반응 남기기 방문일 4.28.월 2025년 4월 28일 월요일 80번째 방문 인증 수단 영수증
4.23.수,반응 남기기 방문일 4.23.수 2025년 4월 23일 수요일 79번째 방문 인증 수단 영수증
4.17.목,반응 남기기 방문일 4.17.목 2025년 4월 17일 목요일 78번째 방문 인증 수단 영수증
4.16.수,반응 남기기 방문일 4.16.수 2025년 4월 16일 수요일 77번째 방문 인증 수단 영수증
4.15.화,반응 남기기 방문일 4.15.화 2025년 4월 15일 화요일 76번째 방문 인증 수단 영수증
4.11.금,반응 남기기 방문일 4.11.금 2025년 4월 11일 금요일 75번째 방문 인증 수단 영수증
4.9.수,반응 남기기 방문일 4.9.수 2025년 4월 9일 수요일 74번째 방문 인증 수단 영수증
4.8.화,반응 남기기 방문일 4.8.화 2025년 4월 8일 화요일 73번째 방문 인증 수단 영수증
4.4.금,반응 남기기 방문일 4.4.금 2025년 4월 4일 금요일 72번째 방문 인증 수단 영수증
4.1.화,반응 남기기 방문일 4.1.화 2025년 4월 1일 화요일 71번째 방문 인증 수단 영수증
3.31.월,반응 남기기 방문일 3.31.월 2025년 3월 31일 월요일 70번째 방문 인증 수단 영수증
3.26.수,반응 남기기 방문일 3.26.수 2025년 3월 26일 수요일 69번째 방문 인증 수단 영수증
3.24.월,반응 남기기 방문일 3.24.월 2025년 3월 24일 월요일 68번째 방문 인증 수단 영수증
3.21.금,반응 남기기 방문일 3.21.금 2025년 3월 21일 금요일 67번째 방문 인증 수단 영수증
3.19.수,반응 남기기 방문일 3.19.수 2025년 3월 19일 수요일 66번째 방문 인증 수단 영수증
3.17.월,반응 남기기 방문일 3.17.월 2025년 3월 17일 월요일 65번째 방문 인증 수단 영수증
3.14.금,반응 남기기 방문일 3.14.금 2025년 3월 14일 금요일 64번째 방문 인증 수단 영수증
3.13.목,반응 남기기 방문일 3.13.목 2025년 3월 13일 목요일 63번째 방문 인증 수단 영수증
3.11.화,반응 남기기 방문일 3.11.화 2025년 3월 11일 화요일 61번째 방문 인증 수단 영수증
3.10.월,반응 남기기 방문일 3.10.월 2025년 3월 10일 월요일 60번째 방문 인증 수단 영수증
3.5.수,반응 남기기 방문일 3.5.수 2025년 3월 5일 수요일 59번째 방문 인증 수단 영수증
2.27.목,반응 남기기 방문일 2.27.목 2025년 2월 27일 목요일 58번째 방문 인증 수단 영수증
2.19.수,반응 남기기 방문일 2.19.수 2025년 2월 19일 수요일 57번째 방문 인증 수단 영수증
2.18.화,반응 남기기 방문일 2.18.화 2025년 2월 18일 화요일 56번째 방문 인증 수단 영수증
2.17.월,반응 남기기 방문일 2.17.월 2025년 2월 17일 월요일 55번째 방문 인증 수단 영수증
2.14.금,반응 남기기 방문일 2.14.금 2025년 2월 14일 금요일 54번째 방문 인증 수단 영수증
2.5.수,반응 남기기 방문일 2.5.수 2025년 2월 5일 수요일 53번째 방문 인증 수단 영수증
2.4.화,반응 남기기 방문일 2.4.화 2025년 2월 4일 화요일 52번째 방문 인증 수단 영수증
2.3.월,반응 남기기 방문일 2.3.월 2025년 2월 3일 월요일 51번째 방문 인증 수단 영수증
1.23.목,반응 남기기 방문일 1.23.목 2025년 1월 23일 목요일 50번째 방문 인증 수단 영수증
1.20.월,반응 남기기 방문일 1.20.월 2025년 1월 20일 월요일 49번째 방문 인증 수단 영수증
1.17.금,반응 남기기 방문일 1.17.금 2025년 1월 17일 금요일 48번째 방문 인증 수단 영수증
1.16.목,반응 남기기 방문일 1.16.목 2025년 1월 16일 목요일 47번째 방문 인증 수단 영수증
1.13.월,반응 남기기 방문일 1.13.월 2025년 1월 13일 월요일 46번째 방문 인증 수단 영수증
1.10.금,반응 남기기 방문일 1.10.금 2025년 1월 10일 금요일 45번째 방문 인증 수단 영수증
1.9.목,반응 남기기 방문일 1.9.목 2025년 1월 9일 목요일 44번째 방문 인증 수단 영수증
1.8.수,반응 남기기 방문일 1.8.수 2025년 1월 8일 수요일 43번째 방문 인증 수단 영수증
1.7.화,반응 남기기 방문일 1.7.화 2025년 1월 7일 화요일 42번째 방문 인증 수단 영수증
1.6.월,반응 남기기 방문일 1.6.월 2025년 1월 6일 월요일 41번째 방문 인증 수단 영수증
24.12.26.목,반응 남기기 방문일 24.12.26.목 2024년 12월 26일 목요일 40번째 방문 인증 수단 영수증
24.12.24.화,반응 남기기 방문일 24.12.24.화 2024년 12월 24일 화요일 39번째 방문 인증 수단 영수증
