date,content
"""음악이 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""매장이 넓어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""야외공간이 멋져요""",이 키워드를 선택한 인원
"""차가 맛있어요""",이 키워드를 선택한 인원
"""주문제작을 잘해줘요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
10.17.금,"무화과 바닐라 아이스크림 진짜 맛있었어요ㅠㅠ 특히 무화과가 신선해서 씹는 즐거움이 있었고 바닐라 아이스크림이랑 잘 어우러지더라구요🫠 조명도 좋고 음악소리도 적당해서 사람들 소리도 배경음처럼 들리고 대화하기도 좋았어요:) 사장님도 친절하시구 디저트, 음료, 분위기 전부 다 완벽해 다음엔 위스키도 즐기러 다시 오려구요!!"
9.7.일,"커피, 음료수도 팔고 술도 파는 카페에 들어왔어요! 푸딩맛집이라길래 커스터드푸딩으로 바로 주문했습니다 ㅎㅎ 위에 얹혀있는 부드러운 생크림도 넘 맛있구 다른 분들 시키시는거 보니까 말차푸딩도 많이 드시더라구요!! 취향에 맞게 시켜드시면 될 것 같아요 아아 한 잔이랑 하이랜드 쿨러라는 술을 시켰는데 도수가 세지 않아서 낮에 먹기도 좋았어요~ 술을 시켜서 그런지 안주로 프레츨을 주셨는데 프레츨 안에 땅콩이 들어있구 안주가 넘 맛있는거에요?! 다 맛있게 잘 먹었습니다💗 직원분이 앉아있는 곳까지 서빙도 해주시고 서비스 최고에요.. 그리고 귀여운 고양이가 있어 힐링도 할 수 있는 좋은 곳 ㅎㅎ"
9.28.일,커피랑 술이 같이 있어서 선택해서 먹을 수 있어서 좋아요:) 커피 맛있어요! 노래도 좋고 분위기도 좋아서 머무르기 좋네용 +고양이가 너무 귀엽구 예뻐용
10.4.토,여자친구랑 너무 즐거운 시간 보내고 갑니다 음악 볼륨이 딱 적당해서 대화하기도 좋아요 또 올게요~~
7.9.수,시즌메뉴인 말차썸머라떼 예쁜데 맛있어요❤️ 푸딩이 어쩜 이리 예쁘고 탱글 쫀득한지! 커피까지 맛있으니~~ 실내 인테리어도 너무 감각적이고 음악감상하기도 좋으네요 분위기가😍 진심 느좋🩵 저녁에는 Bar로도 운영하시는듯 하니; 느낌있게 혼술도 편안할듯한 공간이네요
10.19.일,고양이가 너무 귀엽고 커피랑 푸딩도 맛있어용~!! 분위기 넘 좋습니당
9.12.금,푸딩킬러인데 여기 푸딩 진짜 맛있어요 일본식 탄탄하고 밀도 높은 푸딩 좋아하는데 여기가 진짜 최고.. 뷰도 좋고 다 좋음 다만 1인 1음료 기본이라 이건 좀 이상함... 푸딩이 커피만큼 비싼데 디저트로는 안된다나..ㅎㅎ
8.31.일,분위기가 좋은 카페입니다 :) 말차 메뉴가 메인으로 있어서 반가웠어요~ 노래를 위해 방음 문으로 해두신 것도 넘 인상적이었습니다!
10.14.화,사장님 친절하시구 고양이 너무 귀여워요..🤍 분위기항 커피도 쏘 굳🎵
9.27.토,스피커 사운드도 너무 좋고 푸딩이 정말 맛있어요 ㅎㅎㅎ 고양이는 너무 시크해요
9.25.목,일단 분위기가 너무 좋고 음악이 대화하기 적절해요! 술과 음료를 같이 판매해서 다양하게 선택할 수 있습니다. 낮에 온다면 푸딩까지 시키고싶어요!!
10.12.일,커피랑 디저트 다 맛있어요! 근데 특히 분위기가 너무 좋아요:) 카페로도 바로도 좋습니다!
10.5.일,조용하고 분위기가 좋아요 아메리카노에 푸딩도 맛있네요^^
8.30.토,카페 분위기 너무 좋아요 ㅎㅎㅎ 음료도 맛있어요!! 특히.. 푸딩이라는 고양이가 너무 귀엽읍니다
10.9.목,음악 들으면서 힐링하고 싶어서 찾아왔어요! 선선한 날씨에 창가에 앉아있으니 너무 좋네요🎶
10.3.금,감성도 좋고 디저트 커피도 맛있네요! 데이터나 친목 다지기 좋은 카페 같습니다!!
9.15.월,SOUND PROVIDER🩷 음료 디저트 가릴것없이 전부 맛있어요 좋은 스피커로 듣는 노래까지😆 성수동 올때마다 들르는 카페에요
9.26.금,말차푸딩이 너무 마싯어요!! 오븐에 구운? 푸딩이라 그런지 식감이 다르네요ㅎㅎ 푸딩강추👍
8.22.금,커피 너무 맛있고 귀여운 고양이가 있어요!! 🩵🩵🩵🩵🩵🩵 카페도 너무 예뻐요 🩵🩵🩵
9.5.금,고양이도 너무 귀엽고 말차라떼 너무 맛있아오💚
7.5.토,분위기가 진짜 좋아여 칵테일 마시기 좋을 것 같아여 디저트랑 말차라떼 짱 맛있어영 커피도 짱 맛있어여!! 일단 분위기 맛집이다!!!!👍🏻👍🏻🫠🧡💖
7.19.토,공간이 힙해요. 약간 인더스트리얼 느낌인데 성수랑 잘 어울려요. 카페보단 바에 더 가까운 느낌? 라즈베리에이드 상콤하고 맛있어요!!
8.30.토,전시회 보러왔다가 근처에 카페를 찾았는데 너무 감성있고 좋은 카페👏❤️찾아서 기뻐요! 진짜 분위기 느좋….카페 (ˊσ̴̶̷̤⌄σ̴̶̷̤ˋ)♡
8.18.월,식사후 데이트하기 좋은 장소입니다. 본가가 있는 것이라 근처 많은 카페에 많이 다녀본 편인데 맛있는 디저트가 있는 새로운 곳 발견해서 좋아요^^ 😃
5.10.토,"공간이 너무너무 예쁘고, 음악도 적단히 크게 틀어주셔서 좋아요! 조명도 어두워서 저녁에 와서 편안하게 있다 갑니다 ㅎㅎ 큰 테이블과 콘센트도 있어서 혼자 와서 작업하기에도 좋습니다! 친구들과 대화하러 오기에도 좋을 것 같구 할일하러 오기에도 괜찮네용ㅎㅎㅎ"
