date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
7.22.화,울회사 근처 냉면맛집. 여기 회냉면은 진짜 맛있다. 청량리 유명맛집보다 여기가 더 찐일듯. 내입엔♡♡ 암튼 퇴근후 냉면이 넘 먹고퐈서 감. 만두도 속이 꽉차있고 간도 잘되어 있어서 넘 좋다. 더운여름 더욱더 절실한 냉면~~~ 여기가 그 해답
8.10.일,현금으로 결제하면 천원 할인해주십니다. 저희는 이미 계산중인데 말씀 하셔서...
6.17.화,냉면 맛집~^^ 콩국수도 맛있어요
24.7.10.수,약간은 비싼 감이 있지만 맛있었습니다
24.6.26.수,성동구 마장동 삼 대 냉 면
24.11.1.금,반응 남기기 방문일 24.11.1.금 2024년 11월 1일 금요일 1번째 방문 인증 수단 영수증
23.10.18.수,"회냉면,비빔냉면 맛있어요... 담엔 들깨 수제비 먹으러갈거예요~^^"
23.9.13.수,반응 남기기 방문일 23.9.13.수 2023년 9월 13일 수요일 1번째 방문 인증 수단 영수증
23.7.17.월,옆 칼국수집 보다 비싼 동네 식당
23.4.13.목,맛있어서 또 방문 했어요~시래기해장국과 냉면을 추가 했는데 냉면의 개운함으로 마무리 했는데 냉면도 맛있어요~~~
23.4.13.목,동네 숨은 맛집이다 차림도 정갈하지만 맛도 좋다
23.4.4.화,오늘 처음 간 식당에서 점심으로 돌솥비빔밥~ 혼자 먹어도 맛있넹^^
23.7.21.금,반응 남기기 방문일 23.7.21.금 2023년 7월 21일 금요일 1번째 방문 인증 수단 영수증
23.4.10.월,반응 남기기 방문일 23.4.10.월 2023년 4월 10일 월요일 1번째 방문 인증 수단 영수증
23.4.1.토,반응 남기기 방문일 23.4.1.토 2023년 4월 1일 토요일 1번째 방문 인증 수단 영수증
23.2.13.월,반응 남기기 방문일 23.2.13.월 2023년 2월 13일 월요일 1번째 방문 인증 수단 영수증
22.5.16.월,반응 남기기 방문일 22.5.16.월 2022년 5월 16일 월요일 1번째 방문 인증 수단 영수증
22.7.8.금,반응 남기기 방문일 22.7.8.금 2022년 7월 8일 금요일 1번째 방문 인증 수단 영수증
22.7.2.토,반응 남기기 방문일 22.7.2.토 2022년 7월 2일 토요일 1번째 방문 인증 수단 영수증
21.8.30.월,반응 남기기 방문일 21.8.30.월 2021년 8월 30일 월요일 1번째 방문 인증 수단 영수증
20.9.18.금,반응 남기기 방문일 20.9.18.금 2020년 9월 18일 금요일 1번째 방문 인증 수단 영수증
