date,content
"""신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""부위가 다양해요""",이 키워드를 선택한 인원
"""원산지 표시가 명확해요""","""원산지 표시가 명확해요"""
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
10.4.토,반응 남기기 방문일 10.4.토 2025년 10월 4일 토요일 1번째 방문 인증 수단 영수증
6.21.토,반응 남기기 방문일 6.21.토 2025년 6월 21일 토요일 2번째 방문 인증 수단 결제내역
2.8.토,반응 남기기 방문일 2.8.토 2025년 2월 8일 토요일 3번째 방문 인증 수단 영수증
24.12.21.토,반응 남기기 방문일 24.12.21.토 2024년 12월 21일 토요일 1번째 방문 인증 수단 영수증
24.9.16.월,매번 명절마다 부모님이랑 구워먹을 소고기 사서 가는데 삼보가 고기 제일 맛있는거같아요 ㅎㅎ 부모님도 좋아하셔서 매번 잘 사고 있습니다 사장님도 엄청 친절하세요!
24.1.10.수,고기가 너무 신선하고 좋아요. 서비스로 육사시미도 주시다니 대박나세요
23.10.28.토,반응 남기기 방문일 23.10.28.토 2023년 10월 28일 토요일 1번째 방문 인증 수단 영수증
23.6.8.목,반응 남기기 방문일 23.6.8.목 2023년 6월 8일 목요일 1번째 방문 인증 수단 영수증
23.5.6.토,여사장님 친절하고 서비스도 팍팍 주십니당~ 동네카페 추천여서 갔는데 만족!!
23.2.3.금,마장동 첨 가보는거라 검색해보다가 동네 맘까페에서 추천하시길래 가봤는데 사장님 친절하시고 진짜 👍 한우 ++ 너무 맛있음
23.1.16.월,고기 진짜 맛있어요
23.1.14.토,반응 남기기 방문일 23.1.14.토 2023년 1월 14일 토요일 1번째 방문 인증 수단 결제내역
22.11.25.금,남자 사장님 안계셔서 여자사장님께 샀는데 친절하셨지만 윗등심쪽이었어요.. 꽃등심으로 사려고 여쭤봤는데 새우살있는 부위는 아니더라구요 그래도 맛은 신선하고 좋아요.
22.11.25.금,반응 남기기 방문일 22.11.25.금 2022년 11월 25일 금요일 1번째 방문 인증 수단 영수증
22.9.7.수,선물용으로 샀어요 좋아요
22.4.8.금,가족식사 때마다 사가는데 최곱니다
21.9.16.목,반응 남기기 방문일 21.9.16.목 2021년 9월 16일 목요일 1번째 방문 인증 수단 영수증
21.9.13.월,반응 남기기 방문일 21.9.13.월 2021년 9월 13일 월요일 1번째 방문 인증 수단 영수증
21.9.12.일,반응 남기기 방문일 21.9.12.일 2021년 9월 12일 일요일 1번째 방문 인증 수단 영수증
21.3.31.수,마장동 투뿔등심 싸고 맛나요
21.2.10.수,반응 남기기 방문일 21.2.10.수 2021년 2월 10일 수요일 3번째 방문 인증 수단 영수증
20.12.16.수,반응 남기기 방문일 20.12.16.수 2020년 12월 16일 수요일 2번째 방문 인증 수단 영수증
20.9.28.월,반응 남기기 방문일 20.9.28.월 2020년 9월 28일 월요일 1번째 방문 인증 수단 영수증
20.8.2.일,모두 같은 가격이면 질 좋은거 먹기.
