date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""향신료가 강하지 않아요""","""향신료가 강하지 않아요"""
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
9.11.목,"부대찌개 2인, 라면사리1.  2인분만 시켰는데도, 햄 양이 많았어요~ 라면사리 따로 안나오고, 주문하면 처음부터 조리되어 나와요.. 탁자에 나오는 순간부터 먹을수있어 너무 좋아요♡♡"
10.19.일,잘 먹었습니다 자주 쿠팡이츠로 시켜 먹는데 엘리베이터 공사로 인해 포장 했어요 수고하세요
8.29.금,재료가 넉넉하게 들어있고 맛있어요
8.6.수,오랫만에 포장했는데 매장에서 먹는것과 같은 맛이라 너무 좋네요. 간만에 부대찌게에다 한잔해요
10.9.목,양도 푸짐하고 맛도 있습니다! 특히 포장이랑 설명서가 깔끔해서 좋았습니다😋
8.7.목,더워서 리뷰참여 못했는데도 사장님이 소시지 서비스로 주셨어요 종종 포장해서 먹는데 부대찌개 맛집입니다~~ 금호동에 맛집 얼마없는데 참 좋아용~~
9.5.금,포장해서 집에서 먹는데 너무 맛있어요!
8.31.일,너무너무 맛있습니다. 사장님도 너무 친절하세요 ㅎㅎ
8.10.일,친절하시고 음식이 깔끔합니다.
9.7.일,지난번엔 매장에서 먹고 오늘은 포장해서 먹었는데 집에서 먹어도 정말 맛있네요 동네에서 제일 맛있는 부대찌개입니다
9.8.월,부대찌개는 항상 여기서만 먹고있어요 배달로만 먹다가 근처 갈 일이 있어서 픽업해봤는데 4천원 할인되서 더 좋아요~^^
