date,content
"""비주얼이 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""세트 구성이 알차요""",이 키워드를 선택한 인원
10.14.화,이건 정말 작품입니다!! 아빠 생신이어서 행복한 추억 만들어드리고 싶었는데 너무 소중한 추억 중 하나가 될 거 같아 감사드립니다 중간에 모양도 바꾸고 해서 귀찮게 해드린 거 같아 죄송했는데 너무 친절하게 괜찮다 해주셔서 감동이었습니당 저 케이크 안에 얼마나 큰 정성이 담겨있는지 눈으로만 봐도 행복합니당 정말료 앞으로도 더 대박터지는 가게이길 바래요!! 사장님 예쁘게 만들어주셔서 다시 한번 더 감사드려요 항상 행복하세요♥️ 100글자도 가능한 리뷰…♥️
9.21.일,주변 떡케이크 여러군데 검색해보다가 제일 예뻐서 예약하게됐는데 정말 너무 마음에 들어요. 예쁜건 물론이고 떡도 촉촉하고 많이 달지않고 앙금도 맛있어서 앉은자리에서 가족들 다 맛있다며 너무 잘먹었어요 더 더 번창하세요!!
6.6.금,집안행사때 맞춰 예약주문했고 친절하게 응대해주셨어요 반전케이크로 돈 뽑을 수 있는 케이크 했고 뽑고난 후 사진과 떡 케이크 내부 사진도 청푸합니다 케이크 맛이 궁금했었는데 기대안했는데 생각보다 맛있어서 놀랐어요 만족합니다 ! 추천🩷
6.4.수,아빠 환갑 케이크로 처음 주문해봤는데 기대 이상으로 너무 너무 만족해요! 예쁘기도 너무 예쁜데 앙금이랑 떡이 진짜 너무 맛있어요..😍 엄마가 드셔보시더니 진짜 맛있는 떡이라고 무한칭찬 하셨어용!!!! 아빠랑 가족들도 너무 예쁘고 맛있는 특별한 케이크라고 앞으로도 케이크는 요 떡케이크로 하자고 하실 정도로 너무 행복해 하셨어요!! 앞으로는 기념일마다 더 특별한 떡 케이크로 선물 할거같아요ㅠㅠ! 사진에 다 안담겨서 아쉬운데 실물이 진짜 더 예쁜 케이크랍니다...💓💗
3.17.월,저번에 부모님이 너무 좋아하셔서 이번에도 주문하게 되었는데 먹기 아까울 정도로 잘 만들어 주셨어요ㅜㅜ 그리고 사장님도 친절하셔서 너무너무 좋아요:)
1.30.목,"아버지 칠순 생신 케잌 주문했는데, 주문 전 디자인 상담부터 사장님께서 고객 니즈에 잘 반영해 주셨습니다. 앙금 디자인 때문에 여러번 문의 드렸는데, 정말 친절하게 상담도 도와주시고, 제가 원하던 디자인으로 요청드린대로 정말 꼼꼼하고 너무 예쁘게 제작해 주셔서 감동 받았습니다!! 디자인은 말할 것도 없고, 정말 너무너무 맛있고 부드러워서 가족들이 너무 맛있고 예쁘다고 극찬을 했습니다~^^ 앙금도 너무 달지도 않아서 어른, 아기 입맛에 모두 취향저격이었습니다~ 백설기도 말랑말랑, 부드러워서 아기들도 잘 먹어요. 정말 웬만한 떡집들 보다 진짜 훨씬 맛있습니다!!! 신경써서 예쁘게 제작해 주셔서 너무 감사합니다❤️ 다음번 기념일에 또 주문하려고 합니다~ 새해 복 많이 받으시고, 오래오래 케이크 제작해 주세요💝"
1.2.목,먼거리임에도 여기가 제일 예뻐서 주문했어요 회사 시무식으로 돈나오는 케이크 했는데 돈도 술술 잘나오고 떡도 맛있을까 했는데 너무 맛있어서 직원들이랑 남김없이 다 먹었네요 친절하게 상담해주시고 감사합니다!!
24.11.11.월,아버지 환갑때 처음으로 떡케이크 주문해봤는데 너무너무 이쁘고 부모님도 맛있다고 좋아하셨습니다:)
24.9.25.수,"벌써 네번째 주문이에요 :) 맛 비주얼은 말해뭐해이고, 사장님이 친절해서 기념일마다 시옫만 찾게돼요~!! 이번에 상견례하게돼서 주문했는데 역대급으로 예뻤어요 !! 케이크덕분에 어색한 분위기 금세 풀어졌어요 ㅋㅋㅋ 또 주문할게요오"
24.4.22.월,"요청 사항대로 꼼꼼하게, 정성스럽게 만들어 주셨서, 뜻깊은 선물이 되었어요♡"
24.4.10.수,실물이 더 예뻐요💜
