date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
7.18.금,수조관리도 깔끔하게 잘 되어있고 친절하셔요! 메뉴판엔 없지만 오마카세(?)로 그때그때 맞는 생선들을 추천해주셔서 푸짐하게 먹을 수 있었어요☺️
7.26.토,시마아지 능성어 모듬회 입니다 ! 소짜를 시켰는데 아무리뵈도 중짜만큼 주셔서 좋네요. 노량진 횟집 낭인생활 이제 끝난거같습니다
3.3.월,회 포장해서 난지 캠핑장 가서 맛있게 잘 먹었습니다
1.30.목,회가 신선하고 맛있어요
24.11.22.금,지인 추천으로 갔는데 사장님 친절하시고 잘 챙겨주셨어요. 다음 모임도 여기에서 하려구요!
6.6.금,반응 남기기 방문일 6.6.금 2025년 6월 6일 금요일 4번째 방문 인증 수단 영수증
24.10.25.금,방어회 정말맛있게 먹었네요
24.9.9.월,반응 남기기 방문일 24.9.9.월 2024년 9월 9일 월요일 1번째 방문 인증 수단 영수증
24.9.10.화,반응 남기기 방문일 24.9.10.화 2024년 9월 10일 화요일 1번째 방문 인증 수단 영수증
24.6.13.목,갈치좋아요 사장님 친절하고. 시장구경도 했어요
24.7.12.금,반응 남기기 방문일 24.7.12.금 2024년 7월 12일 금요일 1번째 방문 인증 수단 영수증
23.12.30.토,"노량진 서울수산!! 특대방어 모듬회 2개 포장했는데 회도 엄청 두껍게 썰어주시고, 양도 많이 주시네요!! 포장도 진짜 꼼꼼하게 해주셔서 온 가족이 즐거운 식사 했어요!! 맛있게 잘먹었습니다!!!"
