date,content
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""볼거리가 많아요""",이 키워드를 선택한 인원
"""산책로가 잘 되어있어요""","""산책로가 잘 되어있어요"""
"""피크닉하기 좋아요""",이 키워드를 선택한 인원
"""근처에 갈 곳이 많아요""","""근처에 갈 곳이 많아요"""
"""대중교통이 편해요""",이 키워드를 선택한 인원
"""경관이 독특해요""",이 키워드를 선택한 인원
"""방문객이 많아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""붐비지 않아요""",이 키워드를 선택한 인원
"""조용히 쉬기 좋아요""",이 키워드를 선택한 인원
"""규모가 커요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""관리가 잘 되어있어요""",이 키워드를 선택한 인원
"""편의시설이 잘 되어있어요""","""편의시설이 잘 되어있어요"""
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""신기한 식물이 많아요""",이 키워드를 선택한 인원
"""가격이 합리적이에요""",이 키워드를 선택한 인원
"""체험 프로그램이 다양해요""","""체험 프로그램이 다양해요"""
"""코스가 길어요""",이 키워드를 선택한 인원
"""관리가 잘 되어있어요""",이 키워드를 선택한 인원
"""먹거리가 풍부해요""",이 키워드를 선택한 인원
10.16.목,날이 반짝 맑아 줬으면 좋을텐데 뭉게구름이 두터운 층을 만들어 어지럽게 흘러 다닌다. 모직 반팔티를 입고 걸으니 바람이 좀 부는데도 옷차림은 적당하다. 몇일 전 서울숲 [습지생태원]을 들렸더니 비로 인한 침수로 진입 금지 됐더니 오늘은 해제 돼 있었다. 주변의 콘크리트 기둥과 벽체의 흔적으로 보아 이 일대 전체가 정수장으로 쓰였던 터가 아니었을까? 규모는 크지 않지만 찾는 사람도 많지 않아 습지생태원 늪 가운데 데크로드에 서서 빛 바래가는 습지 주변의 버드나무와 갈대 그리고 수초와 하늘 풍경을 담은 수면을 찬찬히 둘러 보거나 눈을 고정 시키고 멍 때리며 잠시 스스로를 잊는 시간을 가져 보는 것도 좋다. 서울숲을 구석구석 알고 나서 [습지생태원]이 나의 탑픽이 되었다.
10.8.수,"날이 모처럼 맑으니 기분도 상쾌하고 사진빨이 잘 받는다 오늘은 우리나라 최초의 근대식 정수장인 뚝도 정수장 일원과 유아숲 옆 습지생태공원을 찬찬히 둘러봤다. 특히 유아숲 옆의 습지생태공원은 서울숲 공원 내에서도 다소 외진 곳에 위치해 찾는 사람이 많지 않고 풍광이 멋져 숨은 보석 같은 장소라는 생각을 했다. 날이 맑고 햇볕이 따갑고 숲 속의 습기가 증발 되니 모처럼 더위가 느껴지고 숲도 다시 여름을 맞은 듯 초록이 진하다. 추석 연휴 내 흐리거나 비가 내리더니 모처럼 날이 맑아 숲에도 사람이 많고 주변 카페 거리도 인파로 북적인다. 눈부신 가을, 참 좋은 날이다."
10.12.일,추석 연휴 내 비 내리는 시간을 제외 하고는 많은 사람이 모여들어 북적이더니 오늘은 평소 주말보다 오히려 한가한 모습의 서울숲. 공원 한가운데 있는 호수의 남쪽 숲 길 한켠에 에스파의 윈터와 BTS의 제이홉을 좋아하는 팬들이 윈터숲과 J-hope forest 라는 기억의 공간을 조그맣게 조성해 두었다. 워낙 글로벌한 인기 때문에 그 시설을 배경으로 기념 사진을 찍는 내/외국인도 많다. 성수중고교 뒷편의 슾지 생태원은 그간 내린 비로 습지의 수위가 다소 높아져 있다. 잿빛 험상궂은 하늘과 아직 푸른 주변의 버드나무와 갈대 숲 그리고 노란색 꽃을 피운 초록의 물 풀이 어우러진 습지의 풍경이 고요하고 아름답다. 서울숲 안에 이렇게 조용하고 정적인 쉼터도 있구나~
10.16.목,비온후맑음 서울숲이 가장 예쁠때 전날 비가 내렸는데 오늘 해가떴다? 무조건 서울숲 가야하는날!  지금 거울연못 호수 향기정원 윈터숲 놀이터 주변으로 단풍 제법 볼만해요 티 한점 없는 파란하늘에 노랗게 물드는 단풍들 이거 엄청 예쁘거든요  곳곳에 화장실이랑 쉼터 많아서 산책하기도 운동하기에도 좋아요
10.2.목,"서울숲 언제 와도 좋은 서울숲 🌳 🌳 🌳 오늘은 유난히 예쁘게 들리는 새소리와 물소리, 바람에 흔들리는 나무들 소리까지:) 귀호강하며 천천히 여유롭게 산책을 했어요.  곳곳에 빨간 사루비아꽃과 가을 꽃들이 피어서 예뻐요. 🌼 🌼 🌼 은행나무가 직선으로 쭉쭉 뻗어 잘 가꾸어져 숲을 이룬걸 그동안 지나쳤는데 아주 멋져서 벤치에 앉아 한참을 올려다 보았어요. 서울숲의 가을 단풍을 기대하며 또 오려고요 🍁 🍁 🍁"
9.29.월,친구와 함께 사슴 방목장과 생태 숲 까지 서울숲 외곽 먼 길을 택해 한 바퀴 돌고 나비정원을 들렸더니 월요일은 휴무란다. 저번 방문 시 나비정원 모습이 워낙 인상적이어서 다시 들렸으나 온실 창 밖에서 짧은 동영상만 찍고 아쉽게 돌아섰다. 내게 서울숲 최고의 뷰 포인트는 커뮤니티센터 앞 호수를 한눈에 조망할 수 있는 호숫가 아닐까 싶다. 하늘과 숲과 호수와 물풀의 조화가 시각적으로 나 감각적으로도 아름답고 평화로운 기운을 준다. 기온도 적당하고 선선한 바람까지 불어오니 서울숲 걷기에는 최고의 날인 듯 하다.
10.1.수,"서울숲 사랑해! 라고 써있는데 사랑하는건 아니고 산책하기 정말 좋아요  도심 한가운데 넓게 조성된 숲에 테마별로 다른 모습으로 꾸며진 정원들도 보기 좋고 커다란 호수에서 펼쳐지는 분수쇼 조각들이 늘어서있는 조각광장등등 여기저기 구경하면서 걷다보면 시간가는줄 몰라요  식수대, 화장실도 깔끔하게 관리되고있어요 서울숲 좋구먼"
9.11.목,"도심속 휴식처 서울숲의 맑은 하늘이 우거진 수풀 사이로 보이니 더 예뻐요. 맑은 새소리와 물소리를 들으며 강렬한 오후 햇빛 속을 산책하며 호사를 누린 한나절.. 예쁜 꽃들이 여기저기 피었어요. 소나무와 넓은 잔디밭,아리수림, 그 틈 사이로 등등 조그마한 테마별 정원들도 잘 가꾸어졌어요. 바닥 분수가 가동을 해서 물줄기를 바라보니 시원하구요. 올때 마다 즐거운 시간을 보내서 좋아요^^ 가을 풍경도 얼마나 아름다울지 기대하고 또 와야겠어요 ☺️"
10.9.목,"서울숲엔 억새풀, 갈대가 그득 단풍은 아직이지만 가을정취 느끼기 좋아요  방문할때마다 새로운 숲 발견하는게 참 재밌는 공간 얼마나 넓은거여  나비정원 맞은편 갤러리정원 가보세요 뭔가 비밀의숲같기도하고 근사해요"
