date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
9.25.목,이런 쭈꾸미 덮밥 오랜만 ㅠㅠ 추억의 맛 느낌? 양도 많아용
6.4.수,음식사진을 못찍었네요. 2인 주문들이 많아서 점심에 짝맞춰 가야할듯... 불맛 진한 쭈꾸미와 제육!! 제육이 약간 냄새나긴 했지만 불맛 밸런스가 좋았다. 쭈꾸미 텐션도 좋아 밥 비벼먹기 굳굳 잘 먹고 갑니다
4.3.목,"제가 먹어본 주꾸미 중에 남바완입니다👍🏻 주꾸미도 탱글하고 불맛도 장난아니에요!!! 가격도 너무 착해요 1인분에 10,000원😳  반찬도 다 맛있어서 서울숲 근처 밥집으로 완전 추천..  주말에는 안하시고 주꾸미는 2인이상 주문가능하다고하니 참고하세요~~!"
8.4.월,보통도 매워요! 맛있어요~!
9.18.목,반응 남기기 방문일 9.18.목 2025년 9월 18일 목요일 2번째 방문 인증 수단 영수증
6.23.월,오래된 쭈꾸미집이에요! 불맛 나고 밥비벼먹으면 넘 맛나요~! 가게 내부가 어둡긴 하지만 음식은 맛있어요 제육만 1인분 가능이구 쭈꾸미는 2인 이상 시켜야해요~! 쭈꾸미 땡기면 종종 가서 먹습니다!
6.2.월,맛있고 없고를 떠나서 서빙하시는분 진짜 불친절해요;; 심지어 음식 들고다니면서 기침하고 혼밥 하러 갔는데 혼자 먹는다고 싫은티 팍팍 내고
2.28.금,가성비 좋아서 자주 가요. 맛이 변하지 않아서 좋아요. 맵기 선택 가능해서 아이들 데리고 가도 좋습니다.
3.27.목,매콤한 쭈꾸미가 먹고싶으면 들르는 동네맛집^^!! 달걀말이도 커다랗고~치즈한판은 같이 먹음 맛있어서 추가하죵~~넘 배부르게 싹싹 다 먹고 나왔네요~저한테는 순한맛도 매콤해서 더 맵게는 못먹어요^^
24.12.11.수,와 진짜 맛있어요 또또또 올께요
2.27.목,뚝섬역 쭈꾸미 맛집
24.12.11.수,밑반찬이 다양하고 맛있어요. 쭈꾸미도 쫄깃하고 맛있습니다! 양념 맛집이예요!
7.25.금,반응 남기기 방문일 7.25.금 2025년 7월 25일 금요일 10번째 방문 인증 수단 영수증
24.9.12.목,최고의 쭈꾸미집 사장님 친절하시고 맛있게 매워서 좋아요 소주가 술술 넘어 갑니다 대박나세요 또 방문할게용😁👍👍👍
24.7.11.목,매콤한 주꾸미제육볶음을 한 번에 먹을 수 있는 서울숲쭈꾸미에요 철판치즈추가해서 주꾸미 돌돌 말아 먹어도 고소하고 맛도리에요 무생채랑 김가루까지 꼭 넣어서 비벼 드세요 ~
6.19.목,반응 남기기 방문일 6.19.목 2025년 6월 19일 목요일 1번째 방문 인증 수단 영수증
5.22.목,반응 남기기 방문일 5.22.목 2025년 5월 22일 목요일 9번째 방문 인증 수단 영수증
24.12.5.목,반응 남기기 방문일 24.12.5.목 2024년 12월 5일 목요일 1번째 방문 인증 수단 영수증
24.11.21.목,불향 가득🔥 우연히 들어가서 아주 맛있게 잘 먹고 나왔어요😆
24.5.31.금,맛있어요. 쭈꾸미 질기지 않아요
1.17.금,반응 남기기 방문일 1.17.금 2025년 1월 17일 금요일 1번째 방문 인증 수단 영수증
24.3.15.금,쭈꾸미도 많고 불향이 나서 맛있네요.
4.3.목,반응 남기기 방문일 4.3.목 2025년 4월 3일 목요일 2번째 방문 인증 수단 영수증
1.3.금,반응 남기기 방문일 1.3.금 2025년 1월 3일 금요일 8번째 방문 인증 수단 영수증
24.9.12.목,쭈뀨미 불향이 좋어요
24.4.10.수,쭈꾸미 땡겨서 갔는데 통통하니 맛있어요 탱글탱글 씹히는 맛이 일품~ 함께 나온 밑반찬과 미역국도 맛있습니다 특히 계란말이 엄청 부드럽고 고소해요^^
24.4.25.목,맛있게 먹었어요 좀 달아요
24.7.11.목,반응 남기기 방문일 24.7.11.목 2024년 7월 11일 목요일 1번째 방문 인증 수단 영수증
24.8.22.목,반응 남기기 방문일 24.8.22.목 2024년 8월 22일 목요일 1번째 방문 인증 수단 영수증
1.16.목,반응 남기기 방문일 1.16.목 2025년 1월 16일 목요일 1번째 방문 인증 수단 영수증
24.4.12.금,맛나고 좋아용 굿굿
23.9.22.금,와 성수동가셨으면 여긴 꼭가세요. 진짜 후회하지않을 맛. 여기가 왜 직장인 맛집인지 알겠어요
