date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""현지 맛에 가까워요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""향신료가 강하지 않아요""","""향신료가 강하지 않아요"""
"""매장이 넓어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""잡내가 적어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
9.9.화,"싱가포르 바쿠테라고 처음 먹어본 음식인데 우리나라 갈비탕과 맛이 거의 같은데 다른 갈비탕집들보다 차별화되게 맛있음! 갈비탕보다 더 맛이 깊고 맑고 담백하며 뒷맛이 깔끔함ㅎㅎ 김치도 맛있고, 인테리어도 좋고 다음에 또 친구랑 방문 각^^"
9.22.월,"올 때마다 감동하면서 먹어요 ㅎㅎ 미니국밥이랑 초계국수 조합 너무 맛있습니다🥹 밀크티도 개인적으로 카페보다 맛나요, , 항상 든든한 점심 감사합니다 !"
10.14.화,날씨가 조금씩 쌀쌀해지네요~ 따뜻한음식이 생각나서 들렀습니다. 전반적으로 깔끔하고 맛도 괜찮네요~ 종종 점심먹으러 와야겠네요~~ㅎㅎ
8.29.금,"두번째 방문입니다! 별 생각없이 점심 먹으러 나왔다가 들렸던 곳인데, 그 때 먹은 치킨라이스가 넘 맛있어서 또 왔어요. 겉보기엔 엄청 간단해보이지만 저 빨간 소스가 매콤하니 별미랍니다.. 집에 싸가고 싶네요👍"
10.8.수,우연히 지나다 반가운 메뉴명(송파바쿠테)에 식사함  현지에서 먹는맛보다 국물에 기름기가 많아 약간 느끼하지만 고기가 냄새없이 깔끔하게 잘 삶아져있어 맛있게 먹음  아쉬운점 1. 먹는내내 꼬들한 노란국수보다 현지처럼 부드러운 소면이면 더좋을듯 2.김치를 좀더 컬리티 있는걸로 제공했으면
