date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
8.22.금,너무 푸짐하고 맛있어요! 🥰💕
8.13.수,반응 남기기 방문일 8.13.수 2025년 8월 13일 수요일 3번째 방문 인증 수단 영수증
24.7.19.금,포장해서 먹었어요. 배달 시킨 아구찜은 너무 달아서 싫었는데 매콤하고 맛있게 매운 맛이에요~ 서비스로 주신 선지해장국 너무 맛있습니다!!
24.7.2.화,종종 이용하는데 맛나게 잘 먹습니다~굿
24.3.20.수,동네 노포맛집입니다 고추기름있고 들께가루가 미리들어 있지 않아서 좋습니다 새우젓도 좋네요 깍두기가 시원한 맛이네요
24.3.28.목,양선지해장국 추천드려요 양이 깨끗하고 선지도 부드러워요 배추와 무가 많이 들어서 시원합니다
24.6.13.목,반응 남기기 방문일 24.6.13.목 2024년 6월 13일 목요일 1번째 방문 인증 수단 영수증
24.7.20.토,반응 남기기 방문일 24.7.20.토 2024년 7월 20일 토요일 4번째 방문 인증 수단 영수증
24.6.4.화,반응 남기기 방문일 24.6.4.화 2024년 6월 4일 화요일 3번째 방문 인증 수단 영수증
24.1.6.토,반응 남기기 방문일 24.1.6.토 2024년 1월 6일 토요일 2번째 방문 인증 수단 영수증
22.12.8.목,그냥 얘들 먹을정도로 순한맛이고 얼큰하게 먹으려면 다대기넣어먹음돼요 건강한 맛이고 뼈를 푹 고아서 그런자 살을 잘 발라먹을 수 있어요
23.3.18.토,반응 남기기 방문일 23.3.18.토 2023년 3월 18일 토요일 1번째 방문 인증 수단 영수증
23.4.4.화,맛잇습니당 일주일에 한번씩 가요
23.2.4.토,반응 남기기 방문일 23.2.4.토 2023년 2월 4일 토요일 4번째 방문 인증 수단 영수증
22.11.8.화,맛있습니다. 점심으로 직원들과 자주가요
22.12.6.화,반응 남기기 방문일 22.12.6.화 2022년 12월 6일 화요일 3번째 방문 인증 수단 영수증
22.11.26.토,맛있게 잘먹었습니다 :)
22.12.1.목,순대국은 시중용 그냥 순대를 사용합니다.
22.12.3.토,반응 남기기 방문일 22.12.3.토 2022년 12월 3일 토요일 2번째 방문 인증 수단 영수증
22.9.22.목,반응 남기기 방문일 22.9.22.목 2022년 9월 22일 목요일 3번째 방문 인증 수단 영수증
22.9.20.화,반응 남기기 방문일 22.9.20.화 2022년 9월 20일 화요일 1번째 방문 인증 수단 영수증
22.9.21.수,반응 남기기 방문일 22.9.21.수 2022년 9월 21일 수요일 2번째 방문 인증 수단 영수증
22.8.13.토,남자사장 완전불친절하네요 다시는 오고싶지않습니다
22.7.2.토,음식도 맛있고 사장님도 친절하세요~~*^^*
22.10.7.금,반응 남기기 방문일 22.10.7.금 2022년 10월 7일 금요일 1번째 방문 인증 수단 영수증
22.9.29.목,반응 남기기 방문일 22.9.29.목 2022년 9월 29일 목요일 1번째 방문 인증 수단 영수증
23.2.25.토,반응 남기기 방문일 23.2.25.토 2023년 2월 25일 토요일 1번째 방문 인증 수단 영수증
22.9.16.금,반응 남기기 방문일 22.9.16.금 2022년 9월 16일 금요일 1번째 방문 인증 수단 영수증
22.8.12.금,반응 남기기 방문일 22.8.12.금 2022년 8월 12일 금요일 1번째 방문 인증 수단 영수증
22.11.3.목,반응 남기기 방문일 22.11.3.목 2022년 11월 3일 목요일 1번째 방문 인증 수단 영수증
22.7.15.금,반응 남기기 방문일 22.7.15.금 2022년 7월 15일 금요일 1번째 방문 인증 수단 영수증
22.6.9.목,반응 남기기 방문일 22.6.9.목 2022년 6월 9일 목요일 1번째 방문 인증 수단 영수증
22.3.24.목,반응 남기기 방문일 22.3.24.목 2022년 3월 24일 목요일 1번째 방문 인증 수단 영수증
22.1.28.금,반응 남기기 방문일 22.1.28.금 2022년 1월 28일 금요일 1번째 방문 인증 수단 영수증
