date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
7.3.목,꼬마 김밥은 여기서 드세유~ 💯💯💯💯💯💯❤️‍🔥♥️
1.11.토,"📍내 돈 내산📍 며칠 전 지인이 사 온 꼬마김밥을 먹어보고 맛있어서 알게 되었어요. 저도 성수동 주민이 된 지 1n년 차인데 이제야 알게 되었다는. 내부는 일반 분식집처럼 작은 규모입니다. 2~4인용 테이블이 4개 있습니다. 이곳은 꼬마김밥으로 입소문이 난 곳이었는데, 손님들이 다른 김밥 메뉴도 요청해서 메뉴를 늘렸다고 합니다. 김밥 사이즈가 모두 크네요. 🔶꼬마김밥, 우리가 아는 그 맛! 이거 먹으러 광장시장 갈 필요 없어요. 🔶참치김밥, 와! 참치가 진짜 많이 들었어요. 제가 먹어본 김밥 중 제일 참치가 많이 든 것 같아요. 한 입에 다 안 들어갈 만큼 두툼한 사이즈입니다. 🔶치즈김밥, 요즘 치즈김밥 만나기 쉽지 않은데 이곳에서 먹어봅니다. 🔶야채김밥, 기본을 잘 지킨 김밥입니다."
4.14.월,김밥이 맛있어요 ! 당근을 익혀서 볶아 주셔서 좋아요 :) _문쑴기록지
5.27.화,반응 남기기 방문일 5.27.화 2025년 5월 27일 화요일 9번째 방문 인증 수단 영수증
5.1.목,반응 남기기 방문일 5.1.목 2025년 5월 1일 목요일 8번째 방문 인증 수단 영수증
4.17.목,반응 남기기 방문일 4.17.목 2025년 4월 17일 목요일 7번째 방문 인증 수단 영수증
6.19.목,반응 남기기 방문일 6.19.목 2025년 6월 19일 목요일 26번째 방문 인증 수단 영수증
24.12.19.목,"사장님 매우 친절하시고 라면, 꼬마김밥 다 맛있습니다. 👍 👍 김밥 1인분 양도 많아서 다 못먹고 포장 해왔어요. 혼자 하시느라 조금 기다리는 시간 있어도 손님이 많이 찾는데는 이유가 있겠죠~"
6.9.월,반응 남기기 방문일 6.9.월 2025년 6월 9일 월요일 25번째 방문 인증 수단 영수증
24.10.10.목,성수에서 제일 맛있는 김밥집입니다!!! 라면도 맛있음 사장님도 엄청 친절하셔요 😘
5.23.금,반응 남기기 방문일 5.23.금 2025년 5월 23일 금요일 24번째 방문 인증 수단 영수증
5.7.수,반응 남기기 방문일 5.7.수 2025년 5월 7일 수요일 23번째 방문 인증 수단 영수증
4.23.수,반응 남기기 방문일 4.23.수 2025년 4월 23일 수요일 22번째 방문 인증 수단 영수증
4.17.목,반응 남기기 방문일 4.17.목 2025년 4월 17일 목요일 21번째 방문 인증 수단 영수증
24.11.27.수,꼬마김밥 라면 다 맛있어요~ 👍 👍 사장님도 너무 친절하시고 좋아요 😀
3.8.토,반응 남기기 방문일 3.8.토 2025년 3월 8일 토요일 20번째 방문 인증 수단 영수증
24.6.12.수,사장님 너무 친절하시구 무엇보다 김밥맛이 아주 최고입니다👍👍 밥 얇고 재료 가득🥹
24.11.7.목,반응 남기기 방문일 24.11.7.목 2024년 11월 7일 목요일 6번째 방문 인증 수단 영수증
24.10.24.목,반응 남기기 방문일 24.10.24.목 2024년 10월 24일 목요일 5번째 방문 인증 수단 영수증
24.12.19.목,반응 남기기 방문일 24.12.19.목 2024년 12월 19일 목요일 1번째 방문 인증 수단 영수증
24.8.20.화,반응 남기기 방문일 24.8.20.화 2024년 8월 20일 화요일 4번째 방문 인증 수단 영수증
24.10.21.월,반응 남기기 방문일 24.10.21.월 2024년 10월 21일 월요일 19번째 방문 인증 수단 영수증
24.7.11.목,반응 남기기 방문일 24.7.11.목 2024년 7월 11일 목요일 3번째 방문 인증 수단 영수증
24.7.10.수,반응 남기기 방문일 24.7.10.수 2024년 7월 10일 수요일 2번째 방문 인증 수단 영수증
24.8.9.금,반응 남기기 방문일 24.8.9.금 2024년 8월 9일 금요일 18번째 방문 인증 수단 영수증
24.5.9.목,반응 남기기 방문일 24.5.9.목 2024년 5월 9일 목요일 1번째 방문 인증 수단 영수증
24.7.3.수,반응 남기기 방문일 24.7.3.수 2024년 7월 3일 수요일 17번째 방문 인증 수단 영수증
24.3.6.수,반응 남기기 방문일 24.3.6.수 2024년 3월 6일 수요일 16번째 방문 인증 수단 영수증
23.8.21.월,반응 남기기 방문일 23.8.21.월 2023년 8월 21일 월요일 1번째 방문 인증 수단 영수증
23.11.8.수,반응 남기기 방문일 23.11.8.수 2023년 11월 8일 수요일 15번째 방문 인증 수단 영수증
23.3.27.월,다른 말 필요없이 이 동네에서 제일 맛있는 김밥입니다.
23.2.23.목,김밥 너무 맛있어요 :)
23.3.8.수,사장님두 완전 친절하시고 김밥도 윤기 좔좔~참치완전 듬뿍 넣어주셔서 라면이랑 맛있게 잘 먹었어요!! ><
23.9.7.목,반응 남기기 방문일 23.9.7.목 2023년 9월 7일 목요일 14번째 방문 인증 수단 영수증
23.6.26.월,바쁠때 가면 이모님 혼자 하셔서 미리 전화 주문하는게 좋을거같아요
23.6.1.목,반응 남기기 방문일 23.6.1.목 2023년 6월 1일 목요일 1번째 방문 인증 수단 영수증
23.6.21.수,김밥은 여기가 젤 맛있어요
23.3.6.월,반응 남기기 방문일 23.3.6.월 2023년 3월 6일 월요일 1번째 방문 인증 수단 영수증
22.12.28.수,라면과 김밥이 너무 맛있습니다. 라면 잘 끓이세요 ^^
22.10.5.수,꼬마김밥에 와사비가 너무 잘어울려요 콩나물국도 맛있습니다 사장님도 친절해요~♡
23.7.5.수,반응 남기기 방문일 23.7.5.수 2023년 7월 5일 수요일 13번째 방문 인증 수단 영수증
23.6.7.수,반응 남기기 방문일 23.6.7.수 2023년 6월 7일 수요일 12번째 방문 인증 수단 영수증
23.1.19.목,반응 남기기 방문일 23.1.19.목 2023년 1월 19일 목요일 1번째 방문 인증 수단 영수증
23.1.2.월,반응 남기기 방문일 23.1.2.월 2023년 1월 2일 월요일 2번째 방문 인증 수단 영수증
22.11.11.금,반응 남기기 방문일 22.11.11.금 2022년 11월 11일 금요일 1번째 방문 인증 수단 영수증
23.3.22.수,반응 남기기 방문일 23.3.22.수 2023년 3월 22일 수요일 11번째 방문 인증 수단 영수증
22.11.8.화,반응 남기기 방문일 22.11.8.화 2022년 11월 8일 화요일 1번째 방문 인증 수단 영수증
23.3.3.금,반응 남기기 방문일 23.3.3.금 2023년 3월 3일 금요일 10번째 방문 인증 수단 영수증
22.8.25.목,친철하신 사장님🤗 음식도 맛나요
22.11.2.수,반응 남기기 방문일 22.11.2.수 2022년 11월 2일 수요일 1번째 방문 인증 수단 영수증
22.10.22.토,반응 남기기 방문일 22.10.22.토 2022년 10월 22일 토요일 2번째 방문 인증 수단 영수증
22.10.11.화,반응 남기기 방문일 22.10.11.화 2022년 10월 11일 화요일 1번째 방문 인증 수단 영수증
22.10.3.월,반응 남기기 방문일 22.10.3.월 2022년 10월 3일 월요일 1번째 방문 인증 수단 영수증
22.8.2.화,꼬마김밥 너무 맛있어요
22.8.26.금,반응 남기기 방문일 22.8.26.금 2022년 8월 26일 금요일 1번째 방문 인증 수단 영수증
