date,content
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
10.15.수,너무 쫀득하고 맛있네요. 사장님도 친절하시구요 ㅎㅎ😃  자주 들러서 사먹을게요~
10.18.토,꽈배기 핫도그류는 여기서만 먹어요 바삭쫄깃해서 늘 맛있게 먹고있어요😄 또올게요~
4.21.월,전날 아이가 핫도그를 먹다가 땅에 떨어트려서…또 사주겠다고 약속 했는데 요즘 핫도그 파는 가게가 잘 없어서 계속 못 사다가 지나가는 길에 꽈배기와 핫도그를 팔길래 잠깐 차를 세우고 구매했어요!!! 핫도그 엄청 길고 컸어요~ 꽈배기도 바삭 쫄깃하고 맛있었어요~ 다음 지나가는 길에 또 살거예요!!
4.14.월,반응 남기기 방문일 4.14.월 2025년 4월 14일 월요일 1번째 방문 인증 수단 영수증
24.12.13.금,반응 남기기 1 명 방문일 24.12.13.금 2024년 12월 13일 금요일 4번째 방문 인증 수단 영수증
24.11.22.금,금액이....두배는 올랐네요. 너무 비싸졌습니다. 이 가격이면 파리바게트나 프랜차이즈 가시는게 좋을것 같습니다. 미니 사이즈 야채 고로케 2천원 핫도그 1500원 꽈배기 900원 입니다. 기본적으로 오픈시보다 다 두배는 올랐는데 사이즈는 오히려 작아졌습니다. 이 금액대면 프랜차이즈 핫도그나 베이커리 가시는걸 추천드립니다.
24.12.24.화,반응 남기기 방문일 24.12.24.화 2024년 12월 24일 화요일 2번째 방문 인증 수단 영수증
24.8.10.토,끝날때쯤 가서 꽈배기는 못사고 핫도그만 샀는데 마지막이라구 하나 서비스로 주셨어요 ㅎㅎ 조금 식어서 아쉬웠지만 종종오던 곳이고 맛있는 곳이라 다음에 다시 와야지 싶습니다-!
24.8.15.목,단골 도너츠가게입니다 3개월전 사장님 바뀌셨다는데 너무 맛있습니다
24.11.8.금,반응 남기기 방문일 24.11.8.금 2024년 11월 8일 금요일 15번째 방문 인증 수단 영수증
24.11.2.토,반응 남기기 방문일 24.11.2.토 2024년 11월 2일 토요일 14번째 방문 인증 수단 영수증
24.10.4.금,가격이 갑가기 50프로 정도 올라서 좀 별로에요 맛도 크기도 처음이랑 달라졌어요
24.12.14.토,반응 남기기 방문일 24.12.14.토 2024년 12월 14일 토요일 5번째 방문 인증 수단 영수증
24.6.7.금,"성수동 꽈배기 맛집이라는 소문에 먹어봤는데, 반죽이 계란맛나면서 쫄깃하니 정말 맛있네요! 자꾸 생각날맛이에요~"
24.12.19.목,반응 남기기 방문일 24.12.19.목 2024년 12월 19일 목요일 6번째 방문 인증 수단 영수증
24.3.22.금,꽈배기 반죽 쫀득 부드러워서 몇 개씩 먹게 되네요. 바로 튀겨주시는 우유치즈핫도그도 치즈가 쭉 늘어나고 부드러워서 너무 맛있어요. 옛날 시장에서 팔던 핫도그나 꽈배기 생각날 때 가는데 가격도 저렴해서 너무 좋아요~
24.6.6.목,반응 남기기 방문일 24.6.6.목 2024년 6월 6일 목요일 3번째 방문 인증 수단 영수증
24.11.17.일,반응 남기기 방문일 24.11.17.일 2024년 11월 17일 일요일 1번째 방문 인증 수단 영수증
24.10.3.목,반응 남기기 방문일 24.10.3.목 2024년 10월 3일 목요일 1번째 방문 인증 수단 영수증
23.11.22.수,"성수동에서 제일 맛있는 꽈배기와 팥도너츠를 판매하는 곳이죠. 포장만 가능합니다. 다이소 가는 길에 오랜만에 들렀어요.  오픈이 오전 8시 30분이니까 꽈배기 판매하는 가게 중 아마 성수동에서 아침 일찍 문 여는 곳이 이곳이 아닐까 생각됩니다.  다른 도너츠는 가격 변동이 없는데 꽈배기만 1개 500원에서 3개 2000원으로 조금 올랐네요. 요즘 물가에 이정도 가격이면 아주 착한 것 같아요.  꽈배기 쫄깃하고, 팥도너츠 역시 달콤한 팥이 많이 들었네요. 최고입니다. 성수동 카페 거리와 좀 떨어져 있지만 많이 들르셔서 맛있는 꽈배기와 도너츠 드세요~  자세한 내용은 제 블로그 <힐링인 서울 포레스트>에 있어요~"
24.3.13.수,꽈배기 맛집입니다. 꼭 드셔보세요 회전도 빨라서 빠른 확률로 나온지 얼마 안된 신선한 꽈배기를 먹을 수 있습니다!
24.3.1.금,여기만한 꽈배기 집이 없어요 딱 좋은 찰기에 친절한 서비스까지! 오래오래 해주세요!
24.4.6.토,꽈배기 너무 맛있습니다!
24.1.12.금,진짜진짜 저렴하고요...핫도그 하나 천원 막 이러는데 바삭하고 깔끔했어요!! 배고파서 후닥 먹었는데 다음엔 사진도 찍으려고요 ㅠㅠ
24.2.17.토,반응 남기기 방문일 24.2.17.토 2024년 2월 17일 토요일 1번째 방문 인증 수단 결제내역
23.12.11.월,쫀득쫀득 따끈 맛있어요!! 바로 튀겨먹으니 꿀맛
24.1.19.금,핫도그가 천원이라니 치즈만 들어간것도 있고 다양하게 먹을 수 있어서 좋아요. 다른것들도 맛있음 자주 갈게요 !!!
24.6.12.수,반응 남기기 방문일 24.6.12.수 2024년 6월 12일 수요일 5번째 방문 인증 수단 영수증
24.3.21.목,소문난대로 조아요 맛나요
24.5.3.금,반응 남기기 방문일 24.5.3.금 2024년 5월 3일 금요일 4번째 방문 인증 수단 영수증
23.12.23.토,반응 남기기 방문일 23.12.23.토 2023년 12월 23일 토요일 9번째 방문 인증 수단 영수증
23.8.19.토,다른 꽈배기보다 확실히 쫄깃쫄깃 맛나요~ 일욜 휴무인 것이 아쉬울 따름이에요 ㅎㅎㅎ
23.5.16.화,"위치는 바로 버스 정류소 앞입니다. 매장 내의 취식은 안되고요, 포장으로 이용 가능합니다. 유리 안에 맛있는 도넛, 꽈배기, 핫도그가 손님들을 기다리고 있어요. 꽈배기가 금방금방 팔려서 열심히 만들고 계셨습니다. 꽈배기는 쫄깃하고 부드럽고요, 단팥 도넛도 팥이 많이 들어있어요. 하나만 먹어도 배부르답니다. 그리고, 꽈배기 가격이 계속 500원이네요. 요즘같이 재료비가 많이 올랐는데요 이 가격을 유지하시는게 대단하십니다. 따뜻하면 쫄깃하고, 식어도 맛있는 꿀 꽈배기를 먹고 싶으시다면 성수동 꿀 꽈배기에 가보세요. 반죽이 소진되면 판매 마감이라고 하니까요, 저녁에는 미리 전화해 보세요~ 자세한 내용은 제 블로그 <힐링 인 서울 포레스트>에 있어요. 많이 방문해주세요~"
23.7.22.토,동네제일 가는 꽈배기집 .!!! 그냥 스쳐 지나가는 법이 없네요.  찹쌀도너츠 500원  가격대비 맛은 말해뭐해 ^^  팥도너츠 아메리카노랑 같이 먹으면 …. 그냥 천국~
23.10.17.화,엄청 저렴해요 꽈배기 맛있어요 핫도그는 쏘쏘
23.9.9.토,꽈배기찐맛이고 찹살도너츠는 먹어본중최고에 맛이내요. 사장님이 특별메뉴 불닭도너츠 진짜맛있어서 내일또갑니다.
24.7.24.수,반응 남기기 방문일 24.7.24.수 2024년 7월 24일 수요일 2번째 방문 인증 수단 영수증
23.8.29.화,치즈 도넛이랑 꽈배기 맛있어요
23.9.16.토,바로 나와사 맛있었어요!
23.10.16.월,반응 남기기 방문일 23.10.16.월 2023년 10월 16일 월요일 5번째 방문 인증 수단 영수증
23.9.8.금,반응 남기기 방문일 23.9.8.금 2023년 9월 8일 금요일 8번째 방문 인증 수단 영수증
23.7.26.수,단팥 도너츠가 진리입니다. 팥 양 어마무시..최고♥️
23.8.5.토,친철하고 매장이 깨끗해요
23.7.26.수,반응 남기기 방문일 23.7.26.수 2023년 7월 26일 수요일 1번째 방문 인증 수단 영수증
23.7.18.화,반응 남기기 방문일 23.7.18.화 2023년 7월 18일 화요일 7번째 방문 인증 수단 영수증
23.8.9.수,반응 남기기 방문일 23.8.9.수 2023년 8월 9일 수요일 1번째 방문 인증 수단 영수증
23.7.15.토,반응 남기기 방문일 23.7.15.토 2023년 7월 15일 토요일 1번째 방문 인증 수단 영수증
23.5.13.토,"꽈배기도 맛있고,핫도그 맛있고 ㅋ"
23.9.26.화,반응 남기기 방문일 23.9.26.화 2023년 9월 26일 화요일 2번째 방문 인증 수단 영수증
23.7.29.토,반응 남기기 방문일 23.7.29.토 2023년 7월 29일 토요일 7번째 방문 인증 수단 영수증
