date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
7.20.일,"불닭볶음밥 맛집:) 가볍게 한잔 하러 들어갔다가 발견한 맛집 매콤하니 스트레스 풀리는 맛 :) 처음 가본 술집인데 괜히 기분 좋게 마시고 나온 날. 성수에서 너무 과하지 않게, 그렇다고 심심하지도 않게 가볍게 한잔하기 좋은 곳 찾는다면 백포차 한 번쯤 가볼 만해요. 다음엔 친구들이랑 다시 와보고 싶은 곳!"
8.30.토,"친구들과에 2차 모임! 식사를 하고와서 간단히 한잔 더 하기위해 찾은 포차~ 처음 방문하였는데 공간도 넓고, 음식도 깔끔하고 빠르게 나와서 너무 좋은거 같아요! 가볍게 한잔하면서 수다떨기 편하다고 해야할까요! 골뱅이 깐풍기 안주 살짝 매콤하면서 안주로 최고^^"
7.23.수,"성수동에서 단체 회식 장소를 찾고 계시다면, 전통과 맛, 분위기까지~ 두 마리 닭볶음탕과 수제 생맥주가 있는 곳, 회식, 단체모임, 친구들과의 술자리에 안성맞춤"
9.23.화,늦은 시간 대기없이 들어왔어요 골뱅이 달콤하니 넘 맛있습니다~^^ 국수랑 잘 어울려요~~~ 재방문의사 있어요ㅎ
