date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
6.30.월,김치찌개 맛이 집에서 끓여먹는 그런 맛입니다!! 기본 반찬들 구성도 개인적으러 좋아하는 구성이고 너무 맛있게 잘 먹었습니다! 순두부찌개는 별로라고해서 김치찌개 먹었는데 다른 분들 많이 드시는거 보면 괜찮은거 같아서 조만간 먹으러가려구용!!
3.18.화,혼밥하기좋은 성수뚝배기 맛집입니다^^! 돼지갈비찜이랑 뚝배기제육이 맛있어요 ㅎㅎ
7.24.목,반응 남기기 방문일 7.24.목 2025년 7월 24일 목요일 1번째 방문 인증 수단 영수증
8.11.월,반응 남기기 방문일 8.11.월 2025년 8월 11일 월요일 1번째 방문 인증 수단 결제내역
24.11.27.수,😊 : 배달 시켜먹었는데 양도 많고 맛도 좋고 든든해요. 반찬도 많이 주시고 넉넉해서 두번 나눠서 먹기 좋아요. 고추장찌개랑 제육덮밥 추천!!
24.12.11.수,점심 든든하게 먹고가기 좋습니다. 뚝배기 메뉴들이라 공깃밥 추가하는거 참느라 힘드네요
24.4.8.월,성수동 맛집 뚝배기 존맛
24.1.11.목,점심식사하기 좋습니다 메인 음식이 맛있기 때문이죠
23.9.7.목,여기 음식 깔끔하니 맛있어요 😌 뭔가 속 편안한 음식맛
23.9.18.월,반응 남기기 방문일 23.9.18.월 2023년 9월 18일 월요일 3번째 방문 인증 수단 영수증
23.4.24.월,혼밥하기도 좋고 공기밥 추가 무료라 좋아요! 갈 때마다 두 공기씩 때리게 됨😇
23.5.2.화,반응 남기기 방문일 23.5.2.화 2023년 5월 2일 화요일 4번째 방문 인증 수단 영수증
23.4.5.수,맨날 갈 때마다 밥 두 공기씩 때리게 하는 맛🫶🏻
23.7.20.목,반응 남기기 방문일 23.7.20.목 2023년 7월 20일 목요일 2번째 방문 인증 수단 영수증
23.7.4.화,반응 남기기 방문일 23.7.4.화 2023년 7월 4일 화요일 1번째 방문 인증 수단 영수증
23.3.13.월,근처에 이런백반집이있는지 너무늦게알았네요 정갈하고 깔끔하고 맛있었어요 식당이너무조용해서 먹는데만집중했어요ㅋㅋㅋ 다음에 또방문하겠습니다
23.5.3.수,반응 남기기 방문일 23.5.3.수 2023년 5월 3일 수요일 1번째 방문 인증 수단 결제내역
23.2.8.수,가끔 찌개 생각날 때 점심먹는 곳입니다. 맛있습니다.
23.2.3.금,맛있게 잘 먹었습니다
22.11.17.목,회사근처라 잘 먹고있어요 조금 일찍 나와서 뚝딱 먹고가기 좋은? 1년 넘게 먹고있지만 가끔 맛이 바뀌는게 아쉽긴한데 무난하게 먹고갈 수 있는 곳이라 애정하고있어요ㅎㅎㅎ
22.10.14.금,공깃밥 추가 무료라서 좋아요! 깔끔하고 맛있어요👍👍
23.2.22.수,반응 남기기 방문일 23.2.22.수 2023년 2월 22일 수요일 1번째 방문 인증 수단 영수증
22.12.7.수,추울때 먹으니 좋아요
22.7.1.금,"고추장찌개, 된장찌개 다 깔끔하고 맛있어요~"
22.9.27.화,반응 남기기 방문일 22.9.27.화 2022년 9월 27일 화요일 1번째 방문 인증 수단 영수증
22.11.15.화,반응 남기기 방문일 22.11.15.화 2022년 11월 15일 화요일 1번째 방문 인증 수단 영수증
22.5.29.일,반응 남기기 방문일 22.5.29.일 2022년 5월 29일 일요일 1번째 방문 인증 수단 영수증
21.12.8.수,맨날 점심 시간에 사람 꽉 차서 먹기 힘들었는데  돼지갈비찜랑 된장찌개 가성비 좋고 맛있어요!  순두부찌개랑 제육도 많이 시키던데  다음에 꼭 먹어볼게요!
21.12.8.수,저희회사 사람들이랑 다녀왔는데 맛있네요 사장님도 젊고 친절하시고 ㅎ 음식의 깊은맛이 느껴지네요! 공기밥은 서비스로 주셔서 밥3공기 후다닥 먹고왔습니다:)다음에 또올게요
21.8.11.수,맛있다고해서 갔는데 순두부찌개는 그냥그래요ㅠ 제육이 맛있다고하니 다음에는 제육을 먹어야겠어요. 뚝배기가 커서 양은 많아요.
