date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""뷰가 좋아요""",이 키워드를 선택한 인원
9.18.목,"버거는 번과 패티 모두 맛있었어요. 그런데… 사장님께서 너무 장사하기 싫으신것 같았습니다. 매장안에 회사원같아보이는 네다섯명과 커플두명, 그리고 제가 있었는데 사람이 들어오든 주문을 하든 메뉴가 나와도 인상쓴 얼굴로 계시네요. 매장에 혼자 일하셔서 그러신가..하고 이해해보려 해도 먹으러간 사람이 사장 눈치를 봐야하는 분위기네요.(가게가 좁다보니 주방에 계시는 사장님의 짜증난 아우라가 더 느껴집니다) 테이블이 많지않아 주문이 밀려있는것도 아니였고 밖에 줄서있는 대기가 있던것도 아닌데 그날따라 안좋은일이 있으셨는진 모르겠지만.. 먹는내내 너무 불편했어요. 햄버거가 코로들어가는지 입으로들어가는지 모르게 먹고 나왔습니다. 아무리 맛있어도 다시가진 않을것 같아요."
9.2.화,치즈버거 맛있는 곳 발견! 넘 맛있어여 +감튀도 짱맛
7.31.목,"성수망치버거 진짜 맛있어요ㅠㅠ 인생 햄버거 집,, 또 먹고 싶네요!!"
6.7.토,포장해서 먹는데 항상 너무 맛있어요! 뭔가 햄버거 하면 이맛이지 이런느낌이에요
2.1.토,"가보려고 저장만 해두었던 성수망치버거에 드디어 왔네요🤣 근데 유독 성수동 이 골목길에 맛집이 많은 이유가 뭘까요ㅎㅎ 발자취가 꽤 있네요  외부에서도 한 눈에들어오는 키치한 옐로우톤, 그리고 내부인테리어와 포스터+소품이 매장의 분위기를 매우 밝게 만들어주네요:) 메뉴엔 3가지 버거가 있는데 저희는 망치버거(치즈버거)와 파불고기버거를 시켰습니다~! 주문과 함께 바로 수제로 만들어주시는 기분좋은 소리와 냄새가 기대감을 한껏 높여주네요😄  기본적으로 윤기흐르는 번인데 꽤 맛있는 편입니다..! 망치버거는 흔히아는 치즈버거의 범주 안에 있는데 약간 더 걸쭉한 느낌이 있구요 파불고기버거가 제 기준 여기의 시그니처 메뉴 같습니다.. 델리소스+파+버거라는 상상외의 조합이 정말 괜찮더라구요👍🏼 꼭 한번드셔보시길 추천드립니다🫡"
3.15.토,온도 합격. 염도 합격. 맵기 합격. 또 오겠소.
24.9.16.월,"성수동 수제버거집인데 정말 맛있습니다. 햄버거 번이 부드러워서 제 스타일이었어요. 패티 육즙도 풍부하고, 치즈와의 조화도 좋습니다!  다만 버거 크기가 작아서 성인 남성이면 1개로 부족할 거 같아요. 불망치버거도 추가로 주문했는데 매콤하면서 맛있었어요. 불닭 수준의 맵기인데 미리 말씀드리면 조절해주십니다. 꼭 가보세요 두 번 가보세요🙋‍♂️"
1.19.일,생각했던 것보다 훨씬 맛있었어요 자꾸 생각나요
24.9.12.목,"오오, 저는 불망치보다 오리지널에 한표! 한입 먹고 띠용😳 하는 맛이었슴다. 햄버거 조아해서 수제버거 마니 먹어본 편인데 진짜 맛있었어요.👍🏻 저녁 늦게 가면 재료가 소진되어서 못먹는 경우도 있다고 하니 전화해보고 가는거 추천! 뚝섬역에서 꽤 걸어야 하지만, 찾아갈만합니당.🤗"
24.8.30.금,"서울숲 근처에서 산책하면서 포장해서 먹으려고 들렸어요~! 넘넘 맛있는 햄버거를 먹게 되어 기분이 좋네요 ㅎㅎ 수제 패티인 것 같은데, 육즙이 풍부해서 진짜 기분좋게 먹었어요 ㅎㅎ 감자튀김도 두꺼운 게 넘나 맛있었습니다 또 포장하러 가고 싶어요 ㅠㅠ"
24.8.14.수,백종민님이 추천해서 가보았습니다. 포장해서 일보고 10시간뒤에 먹었는데 너무너무 맛있어요. 빵은 부드럽고 고기는 간이 딱맞게 짜지도 싱겁지도 않았고 파불고기가 제 스타일인거 같아요! 불망치는 매워서 시도 못했하고 남편이 먹었어요 저 목포에서 찾아갔는데 또 가고싶고 지인들한테 다 먹어보라고 추천해주고싶을만큼 맛이 좋아요
1.11.토,하루 지나서 먹어도 맛있어요
24.5.31.금,인플루언서 춈미 추천 맛집으로 방문하게 되었어요! 평소에도 수제버거를 굉장히 즐기는편이라 먹으면서도 까다롭게 평가하게 되었답니다 😆 제 기대와 결맡게 부드러운 버거번과 고소하고 육즙이 느껴지는 패티가 꽤 맛있었어요~ 기본이 치즈버거라 주문해보았고 감자튀김도 두툽하며 바로바로 튀겨진거라 좋았습니다👍🏻 다만 내부가 굉장히 협소하며 붐비는 시간대에는 대기도 발생하고 조금 불편할 수 있어요! 그래도 기다린 보람이 생긴 곳이네요 😌
24.7.19.금,"패티 추가한 망치버거 맛있었습니다! 베이직하면서 원 재료에 충실한 맛이었어요! :) 감자튀김도 겉은 바삭하니 맛있었어요! 다만, 콜라엔 얼음컵인데.. 얼음컵이 없어 너무 아쉽네요…."
24.8.10.토,"망치버거에 패티와 치즈를 추가하여 주문했습니다. 비쥬얼은 참 맛있어보였는데 맛은 기대에 좀 못미쳤습니다. 개인적으로 패티에 고기와 소금 외에 무언가가 첨가된것을 선호하지 않는데 이곳이 그랬습니다. 특별한것 없이 어디서나 먹을 수 있는 흔한 수제버거맛이라 굳이 찾아가서 먹을만한건 아닌것 같고, 몰려드는 주문에 비해 가게가 준비되지 않은 느낌을 받았습니다. 감자튀김과 치즈스틱이 매장에서 바로 먹는데도 다 식어서 제공이 되는건 문제가 있다고 생각합니다."
24.8.18.일,치즈버거 너무 맛있고 감자튀김도 미쳤음... 패티랑 치즈 추가해서 먹었더니 더 맛있음
24.8.25.일,수제버거 좋아서 찾아다니는 1인인데요.. 여기 파불고기버거 사진이랑 너무 다른데요? 먹기전에 사진을 못찍어 안타깝네요ㅠ 망치버거도 쏘쏘.. 감튀도 덜 튀긴건지 흰색빛이고.. 왜 유명한지 잘 모르겠음. 재방문 의사 없어요~
24.8.16.금,가게 내부에서 먹기엔 공간이 협소. 음식이 나오는데 시간이 꽤 걸림 맛은 잇음
24.7.1.월,너무 맛있어서 계속 생각나효..💕
24.7.18.목,"치즈버거가 맛있단 소문을 듣고 찾아갔는데, 기본에 충실한 재료만으로도 너무 맛있어요! 재방문 의사 200% 입니다 :-)"
24.9.23.월,저는 그냥 그랬습니다.
24.4.13.토,우앙~ 추천하는 햄벅집 입니다! 맛나욤!!
24.5.22.수,반응 남기기 방문일 24.5.22.수 2024년 5월 22일 수요일 1번째 방문 인증 수단 결제내역
24.7.12.금,반응 남기기 방문일 24.7.12.금 2024년 7월 12일 금요일 1번째 방문 인증 수단 영수증
24.5.25.토,반응 남기기 방문일 24.5.25.토 2024년 5월 25일 토요일 1번째 방문 인증 수단 결제내역
