date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
10.5.일,가볍게 한잔하기좋네요. 장소가 협소해서 아늑한느낌들어요. 안주도 맥주도 분위기도 괜찮은데 기본안주가전혀없어서 아쉬웠어요(프래첼이나.뻥튀기? 커피땅콩같은..) 배가부른상태에서 갔는데..그부분이 좀 아쉬웠슴다.
9.12.금,버섯 라구 파스타와 뉴문 흑맥주가 너무 맛있어요.
4.29.화,조용한 분위기라 대화하기 좋아요 맥주도 다양하고 트러플감자튀김 넘 맛있었어요
24.8.6.화,"정말 오래 전부터 자주 가는 곳이에요. 오늘은 일하다 힘들어서 갔는데 마침 친구들도 시간이 맞아서 함께하니 더 즐거웠네요. 혼술하기도 좋고, 친구들과 같이 가기도 좋은 성수스타우트입니다.💕 오늘 하루 힘들었다면 가서 수제맥주 한 잔 하며 툭! 털어 버릴 수 있는 곳이에요! 음식도 완전 너무 맛있어요!!!"
1.25.토,술종류도 다양하고 맛있어요! 다만 친절은 모르겠어서 재방문은 안할거같아요ㅎㅎ 안주 아직 남았는데 자꾸 치워버리세요ㅠㅠㅋㅋㅋㅋ
24.4.11.목,"성수에서 이야기하기 좋은 펍이에요! 갈비골목쪽에 있어서 찾기 쉽답니다 ✨ 단체용 테이블 1개(단체 아니어도 앉을 수 있음) 4인석 1개, 창가 쪽 2개의 테이블, 바테이블이 있어요. 사실 장소가 넓진 않지만, 분위기가 좋아요. 이날은 전 논알콜을 마시긴 했지만 (논알콜 옵션이 있다는 것도 장점 중 하나라 생각해요!) 맥주 맛이 참 좋은 곳이에요 ☺️ 도수 높지 않은 주류들도 많이 있습니다 좋아하는 사람들과 성수에서 2차를 고민할 때 자신있게 추천하는 곳입니다 💕 덕분에 좋은 시간 보내고 가요. 감사합니다!"
24.5.9.목,샘플러로 여러 맥주를 맛볼수도있고 안주들도 다 넘 맛읺었어요! 맥주들도 하나하나 넘 맛있고 하이볼까지도 맛있어서 이야기하며 한잔하기 넘 좋았어요
24.3.22.금,피쉬앤칩스를 시켜 먹었습니다! 맛있었어요. 맥주랑 잘 어울려요 아쉽게도 라거가 품절이라 못 마셨네요 ㅎ 맥주마시기에 참 좋아요...
24.6.22.토,솔직히 맥주들이 너무 짜고 식초 넣은거 처럼 너무 셔서 다 남기고 나왔어요. 어떤 맥주 맛의 기준으로 판매하는지 의문이네요.
24.3.10.일,"정말 친절하시고, 맛도 좋고,,,  진짜 나만 알고싶은 숨은 맛집입니다"
23.10.9.월,오랜만에 가도 있어서 다행! 좋아요!
24.3.20.수,반응 남기기 방문일 24.3.20.수 2024년 3월 20일 수요일 1번째 방문 인증 수단 영수증
23.8.6.일,서울숲 갔다가 너무 더워서 입맛도 없고 하니 맥주집 찾아 헤매다 발견. 테라스도 있어서 여름가고 가을쯤 다시가면 좋을거 같아요. 감자 튀김도 맛있어요. 콘센트 비치 안되어 있는건 너무 아쉬움. 카운터에서 폰 충전해주는데 충전 빨리됨.
23.12.17.일,반응 남기기 방문일 23.12.17.일 2023년 12월 17일 일요일 1번째 방문 인증 수단 영수증
23.9.20.수,분위기 좋고 맛잇어용~
23.8.26.토,자주가는 성수동 핫플입니다. 분위기 맛 항상 만족합니다
23.5.13.토,"서울숲 갈때마다 늘 가는 성수 스타우트에요 ! 맥주 종류도 너무 다양하고 안주도 징짜 존맛 .. !! 문어튀김하고 브라우니 꼭 드셔보세요,, 걍 기절쇼 쌉가능 입니다 .. 맥주만큼 하이볼도 맛잇는거 같아용.. 사장님도 친절하셔서 늘 갈때마다 좋은 시간 보내고 옵니다 짱이에요,,!!!! 갈비골목에서 갈비먹고 2차로 꼬옥 가보시길 ><"
23.10.20.금,반응 남기기 방문일 23.10.20.금 2023년 10월 20일 금요일 2번째 방문 인증 수단 영수증
23.5.13.토,"여러명이 가도 취향껏 고를 수 있게 맥주도 다양하고 안주도 진짜 다 맛있어요!!🥹🥹특히 브라우니는 미친놈임 ㅠ 다른거 다 드시고 배불러도 마지막에 꼭 드세요,, 최근에 가니까 특이한 식물로 인테리어도 해두셨던데 가게 분위기랑 넘 잘어울리고 좋네요💚"
23.6.4.일,밤이면 밤마다 흑맥주 강추드려요! 은은히 달달하면서도 밤맛이나요 브라우니위에 바닐라아이스크림 안주가 2차 바이브로 최고! 직원분도 친절하시고 음악도 좋네요 ㅎㅎ 굳굳!!
23.8.19.토,"술 종류가 많고, 분위기도 좋아요."
23.9.15.금,반응 남기기 방문일 23.9.15.금 2023년 9월 15일 금요일 1번째 방문 인증 수단 영수증
23.8.11.금,반응 남기기 방문일 23.8.11.금 2023년 8월 11일 금요일 1번째 방문 인증 수단 영수증
23.4.1.토,첫 주문은 1인 1잔인 걸 주문할 때 얘기 안 하고 맥주 갖다주실 때 얘기하셔서 메뉴판에는 없었는데 무알콜 음료도 있다 콜라 있다고 해서 주문했는데 콜라 5천원ㅎㅎㅎㅎㅎㅎ 브라우니 아이스크림은 진짜 맛있어요 매장 분위기도 좋고 음식도 맛있었는데 재방문은 모르겠어요
23.2.17.금,서울숲 메인거리에 가볍게 먹을 맥주집이 없어서 찾아보니 조금 오래됐지만 을지로 맛집들처럼 분위기 좋은 펍을 찾았어요~! 2층 테라스에서 먹었는데 하나도 안춥고 따뜻하게 난방해주시구 담요도 넉넉하게 준비되어 있었어요. 그리고 맥주 맛집답게 흑맥주 서로다른 2잔을 시켰는데 둘다 특색있고 맛있었어요. 특히 감자전 존맛이었습니다. 고즈넉하게 수다떨기 좋아요. 화장실도 깨끗하구요.
23.12.1.금,분위기도 좋고 피쉬앤칩스도 너무 맛있었어요!
22.11.26.토,샘플러 꽤 맛있는데 유자쏠트만은 도전하지말자... 진짜 별로였다. ㅠ 다른건 다 맛있는데. 배가 많이 안고파서 가벼운 안주와 다양한 맥주 마시면서 수다수다. 가게 자체는 좁고 테이블도 따닥따닥 붙어있지만 꽤 재밌고 맥주맛있음.
23.6.4.일,반응 남기기 방문일 23.6.4.일 2023년 6월 4일 일요일 1번째 방문 인증 수단 결제내역
23.1.13.금,여기 있다고? 의심되는 곳에 위치한 수제맥주. 흑맥주 전문점으로 인정때림
23.2.10.금,반응 남기기 방문일 23.2.10.금 2023년 2월 10일 금요일 1번째 방문 인증 수단 영수증
22.11.29.화,맥주 종류도 많고 2차로 가볍게 먹기좋아요
22.12.11.일,반응 남기기 방문일 22.12.11.일 2022년 12월 11일 일요일 1번째 방문 인증 수단 영수증
22.7.16.토,오와오 여기 무슨 아지트같아요 복잡한 시내속 잘찾아보면 문이 있고 열어보면 보물같은 술집이..! 맥주도 종류별로 먹어볼수있고 안주도 너무 훌륭합니다!
22.7.7.목,맥주가 맛있고 분위기가 좋네요.
22.10.15.토,매장은 좁지만 음악과 분위기는 좋아요
22.7.12.화,"두번째 방문. 1차로 식사하고, 2차하러 갔습니다. 평일이라 사람 거의 없었구요. 로제라거는 그냥 그랬고, 레몬토닉 맛있습니다. 친절한편은 아닌거 같아요 ㅎㅎ"
22.6.3.금,매일 조금씩 달라지는 술과 메뉴 분위기와 음악이 좋아서 가볍게 한잔하기 좋은곳이에요🥰🍷🥃
22.9.20.화,흑맥주가 맛있어요. 가격은 좀 비싸요.
22.6.3.금,"사장님이 친절하고 음식이 너무 맛있어요!! 핫윙, 라구파스타, 트러플 감튀 최고에요👍🏻👍🏻"
22.6.8.수,분위기도 좋고 음식도 맛있었어요
22.7.29.금,조금시킨다고 눈치주는 느낌이였고 다 먹지도 않았는데 맥주잔 막 가져가심..다신안가고싶움 정말 별로^^감시당하는기분듬
22.6.28.화,괜찮았어요. 자두부라타치즈가 좀 양이 많이 적은거 빼곤용..
22.7.9.토,2차로 가볍게 맥주 한잔 하기 좋고 다양한 맥주메뉴가 있어요
22.6.1.수,사장님이 넘 넘 친절하시고 잘생기셨어요^^ 쉐프님이라서 그런지 역쉬~~음식도 맛있고 술도 다 맛있어요~~ㅎㅎ
22.6.17.금,반응 남기기 방문일 22.6.17.금 2022년 6월 17일 금요일 1번째 방문 인증 수단 영수증
22.6.1.수,반응 남기기 방문일 22.6.1.수 2022년 6월 1일 수요일 3번째 방문 인증 수단 영수증
22.4.28.목,반응 남기기 방문일 22.4.28.목 2022년 4월 28일 목요일 1번째 방문 인증 수단 영수증
22.6.18.토,반응 남기기 방문일 22.6.18.토 2022년 6월 18일 토요일 1번째 방문 인증 수단 영수증
21.11.14.일,반응 남기기 방문일 21.11.14.일 2021년 11월 14일 일요일 1번째 방문 인증 수단 영수증
21.10.7.목,퇴근 후 한잔하기 너무 좋아요 사장님 직원분 너무 친절하세요~ 혼술하러 금방 와야겠어요
21.10.7.목,사장님이 너무 친절하세요! 맥주 너무 맛있게 먹고갑니다😎
21.11.14.일,분위기 좋고 맛있었어요
21.12.18.토,반응 남기기 방문일 21.12.18.토 2021년 12월 18일 토요일 1번째 방문 인증 수단 영수증
21.11.20.토,반응 남기기 방문일 21.11.20.토 2021년 11월 20일 토요일 1번째 방문 인증 수단 영수증
21.11.13.토,반응 남기기 방문일 21.11.13.토 2021년 11월 13일 토요일 1번째 방문 인증 수단 영수증
21.6.26.토,맥주도 그냥 그렇고 안주가 가성비 별로예요... 윙도 시켰었는데 이 맛도 저 맛도 아니어서 하나 먹고 다 남겼어요ㅠㅠ 테이블에 다닥다닥 붙어 앉아서 거리두기 전혀 안 되는..
21.5.4.화,첫 방문인데 분위기가 너무 좋았어요. 맥주도 다양하고 위스키도 있어 간단히 한잔 하기엔 좋은 느낌입니다. 재방문 예정입니다.
21.5.12.수,파스타가 맛있고 분위기도 좋아요! 감자전 위에 올라가는 수란 짱!!!! 짱맛탱!!!!
21.5.13.목,메뉴랑 맥주 종류도 자주 바껴서 좋아요 ^_^
