date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""주문제작을 잘해줘요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""종류가 다양해요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
8.2.토,부모님 환갑이어서 주문했는데 너무 마음에 들어요! 크림이랑 떡케이크 조합 상상이 안갔는데 너무 달지 않아서 맛있었고 그냥 시루떡이 아니라 안에 견과류(?)도 가득 들어있어서 더 맛있었어요 ㅠㅠ 그냥 빵 케이크 시키면 항상 다 남아서 버리는데 떡케이크는 싹싹 다 먹었어요..! 가격도 다른 곳보다 저렴한데 디자인도 예쁘고 포장도 너무 예쁘고 감각있게 해주십니다 🧡 여기를 너무 늦게 알아서 아쉬워요 ㅠㅠ 마포로 이사가도 찾아갈게요..!
7.15.화,떡에 진심인 신랑이 맛집이라고 쉬는날 같이 달려왔는데 비주얼부터 너무 맛있어보이고 구매하고 못참고 하나 먹었는데 완전 존맛탱❤️ 사장님께서도 너무 친절하시구 그리고 떡케이크 비주얼 미쳤구 맛있어용💜 재방문 *100프로🫶🏻
7.25.금,기념일 기념 케이크는 질려서 떡케이크로 해봤는데 정말 괜찮았습니다 ! 케이크 보다 부드러워서 좋고 맛도 다양해서 약간 조각케이크 모아서 먹는 느낌이였습니다 ㅎㅎ 사장님도 친절하게 응대해주셔서 좋았어요 ! DM으로 예약하고 갔는데 딱 맞춰서 나오고 서비스에 감동 받았습니다 ㅠㅠㅠㅠ 또 할 거같습니당 ㅎㅎ
