date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
10.19.일,양도 푸짐하고 오뎅국물도 넘 시원하고 맛나요. 명란감자샐러드는 꼬오옥~ 드시길 권해요. 진짜 저세상맛 진짜진짜 맛나요. 따뜻한 도쿠리에 오뎅탕에 명란감자샐러드 2명이서 배터짐요. 간만에 힐링입니다.
9.27.토,"매장에 지하에 위치해있지만, 1층에서 먹는 것과 같이 내부가 쾌적했어요 !  거기에 사장님들도 너무 친절하셔서 오뎅 최애인데... 진짜 맛도리 오뎅 세트 먹고 갑니다 🤤  또 힘순찐은 오이 탕탕이인데 이것도 별미이니 드셔보시는 거 꼭 추천드려요 🙌  성수는 오랜만에 오는데 간만에 좋은 마무리 술집 찾고 가요 ! 재방문의사 100%  거기에 차를 가지고 오신다면 뚝도시장 노상 무료 공영주차장 이용하시면 편리해요 🙆🏻‍♂️✅"
9.24.수,비오는날 오뎅이 먹고싶어서 찾은집.. 일본그자체입니다 지금까지 오뎅탕 여러곳에서 먹어봤지만 이렇게 정성스럽고 맛있는 곳은 처음에요.. 1차로도 좋고 2차로도 좋은 곳 성수오신다면 꼭 와보세요 강추입니다!!!!! 진짜존맛.. 오뎅퀄리티가 아예다름
9.8.월,"성수오뎅에서 맛있는 한 끼 하고 왔어요! 국물이 깊고 깔끔해서 손이 계속 가고, 다양한 어묵들도 신선하고!!! 탱글한 식감이 정말 좋았습니다ㅠㅠ특히 넉넉하게 담아주는 비주얼이 먹기전부터 100점…따뜻하고 든든하게 즐기고 갑니당 분위기 좋은 시간 보내고 싶다몀 추천"
10.5.일,매장이 어딘가 모르게 아기자기하고 귀여워서 데이트하기도 좋고 도란도란 이야기하기에도 좋아용 ㅎㅎㅎ  가장 중요한 오뎅맛!! 진짜 맛있었어요!! 의외의 복병 스지도 정말 쫄깃하고 맛있었답니다!?  직원분들도 친절하시구 덕분에 즐거운 데이트 했어욤💖
9.23.화,오뎅 진짜 맛있어요 😆 단품으로도 간당하게 혼술하기 좋도 스지 포함인 세트메뉴가 있어서 저렴하게 먹을 수 있었어요 오뎅국물에 사케한잔하기 좋아요!! 분위기도 좋아서 데이트 장소로 추천드려요 😆🥰
