date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
10.10.금,연휴 내내 일하고 쉬는날 혼자 예약하고 갔는데 예약 시간보다 일찍 받아주셨어요 새우고로케도 새우가 탱글하니 맛있었구요 청포도 에이드도 엄청 달지않고 적당히 달아 맛있었어요 대망에 카이센동은 두꺼운 회와 엄청 단 새우와 조합이 굉장히 어울렸습니다 마지막에 계산하고 나가는데 사장님이 초코맛 우마이봉도 주셨어요! 굉장히 인심도 좋은 곳입니다 다들 점심에 방믕 해보셔요!!
8.3.일,굴튀김 에피타이저부터 시작해서 다들 모든 요리가 맛있다고 감탄했어요 👍🏻 장어덮밥이 특히 중독성이 강해서 세번이나 시켰네요 🤭 사장님이 혼자 하시는 만큼 시간이 걸려서 중간 중간 텀이 있지만 모든 요리에 그만큼 정성과 디테일이 있어서 그 시간이 오히려 기대와 설렘으로 가득찼어요! 수다도 떨고 정말 맛있고 즐거운 시간이었어요 ❤️ 사장님도 진짜 친절하세요!! 무조건 추천할 수밖에 없는 집!
