date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""환기가 잘 돼요""",이 키워드를 선택한 인원
"""야외공간이 멋져요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""룸이 잘 되어있어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
10.19.일,"특수부위 모둠 먹고 삼겹살 추가했는데 모든 부위가 다 맛있어요ㅠㅠ갈매기살 다른곳에서 잘못먹으면 질기거나 암맛 없는데 쵿쵹하고 부드럽고, 다른 부위들도 다 맛나요 일단 숯이 넘 좋고 화력이 좋아서 육즙을 가둬줘서 겉바 쵿쵿입니다..같이 주신 야채들도 넘 맛있고 잘 어울려요 명이나물에 소금 콕 찍은 고기에 와사비 넣고 청양고추 넣어 먹으면 햄복 그 자체임댜!!!!! 파김치도 넘 맛나요 환기도 잘되서 고기냄새도 안납니댜!!!!!"
