date,content
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""시설이 깔끔해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
9.29.월,옥수동에서 제일 좋은 키즈카페!!!깔끔하고 위치좋고 아이들 노는게 한눈에 다 보여서 걱정없이 수다떨수있고 ~~ 너무좋네영
8.7.목,깨끗하고 쾌적하고 관리가 잘 된 느낌이었어요. 주차가 쉽지 않을 것 같아 지하철로 방문 하였는데 지하철 출입구 바로 1분 도보 거리에 위치해서 넘넘 편했네요. 엘레베이터는 저희 이용 시간에만 해당 층으로 작동하여 보안도 괜찮은 것 같고 1층에는 아우어 베이커리 있어서 엄마들 후다닥 커피 픽업해서 올라가기 좋았어요. 주변에 맛집이 많아 시켜 먹기 편하고 아이들이 무척 좋아했어요. 날이 덥거나 추울때는 이렇게 여러 가족들 만나 시간 보내기 편할거 같아요.
9.14.일,호기심 많은 아이라 식당가기가 어려워 세이제이에서 돌파티 했는데 너무 만족스러웠습니다! 대신 주차가2대 밖에 안되는 점이 아쉽네요ㅠㅠ
9.7.일,아가들 아이들 모두가 행복했던 시간이었습니다:) 감사합니다!
9.20.토,생파했어요. 15명정도 모였는데 적절했어요. 깨끗하고 아이들도 신나게 놀았답니다. 화장실도 내부에 있어서 좋아요.
7.20.일,몇달만에 재방문인데 키즈카페중에 실내 화장실 및 세면대/핸드워시 및 핸드타월까지 완벽한 곳은 세이제이가 유일해요!!!! 그사이 장난감은 조금 사용감이 느껴지지만 다 소리도 잘나고 잘 관리된 느낌이라 또 방문해야겠다 생각드는 곳이에요~ 강추 번창하세요!!!
7.13.일,"왜 인기가 좋은 키즈카페인지 오늘 알 수 있었습니다👍 예약에 성공하려면 오픈런 꼭 해야합니다😀  사장님께서 얼마나 관리를 잘 하시는지, 그리고 또 사장님의 섬세함을 다 느낄수 있었던 장소였습니다!! (잘 되는 곳은 다 이유가 있는것 같아요)  기회가 된다면,(예약이 다시 가능하다면) 다시 한번 더 예약 하고 다시 오고 싶습니다.  좋은 시간 만들어 주셔서 감사해요👏👏👏"
6.26.목,"지인들과 단체 플레이데이트를 즐기기 최적인 장소입니다, 깨끗한 실내와 편리한 서비스로 정말 잘 즐기다 왔어요❤️ 다음에도 또 이용하겠습니다❤️"
5.10.토,관리도 잘 되어있고 단체 모임에 너무 좋았습니다
4.12.토,어린이집친구들끼리 모임했는데 깔끔하고 너무 좋았습다:) 넓지만 한눈에 보여서 엄마들 수다떨면서도 아이들 케어하기 좋았어요 ㅎㅎ
4.6.일,시설 넓고 신식이라 쾌적하고 좋습니다. 화장실부터 아이 맞춤형 세면대 개수대 등 키즈카페에 있어야 할 것들이 다 있습니다. 가격대가 있는만큼 여러가족이 함께 모임하기 좋고 시간도 4시간으로 넉넉해서 좋습니다. 다음에 또 올게요!
3.29.토,"장난감도 다양하고 매장도 넒어서 아이들 단체 모임하기에 정말 좋았어요~ 오픈한지 얼마 안되어서 워낙 새 매장인데다 청소/관리까지 매우 잘 되어 있어서 최근 방문 한 키즈룸 중에 청결상태 최고였어요!  전반적인 인테리어 + 디테일한 부분 까지 가구나 소품, 컬러 사용등이 매우 감각적이라 아이들 노는 동안 부모님들 모임하기도 좋았어요~ (키친 한켠에 깨지지 않는 와인잔, 와인 오프너도 멋지게 세팅되어 있었고 테이블도 무척 좋은 원목 사용하여 제작하신 것 같았어요~~!)  시설이 잘 갖추어져있고 밖에 테라스도 있어서 생일파티나 돌잔치 등의 목적으로 이용해도 괜찮을 것 같습니다^^잘 놀다 가요~~^^🩷"
2.1.토,아이들 놀기 좋네요
3.2.일,너무 깔끔하고 놀거리 많은 곳이예요! 쌀쌀한겨울 온도 맞춰서 히터 틀어놓아주시는 센스😊 8개월 아가~7살 형아까지 놀았는데 부족함없이 꽉차게 놀았어요! 와인챙겨갔는데 와인잔이랑 오프너까지다있구! 화장실이나 손씻는곳까지 아이들꺼 따로 준비되어있어서 너무 편했습니다:) 아 간식 살수있는 매점같은?곳 있어서 좋았어요!
1.18.토,깔끔하고 친절해요 들어가니 미리 난방도 켜놓으셔서 따뜻하게 있어서 좋았어요. 아이 생일파티 즐겁게하고 재밌었어요~ 또 올께요!
