date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""현지 맛에 가까워요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""아늑해요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
10.10.금,다찌 형태로 바뀐 세키신에 다녀왔습니다. 초밥에 올라가는 회가 더 두툼해진 거 같습니다. 인사만 드리던 셰프님과 대화도 나눌 수 있게 되어 재밌게 맛있는 식사 하고 왔습니다.
10.14.화,오랜만에 방문했는데 닷지가 생겼네요 특모듬 b 먹었는데 판초밥인데 닷지에서 한피스씩 먹으니 오마카세 먹는거같네요 웬만한 저가 오마카세보다 낫네요 저가오마카세 2-3만원대 정도하는곳들 에서 가지초밥 같은거 주던데 구성도 더좋고 우동도 나와서 좋아요
10.12.일,처음 방문인데 넘 맛잇어요 ! 다찌로 바꾸고 재오픈 하셨다는데 앞에서 만들어주시고 바로 먹으니까 더 맛있어요 :) 광어 지느러미 최고 …..✨✨
