date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""주차하기 편해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
9.13.토,늦은 저녁 겸 한잔하러 방문. 날씨가 좀 선선해져서 먹을 만했음.
7.6.일,진~~~~짜~더워요..😥😰😱 너~~~~무~더워서 중간에 먹다 나왔어요. 불 피우는 고깃집치고는 에어컨이 너무 작은 거 같아요. 우리만 더운 게 아니라 옆 테이블 앞 테이블 손님들이 다 덥다고 하는데.. 선풍기 틀어주시는데 효과 없어요. 한 잔 더 마시고 싶어도 너무 더워서 앉아있기 힘들어 시원한 곳 찾아서 2차 갔어요. 에어컨 큰 걸로 안 바뀌면 소대장은 겨울에만 가는 걸로😭
6.13.금,살치살+양념 반반 주문했어요. 아이들이 잘먹어요. 쌈이 없어 아쉽고 5인석이 없다며 4인석에 의자하나 더 주시길래 좀 불편하게 먹고 왔습니다.
8.8.금,고기 질이 좋아서 먹자마자 감탄했네요~갈때마다 넘 맛있게 먹네요 기름이 많지도않고 적당히 고소해서 계속 먹게되더라구요. 양도 진짜 많고 가성비 굳이에요😀 숯불에 구워서 그런지 더 맛있더라구요! 고기 먹으면서 같이 나온 및반찬이랑 셀프바에있는 국도 맛있었어요 자주가는 집이라 지인들 데리고 많이갔네요 ㅋㅋ
10.9.목,반응 남기기 방문일 10.9.목 2025년 10월 9일 목요일 3번째 방문 인증 수단 영수증
9.27.토,더위많이 타시는분들 감안하고 가셔야합니다 면적대비 에어컨용량이 작아서 엄청 덥습니다 갈비살은 맛있어요
7.19.토,올만에 식구들 데리고 와서 푸짐하고 맛있게 먹었어요~
4.4.금,고기 질도 좋고 맛있네요 양도 푸짐하고 사람도 엄청 많음 다음엔 반반 한접시로 먹어 볼라구요 계란찜은 없네요 잘 먹었습니다
4.11.금,지난번 갈비살 맛있게 먹어 이번에는 갈비살+부채살 반반 한판 먹었는데 부채살이 불판을 덮어서인지 고가가 안익을정도로 화력이 자꾸 떨어져서 인가 약간 별로였음 전 갈비살이 좋더라고요 앞으론 갈비살만 먹는걸로...
5.11.일,맛있고 양도 많아 좋아요
6.8.일,반응 남기기 방문일 6.8.일 2025년 6월 8일 일요일 2번째 방문 인증 수단 영수증
3.15.토,맛있게 잘 먹었습니다~😋👍
6.15.일,반응 남기기 방문일 6.15.일 2025년 6월 15일 일요일 3번째 방문 인증 수단 영수증
10.11.토,반응 남기기 방문일 10.11.토 2025년 10월 11일 토요일 3번째 방문 인증 수단 영수증
5.2.금,모임하기도 좋고 고기도 맛있었어요.
4.5.토,잘 먹고 왔습니다.
5.9.금,예전 같지는 않아요~
5.25.일,반응 남기기 방문일 5.25.일 2025년 5월 25일 일요일 1번째 방문 인증 수단 영수증
2.14.금,가성비 좋구요~ 맛도 있구요~. 이곳은 갈때마다 사람이 많은거 보니 진정한 맛집이에요~. 냉면도 맛있구요. 장국도 맛있어요
9.8.월,반응 남기기 방문일 9.8.월 2025년 9월 8일 월요일 2번째 방문 인증 수단 영수증
5.11.일,반응 남기기 방문일 5.11.일 2025년 5월 11일 일요일 1번째 방문 인증 수단 영수증
24.12.8.일,"오늘은 딸과 함께 생갈비살 먹는 날. 언제가도 고기가 신선한 소대장. 된장국도 맛있고, 콩나물무침도 굿.. 좋아용 ~"
7.3.목,반응 남기기 방문일 7.3.목 2025년 7월 3일 목요일 1번째 방문 인증 수단 영수증
4.14.월,반응 남기기 방문일 4.14.월 2025년 4월 14일 월요일 3번째 방문 인증 수단 영수증
3.21.금,너무 맛있게 잘 먹었습니다 한접시 시키고 남은 것은 포장해왔어요
24.12.8.일,정말 맛있어요~ 직원분들 모두 부지런하시고 고기질도 물론 좋고 맛있습니다. 양념도 맛있지만 생이… 쵝오~~~
24.12.11.수,반응 남기기 방문일 24.12.11.수 2024년 12월 11일 수요일 10번째 방문 인증 수단 영수증
24.12.14.토,반응 남기기 방문일 24.12.14.토 2024년 12월 14일 토요일 2번째 방문 인증 수단 영수증
1.1.수,반응 남기기 방문일 1.1.수 2025년 1월 1일 수요일 3번째 방문 인증 수단 영수증
24.12.19.목,반응 남기기 방문일 24.12.19.목 2024년 12월 19일 목요일 2번째 방문 인증 수단 영수증
24.7.27.토,와씨 폭염특보인데 문열고 장사함… 숯불에 녹을뻔해서 거짓말안하고 소갈비를 들어가서 15분만에 먹고나옴..  덥다고 선풍기좀 틀어달라고하니까 전기 연장선이 없다고 선풍기를 저~ 멀리에서 틀어주네요  이열치열 좋아한다면 추천!
24.12.11.수,반응 남기기 방문일 24.12.11.수 2024년 12월 11일 수요일 9번째 방문 인증 수단 영수증
1.1.수,반응 남기기 방문일 1.1.수 2025년 1월 1일 수요일 3번째 방문 인증 수단 영수증
24.11.29.금,반응 남기기 방문일 24.11.29.금 2024년 11월 29일 금요일 9번째 방문 인증 수단 영수증
24.11.29.금,반응 남기기 방문일 24.11.29.금 2024년 11월 29일 금요일 8번째 방문 인증 수단 영수증
24.11.9.토,반응 남기기 방문일 24.11.9.토 2024년 11월 9일 토요일 2번째 방문 인증 수단 영수증
24.6.8.토,가족모임 아들들하고 맛있게 먹었어요.
24.11.9.토,반응 남기기 방문일 24.11.9.토 2024년 11월 9일 토요일 2번째 방문 인증 수단 영수증
24.9.18.수,"너무 더워서 입맛이 싹 없어지는 가게네요  고기는 생갈비살은 먹을 만 한데 살치살은 진짜 먹으라는건지.,."
24.8.25.일,반응 남기기 방문일 24.8.25.일 2024년 8월 25일 일요일 1번째 방문 인증 수단 영수증
24.9.14.토,반응 남기기 방문일 24.9.14.토 2024년 9월 14일 토요일 1번째 방문 인증 수단 영수증
24.3.23.토,가성비도 좋구요 맛도있어요~ 오후2시넘어서 갔는데도 사람이 많더리구요. 맛집을 알아내서 넘 좋아요~!
24.5.15.수,맛있게 잘 먹었습니다~😋👍
24.6.24.월,고기가 부드럽고 맛있어요~^
24.5.23.목,육즙이 ..식감이 .. 넘 좋아요
24.12.7.토,반응 남기기 방문일 24.12.7.토 2024년 12월 7일 토요일 2번째 방문 인증 수단 영수증
24.5.3.금,믿고 가는 단골이었는데 맛이 예전이랑 달라졌네요ㅠㅠ고기질이 별로에요 고기에선 잡내가 나고 양념이 맛이 달라요 냉면에선 그릇에서 나는건지 비린내가 심하게났어요 깻잎에 싸먹는게 맛있었는데 깻잎도 없어지고 된장국이 진짜 맛있었는데요 뭔가맛이 변한것같은...암튼 항상 만족하고 오는곳이었는데 엄청 실망하고 돌아옴..이 내용을 쓰는것은 다신 안오면 그만이지만 단골이었던 입장으로서 안따까워 개선을 바라는 맘에서 사장님이 보시고 다시 예전처럼 돌아갔으면 좋겠고 개선했으면 해서 피드백을 드리는것입니다.
24.10.18.금,반응 남기기 방문일 24.10.18.금 2024년 10월 18일 금요일 2번째 방문 인증 수단 영수증
24.2.23.금,소고기는 소대장이 최고임…❤️
24.5.5.일,반응 남기기 방문일 24.5.5.일 2024년 5월 5일 일요일 1번째 방문 인증 수단 영수증
24.5.1.수,가끔 왔던곳인데 고기 잡내도 나고 예전같지 않은 느낌을 받았습니다.
24.7.18.목,한가지 맛만 먹기 그래서ㅠㅠ 반반 먹고 포장해왓어요ㅋㅋ 항상 맛있습니닷.
24.9.14.토,반응 남기기 방문일 24.9.14.토 2024년 9월 14일 토요일 1번째 방문 인증 수단 영수증
24.5.11.토,반응 남기기 방문일 24.5.11.토 2024년 5월 11일 토요일 1번째 방문 인증 수단 영수증
23.12.23.토,갈비살이 생각나는 저녁.. 6시이전인데 대기 3팀 10분정도 기다려서 먹음. 역시 생갈비살 굿..냉면도 콩나물무침 .. 소대장은 늘 진심입니당 ~
24.6.27.목,반응 남기기 방문일 24.6.27.목 2024년 6월 27일 목요일 3번째 방문 인증 수단 영수증
24.3.16.토,맛도 직원의 유두리도 별로였습니다
24.4.3.수,소고기 갈비살이 끝내주는 곳입니다 가성비도 좋아요
24.5.17.금,반응 남기기 방문일 24.5.17.금 2024년 5월 17일 금요일 8번째 방문 인증 수단 영수증
24.5.4.토,두번째 방문인데 고기에서 20점중 3-4점은 꼭 누린내가 좀 나요 냉면은 맛있어요
24.4.14.일,반응 남기기 방문일 24.4.14.일 2024년 4월 14일 일요일 1번째 방문 인증 수단 영수증
24.3.20.수,매장이 어수선하고 시끄러워요
24.2.8.목,양많고 맛있었어요 ㅎ 손님 많아요
24.5.15.수,반응 남기기 방문일 24.5.15.수 2024년 5월 15일 수요일 2번째 방문 인증 수단 영수증
23.11.27.월,흠 오랜만에 간건 아니였는데 가격이 또올랐더라구요? 1월이되면 또오를수도있는데 걱정이에여! 그리구 양념소갈비살을 자주먹는데 간장?스러운양념에서 고추장?스러운양념으로 바뀐듯합니다...... 그날만 양념이 잘못된건지 모르겠는데 전 양념이 훨씬나아요 가격도 계속 오르고 양념맛도 바뀐거라면 앞으로 재방문의사는 x
24.4.4.목,반응 남기기 방문일 24.4.4.목 2024년 4월 4일 목요일 3번째 방문 인증 수단 영수증
24.3.3.일,반응 남기기 방문일 24.3.3.일 2024년 3월 3일 일요일 1번째 방문 인증 수단 결제내역
24.11.9.토,반응 남기기 방문일 24.11.9.토 2024년 11월 9일 토요일 2번째 방문 인증 수단 영수증
