date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
24.4.17.수,"맛집이라 하여 점심시간 이용해서 갔는데, 역시나 사람 꽉차있어서 약 10분정도 대기하고 들어갔어요- 회덮밥 먹었는데 세꼬시 회라 뼈 오독오독 씹히는 맛이었어요 😊 밥 한공기 따로 주셔서 비벼먹으면 되고 싱싱하고 깔끔해서 맛있게 먹고 왔습니다! 반찬 구성도 좋아요 👍 이모님도 친절하십니다 뚝섬 회덮밥 맛집 추천-"
24.5.3.금,갈때마다 신선하고 맛있게 한 끼 식사하고 옵니다! 꼬막비빔밥 추천! 반찬도 맛있어요 🥹👍
24.2.26.월,맛있어요 근데...좀 비싸요
23.11.13.월,왜 점심인데도 사람이 없는지 알겠음. 불친절한 직원들과 맛없는 음식의 콜라보. 회덮밥 이렇게 맛없는집 처음임 회덮밥안에 회가 죄다 세꼬시고 미끄덩?위생상태가 의심됐음... 가게 냄새도 안좋았다..바로나갈껄 그랬음
23.8.11.금,"7시경 들어서자마자 개가 짖었다. 다른 손님은 없고 주인내외는 다른 한 사람과 식사중. 주인이 식당에서 개를 키우고 손님 앉는 의자에 둠.헐~. 한 테이블은 다른 손님이 머고 나간 자리가 안 치우고 그대로 방치되 있고. 물회를 시켰는데 나온 오이무침도 물회에 나온 오이도 엄청 썼다. 이정도는 맛 봐가면서 오이 껍질을 벗기던지 안 쓴 부분만 이용해야 할거 아닌가. 주인한테 오이가 쓰다고 했더니 황당한 답변은 ""쓰죠. 이번에 들어온게 쓰더라구요."" 날씨가 가물면 오이가 쓴맛이 나지만 요리에 그 쓴 것을 알면서도 그대로 손님상에 내놓다니. 장사를 하겠다는 건지. 기분 엄청 상했는데 참으며 오이는 골라 빼가면서 겨우 먹고 나왔다. 곁다리 반찬도 건들지도 않음. 음식점 운영하는 마인드가 영~별로였음."
