date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
8.19.화,"진짜 너무 맛있어요 사장님!!! 토마토 스튜도 고기랑 당근이 진짜 부드러웠고 진짜 고급진 맛!!! 그리고 커리파스타도 진짜 태국에서 먹는 맛이라 면 다 먹고, 밥까지 비벼 먹고 싶은 맛이었습니다😆 다음에 또 올게요~~!"
8.5.화,"금호동 완전 힙한 찐존맛집 발견!!! 빈티지 인테리어 분위기 미쳤고 안주 하나하나 개존맛이다, 소고기스튜 진짜 녹진하고 깊은 국물 먹으면서 해장되고 푸팟퐁커리 응축한듯한 커리파스타도 핵존맛 ..!!!! 무엇보다 분위기가 너어무우 좋은데 맛까지 미쳐버려서 술이 술술 들어감. 골목 안 숨어있어서 더 소중한 금호동 맛집 강추!!!"
7.31.목,"분위기에 녹고, 맛있는 음식에 취하고♡ᜊ♡ 너무 힙하고 루즈한 가게 분위기와 정반대로 저희는 고추장찌개와 우삼겹 숙주볶음, 즉석밥을 게 눈 감추듯 먹어 버렸어요. 가게 분위기처럼 힙하고 이쁜 사장님 음식 솜씨도 일품이네요! 하이볼도 너무 향도 좋고 맛있었어요! 앞으로 더욱 흥하시길💖"
8.24.일,"동네탐방으로 갔는데 분위기가 너무 힙하고 좋네요. 친절한 사장님+ 음식 간도 딱 좋고, 흔치 않은 헨드릭스 진토닉도 있어요. 다음번에 또 오겠습니다"
8.5.화,지나가다 유독 분위기가 너무 좋아서 들어갔는데  안주도 완전 이모카세집처럼 맛있어서 놀랐어요  밥안먹고 가서 조금 걱정했는데  완전 맛있게 배도 채우고 분위기도 좋아서 이야기도 많이했어요 데이트로 강추 👍
8.11.월,금남시장 안주 맛집입니다! 퓨전안주 좋아하시면 방문해보세요 개인적으로 태국식커리파스타 추천해요🙌 푸팟퐁커리 좋아하시면 무조건 좋아하실겁니다!! 너무 맛있게 잘 먹었어요😋
7.29.화,"금호에서 느끼는 이태원 - 한남 바이브, 느좋 다이닝의 정석!! 분위기 좋아서 더 맛있게 먹고 왔어요 ~~"
