date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""읽을만한 책이 많아요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
8.15.금,뚝섬역 근처 분위기 좋은 카페 소울브레드 완전 추천이요😋💜 한적한 골목길에 주택 개조한 느낌으로 아늑한 인테리어여서 조용하니 좋아요!!🤩 커피랑 두툼한 초코쿠키로 당충전도 완전 가능합니당🥺
8.23.토,"파블로바 너무맛있어서 5뷴만에 클리어했어요,, 머랭도 크림도 짱맛ㅠㅠ 너무맛있고 같이시킨 진저라떼도 맛있어요!! 생강차좋아하시는분들이면 좋아항거갘아요ㅎㅎ 따뜻한걸로 더 추천해주셔서 덥지만먹었는데 맛있더라구요! 파블로바먹으러 자주올것같아여! 찐추천입니당!"
10.16.목,파블로바랑 쿠키 맛집이에요!!! 선물하기도 너무 좋습니닿ㅎㅎ 일행이 커피도 맛잇대요
9.16.화,회사 직원들에게 주려고 주기적으로 구매하고 있는데 제가 더 좋아합니다. 달콤하고 고소하고 너무 맛있어요. 받은 곳에서 어쩜 이리 맛있는 쿠키를 보냈냐고 고맙다는 인사 많이 받았습니다. 이번에도 잘 먹겠습니다!
