date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
7.7.월,"요즘 김밥들은 큰 게 많은데, 여기 딱 일반김밥! 일반김밥 먹고 싶은분들 꼭 가세요~ 그리고 저는 라볶이 시켰는데, 떡이 더 먹고싶어서 다음엔 떡볶이 먹으려구용 매콤하고 맛있어요!!! 냉면도 맛있구.. 메뉴 하나씩 도장깨기 하고 싶어요👍🏻"
9.19.금,연남동 김밥집으로는 최고입니다. 엄마들 사이 호평을 받아 10년 이상된 곳으로 칼칼한 국수와 김밥 함께 먹으면 가을 점심으로 딱 좋아요.
3.28.금,"오빠랑 연남동 데이트하다 급 배고파서 방문한곳! 작은평수였지만 회전율이 빨랐고 포장하시는 분들도 많았어요! 근데 여기김밥 뭐지,,,진짜 개 맛있어요 제가 김밥러버라 한국 지역별 놀로가면 정통시장 김밥 꼭먹는데 이게 다 제꼇어요!!! 집갈때 5줄 더 포장해갔어요 ㅎㅎㅎ(일반김밥존맛)"
6.13.금,동네 맘에드는 밥집이 있다는건 행복이야! ❣️
3.28.금,"사장님도 직원분들도 모두 친절하고, 가격도 부담 없어서 좋았습니다. 라면 꼬들하게 부탁드렸는데 딱 맞게 맛있었어요. 밑반찬 동그랑땡도 따뜻하게 나와서 맥주 한 잔이 생각나더라는…..(?) 조만간 또 가겠습니다"
5.13.화,"집밥같이 정겨운곳 혼밥, 직장인들의 가성비 맛집 👍🏻 잘 먹었습니당"
6.10.화,"진짜 황당스런 김밥집.. 혼밥도 그닥 환영안하는데 맛도없고, 불친절하고, 위생까지 더러운 삼박자를 가진 대박 김밥집.. 재방문 다신 안해요"
3.24.월,참치김밥 포장했는데 아주 맛났어요😍❤️ 참치도 가득 당근이 특히 맛나서 신기했어요 ㅎㅎ 덕분에 맛나게 먹었습니다!! 라면도 맛나보이던데 담에 두가지 먹으러 갈게용~~~🧚🏻‍♀️✨
1.8.수,1인당 5000원 이상 주문하셔야 홀 이용 가능합니다. 김밥 속이 가득해서 너무 맛있게 잘 먹었어요! 라볶이는 조금 매웠지만 맛있었고 라면도 맛있었어요!
4.18.금,계속 밥집들끼리 전화하면서 장사를 하시네요 밥집가면 이상하게 돈받아서 장사하시고 서로 짜고 계속 이상하게들 통화하면서 계속 장사를 하시고요 벌레가 계속 날아다니고 머리카락도나오고요
5.30.금,반응 남기기 방문일 5.30.금 2025년 5월 30일 금요일 1번째 방문 인증 수단 영수증
2.27.목,김밥과 떡볶이 같이 주문 맛있어요
3.19.수,소풍김밥은 가정집 밥 처럼 언제나 정겹고 좋아요~
24.10.11.금,"가끔 가는 소풍집.김밥하나만 사는데도 늘 정성껏 포장해주시고,맛있게 김밥을 말아주세요. 참 친절하시고 맛있는 연남동의 유일한 김밥맛집예요.오늘 산 홍시를 사장님드시라고 좀 드리고왔어요~"
9.9.화,반응 남기기 방문일 9.9.화 2025년 9월 9일 화요일 1번째 방문 인증 수단 영수증
24.12.4.수,연남동에 이런곳이 있는지몰랐어요
8.23.토,반응 남기기 방문일 8.23.토 2025년 8월 23일 토요일 25번째 방문 인증 수단 영수증
24.12.3.화,"항상 친절하시고 피망김밥, 뚝불 맛잇어요!"
24.11.23.토,저렴한 가격으로 연남동 주민을 배불리 먹여주시는 혜자식당
