date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""현지 맛에 가까워요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
7.6.일,집 근처 시원한 냉면집을 찾다가 처음 방문해 봅니다 셀프로 떠다먹는 육수가 너무도 뜨끈하고 맛있어서 몇번을 떠다먹었는지 모르겠내요 ㅎㅎ 기본냉면육수도 시원하고 야채도 아삭하니 조합이 좋고 특히나 면발이 진짜 예술이내요~~ 아침 해장으로 냉면은 당분간 이집만 갈겁니다
8.26.화,맛있어요 주차가 편합니다
8.19.화,냉면 먹고싶으면 여기서 드셔야해요 냉면 맛집!! 구성도 알참! 강추!
6.22.일,일요일 오픈한 식당이 없어서 우연히 찾아간 집입니다. 상왕십리 근처에 왔다가 매운!!!!비빔냉면이 먹고 싶다면 조심스럽게 제안해 봅니다. 헥헥거릴정도로 맛있게 맵습니다. 순대 반접시도 괜찮아요. (양파 자율리필이고 무우무침?이 맛있네요)  상왕십리역 반경 500m에 매운 비빔면이 먹고 싶다면 고려해보세요.
7.26.토,"최애 냉면집.. 간도 슴슴한게 너무 맛있어요 왕뉴 오래살았는데, 동네 주민들한테 이미 너무 유명한 맛집⭐️ 가격도 만원으로 가성비 괜춘하구 명태회 건더기도 완전 많이 들어있구, 면이 진짜 예술! 정말 너무 맛있어요.. 강추!! 혼밥하기에도 부담없고 좋아요ㅎㅎ  가끔 보면 순대에 소주 한잔 하구 계시는 아저씨들 보이던데, 저두 나중에 그렇게 먹어보려구요"
8.10.일,"현지 맛을 잘 살려 정갈하고 맛 좋게 나옵니다. 오이는 따로 빼달라고 했구요, 맛있게 잘 먹었습니다^^"
7.13.일,일단 면발이 너무 쫄깃한게 좋구여 온육수가 맛있어서 냉면나오기 전에 계속 마시게 됩니다 ㅎ 기본 냉면육수도 시원하니 좋고 고기와 야채도 있음 주말 아침 해장하기 딱 좋내요
5.7.수,"여기 냉면집 진짜 진짜 맛있어요 진짜 숨은 맛집이에요💚 냉면 먹고 싶을때 이곳만 가요 다른곳은 이곳처럼 가격, 맛 따라오는 곳이 없더라구요! 그리고 보쌈 반접시 구성 좋아요! 보쌈도 지방만 가득한 보쌈이 아니라 적절한 살코기로 된 보쌈이에요 진짜 방문해보세요! 추천!"
7.26.토,깔끔하게 잘나오네요~ 괜챦습니다
5.17.토,입구에 붙어있는 해장냉면 개시가 눈에 들어와서 신메뉴 시켜봤는데 와 대박 미나리향이 냉면이랑 이렇게 잘어울릴거라고는 상상도 못했네요 눈깜짝할새 냉면이 사라져버렸어요ㅠㅠ 매운소스를 따로주셔서 살짝넣어먹었더니 얼큰하니 왜 해장냉면으로 이름지었는지 알거같더라구요 당분간 해장냉면 먹으러 계속올듯해요
6.7.토,상왕십리 최고맛집이에요 굿굿 적당히 달콤 매콤한 맛입니다 항상 사람이 많은데는 이유가있어요
7.11.금,육수가 너무나도 단거같은 느낌이지만 잘먹었습니다~!
4.6.일,동네 맛집입니다. 메뉴 하나하나 맛있지만 명태 회냉면은 갑이에요~ 육수도 진국이고 보쌈과 순대 만두는 빼놓을 수 없는 메뉴에요~
2.26.수,"아이들도 너무나 좋아하는 최애 식당입니다. 일단 냉면은 정말 끝내주구요. 보쌈과 순대 반접시도 팔아서 항상 주문해서 먹는데 보쌈 전문점보다 맛납니다. 소고기 국밥 아이들이 너무나 좋아하구, 메뉴 하나하나 최고의 음식이에요. 셀프코너의 육수가 킥인 맛집입니다."
8.24.일,좀 무뚝뚝하신듯.. 질문드리기가 어렵네요;;
9.4.목,간간이 왔었는데 맛이 변한것 같아요 ㅠ 아쉽네요 이제 안올듯......
7.2.수,주차하기 편하고 음식도 맛있어요
8.19.화,반응 남기기 방문일 8.19.화 2025년 8월 19일 화요일 7번째 방문 인증 수단 영수증
3.22.토,냉면 먹고 싶어서 날 따수워지기를 기다렸어요 안매운 냉면인데 정말 맛있어요♡
8.2.토,반응 남기기 방문일 8.2.토 2025년 8월 2일 토요일 1번째 방문 인증 수단 영수증
7.6.일,반응 남기기 방문일 7.6.일 2025년 7월 6일 일요일 6번째 방문 인증 수단 영수증
24.12.16.월,"요약: 이것저것 다 먹어보고 싶다면 추천.  센트라스 상가 내 식당. 깔끔한 음식과 합리적 가격의 다양한 메뉴가 강점. 특히 매운명태회냉면(10000)은 정말 매워서 맵부심 금물 (혹은 도전해 볼만함). 여러 메뉴를 소분해 판매하는 것이 최대 장점이므로 여러명이 가서 냉면, 보쌈, 순대, 만두, 칼국수 등등 이것저것 시켜서 나눠먹으면 재미있을 듯."
7.3.목,반응 남기기 방문일 7.3.목 2025년 7월 3일 목요일 1번째 방문 인증 수단 영수증
3.27.목,일단 양이 보시는 크기로 작아요..여자라 그런지 토렴이든 밥을 안에 넣었다고 하는데 적게 담아준건지 아니면 면아닌 밥 메뉴를 고르긴 했는데요 이문 남기려 양을 줄인건진 모르겠지만 어린이 메뉴는 아니에요. 고기 잡내가 난다거나 슴슴한게 아니라 짭짤하니 간이 되어 있어요. 아래 당면 말곤 밥이 적다고 하니 밥 추가주문을 하라고 합니다. 들어가면 여직원분이 키오스크에 서서 키오스크로 주문하라고 하고요 주문하면 알아서 반찬 담아 먹으라고 작은 종지 그릇에 담게 합니다. 먹고 난 사람들 자리 치우는거만 하는거 같은데요 차라리 로봇이 더 잘하고 맘 상하게 할 일은 없을거 같아요. 주문.. 하면 키오스크 아주 작은 그릇 쪽 가리키니 무인매장 운영과 다를바없죠. 오랜만에 본 친절하지 않은 매장과 직원분이었어요. ㅠ ㅠ
8.16.토,반응 남기기 방문일 8.16.토 2025년 8월 16일 토요일 1번째 방문 인증 수단 영수증
5.20.화,회냉면 최고예요! 무조건 드세요. 추천추천👍
5.7.수,반응 남기기 방문일 5.7.수 2025년 5월 7일 수요일 9번째 방문 인증 수단 영수증
4.23.수,반응 남기기 방문일 4.23.수 2025년 4월 23일 수요일 4번째 방문 인증 수단 영수증
1.26.일,맛있어요 뭘 시켜도 실패하는 메뉴 없음ㅎㅎ 냉면 맛집이에요~~~양도 그득그득~~~~
1.10.금,알고니 너무 신선하고 칼칼하고 맛있어요 보쌈도진짜미쳤네용 추운날에 맛집잘온것같아요♡
2.28.금,반응 남기기 방문일 2.28.금 2025년 2월 28일 금요일 5번째 방문 인증 수단 영수증
2.19.수,반응 남기기 방문일 2.19.수 2025년 2월 19일 수요일 8번째 방문 인증 수단 영수증
