date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""주문제작을 잘해줘요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
9.11.목,"하루의 끝, 달콤한 초콜릿으로 행복한 마무리 🍦👍🏻🍫👏🏻"
5.30.금,"와! 멀리 온 보람이 있어요. 요즘 한창 초콜렛에 관심을 갖게 되어 찾아 온 곳인데요. 사장님께서 초콜렛에 대한 열정이 대단한 분이셨어요 ㅋㅋㅋ 많이 연구하고 노력하신 게 맛에서도 느껴졌습니다 ㅠㅠ 특히 봉봉이 이렇게 맛있는 것인지 처음 알았어요!! 완전 강추입니다 꼭 드셔보세요~ 선물 포장하기도 너무 좋아서, 나중에 중요한 날 있을 때는 선물 포장을 위해 들리려고 해요. 🩷"
7.10.목,쇼콜라쏭즈 초콜릿 넘 맛있구요~ 선물하기에도 좋아요~ 이번에 나온 아이스크림도 넘 맛있게 잘 먹었습니다❤️
6.21.토,여자친구가 봉봉쇼콜라 초콜렛을 좋아해서. 성수까지 가서 사와서 같이 먹어 봤는데 정말 제 상상을 뛰어 넘는 맛 이였어요.  맛있게 먹는 사용법을 문자로 친절히 안내 받았고 메뉴판? 설명서를 같이 보면서 초콜릿을 먹어봤는데 정말 제가 미친 미각을 가지고 있는것처럼 설명서 그대로 그 맛 이 또렷하게 느껴져서 너무 행복하고 재밌었어요. 정말 최고에요. 처음으로 진심을 다해서 리뷰 써보네요.
8.27.수,"선물로 줄 초콜릿을 샀는데, 포장도 잘해주시고 퀄리티도 좋았습니다.  직원분이 친절하셔서 편했어요."
3.21.금,너무 독특하고 맛있어요 수제라서 정말 고급스럽네요 재료도 정말 신선하고 좋아요
2.14.금,"솔직히 다양한 맛의 초콜릿이라 모든맛이 다 맛이있을까 싶었는데, 기대를 크게 하지 않은게 죄송할정도로 모든 맛이 정말 맛있었습니다. 남자친구와 함께 무슨맛인지 맞춰보면서 먹는것도 너무 재밌었었어요! 다음에 특별한날 또 찾게 될 것 같습니다 ◡̈"
