date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
2.8.토,용답시장 변두리에 위치한 노포 중국집.. 여기 양이 진짜 엄청납니다🙄 맛은 전체적으로 간이덜한 옛날 중국집 맛 특히 여기 소스에 볶아서 나온 탕수육이 진짜 맛있더라구요 ㅎㅎ 담엔 고기튀김 한번 먹으러 와야겠습니다😘 아 볶음짬뽕 처럼 나온 사천짜장도 맛있어요!
5.1.목,반응 남기기 방문일 5.1.목 2025년 5월 1일 목요일 1번째 방문 인증 수단 영수증
24.11.13.수,난자완스 처음 먹어봤는데 간도 쎄지않고 심심허니 맛있습니다 유미짜장도 👍
1.22.수,"느낌 상 날씨가 쌀쌀해져야 문을 여는 집. 양 많고, 서비스 많이 주시고. 저녁에 친한 동료들과 한 잔하기 좋음. 친하지 않은 사람과의 방문은 비추. 자리가 협소해서 맔은 인원이 가기는 어려움."
4.26.토,반응 남기기 방문일 4.26.토 2025년 4월 26일 토요일 1번째 방문 인증 수단 영수증
4.10.목,바로 들어갔으나 오래 기다려서 음식나왔어요 음식은 아주 맛있어요
24.11.12.화,반응 남기기 방문일 24.11.12.화 2024년 11월 12일 화요일 1번째 방문 인증 수단 영수증
24.10.24.목,반응 남기기 방문일 24.10.24.목 2024년 10월 24일 목요일 1번째 방문 인증 수단 영수증
24.2.22.목,옛날 스타일 중식집이에요 탕수육은 맛이 특이하게 맛있었어요 간짜장 맛나기도 하지만 불맛인지 탄맛인지 애매해서 아쉬웠어요
24.11.12.화,반응 남기기 방문일 24.11.12.화 2024년 11월 12일 화요일 2번째 방문 인증 수단 영수증
23.12.29.금,반응 남기기 방문일 23.12.29.금 2023년 12월 29일 금요일 5번째 방문 인증 수단 영수증
23.10.24.화,그냥 평범한 맛~~짬뽕은 매콤합니다
23.11.28.화,반응 남기기 방문일 23.11.28.화 2023년 11월 28일 화요일 3번째 방문 인증 수단 영수증
23.2.18.토,지나가다가 포스가 느껴져서 방문 했는데 역시 만족 스럽네요!! 자장면이 너무 달지 않고 다른 중국집 보다 자장에 춘장 맛이 더 느껴져서 개인적으로 좋았습니다. 다른 요리도 궁금 해서 방문하려 합니다.
23.3.30.목,깐풍기가 소스가 걸쭉해서 특이했어요~ 개인적으로 요리보다는 식사가 저는 맛있는것 같아요!
23.5.5.금,반응 남기기 방문일 23.5.5.금 2023년 5월 5일 금요일 2번째 방문 인증 수단 영수증
23.3.4.토,그냥 아주 말이 필요가 없는 중화식당
23.2.17.금,엄청난 양의 음식 깔끔하고 맛난 음식 저렴한 음식. 이 집 꼭 가볼만 한 집.
23.2.23.목,동네 중국집 분위기 맛은 평범 건간한맛이네요
23.3.2.목,자주 가는 짜장면집~ 모든 메뉴가 맛좋고 양도 푸짐하고 좋아요.
23.5.5.금,반응 남기기 방문일 23.5.5.금 2023년 5월 5일 금요일 3번째 방문 인증 수단 영수증
23.2.8.수,절대 실망하지 않는 애정하는 중국집~ 다 맛있어요.
23.1.16.월,시장통 속에 숨어있는 나만 알고 싶은 맛집
23.4.18.화,반응 남기기 방문일 23.4.18.화 2023년 4월 18일 화요일 4번째 방문 인증 수단 영수증
22.12.20.화,아이들이랑 맛있게 잘 먹었어요
22.12.7.수,양이 진짜 많아여~
22.10.19.수,볶음밥을 먹었는데 가격도 싼편인데 양이 곱배기보다 많은것 같아요~^^
23.3.2.목,반응 남기기 방문일 23.3.2.목 2023년 3월 2일 목요일 3번째 방문 인증 수단 영수증
23.3.2.목,반응 남기기 방문일 23.3.2.목 2023년 3월 2일 목요일 1번째 방문 인증 수단 결제내역
22.11.9.수,반응 남기기 방문일 22.11.9.수 2022년 11월 9일 수요일 3번째 방문 인증 수단 영수증
22.12.10.토,반응 남기기 방문일 22.12.10.토 2022년 12월 10일 토요일 3번째 방문 인증 수단 영수증
