date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
10.5.일,올해엔 수미떡 예약 성공했네요 ㅎㅎ 손송편이라 그런지 다른 떡집보다 훨씬 맛있네요 명인되셨다는데 너무 축하드립니다!!
10.5.일,추석 연휴에도 열려있어서 좋았어요 송편 주문했는데 안에 깨가 꽉 차 있어서 좋았어요 식감도 좋고 직접 오셔서 먹어보셨으면 좋겠어요
10.5.일,수미 떡 진짜 맛있어요 ㅎㅎㅎ 매년 명절 때마다 주문해서 먹는데 너무 맛있어요🫶 명인 되고 나서 더 주문하기 어렵네요ㅠㅠㅠ! 그래도 맛있어서 또 재주문재주문 반복 중입니다👍
5.8.목,예전에 기장떡 사서 먹어보구 너무 맛있어서 주문해서 받았어요 여기떡은 맛없는게 하나도 없어요 진짜 완전 짱이예요
3.20.목,대추설기 개존맛....🥹🥹 맛이야 말할것도 없구 사장님 늘 친절하셔서 사장님 뵈러 방문하는것 같아여🥺😍 부디 건강히 오래오래 장사해주세여 히히♥︎
3.20.목,우연히 지나가다가 수미떡 들렸습니다~~ 재료들도 국내산으로 사용하신대요 다음에 또 방문예정입니다^^ 대추설기 맛있어용
3.20.목,금호동에 이런 떡 맛집이 있는지 몰랐어요 제가 진짜 떡순이인데.. 도랏 완전 쫀득쫀득해요🤩  다음번엔 미리 주문해서 선물용으로 드리려구요 수미 사장님 번창하세요😍✨
24.5.28.화,반응 남기기 방문일 24.5.28.화 2024년 5월 28일 화요일 1번째 방문 인증 수단 영수증
24.5.10.금,작년에 개업 떡도 여기서 했어요~~~ 떡먹고 싶을때마다 방문하는곳인데 이번에도 콩떡 주문했는데 사진을..ㅜㅜ 못찍어서아쉽 진짜맛있는데.. 사진속에 있는떡은 수미떡집 시그니처!! 대추 백설기 그옆에꺼는 안에앙금이랑유자?가있더라구요~~!! 여러떡종류들을먹어봤지만 진심 대추백설기👍👍👍 조만간...또맞출듯합니다🤣🤣🤣 너무맛있어용~~
23.12.8.금,반응 남기기 방문일 23.12.8.금 2023년 12월 8일 금요일 1번째 방문 인증 수단 영수증
22.6.19.일,반응 남기기 방문일 22.6.19.일 2022년 6월 19일 일요일 1번째 방문 인증 수단 영수증
21.11.4.목,반응 남기기 방문일 21.11.4.목 2021년 11월 4일 목요일 1번째 방문 인증 수단 영수증
21.6.17.목,반응 남기기 방문일 21.6.17.목 2021년 6월 17일 목요일 1번째 방문 인증 수단 영수증
21.2.11.목,반응 남기기 방문일 21.2.11.목 2021년 2월 11일 목요일 1번째 방문 인증 수단 영수증
