date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""룸이 잘 되어있어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
9.20.토,모듬회랑 생새우 시켰어요! 새우 처음에 너무 살아있는 아이들을 주셔서 당황했는데 저희 오도방정 떠는거 보시고 직접 손질해주시고 모리는 버터에 튀겨주심...ㅎ👍🏻 기본으로 튀김이랑샐러드랑 무침이랑 김치전 주시는데 다 맛있어요 한가지 안좋았던 점은 창가자리에 창문 개방된 채로 앉았는데 매장바로 앞이 담배터 였는지 담배냄새가 너무너무너무 계속나서 좀 힘들었어요 음식이랑 서비스는 다 만족이요 ㅎ
9.7.일,예약때 살짝 시간이 밀렸지만 회가 너무 맛있고 사이드로 나오는 음식들도 넘 맛있었어요 다음번에도 다시 방문하려고 합니다~~
10.18.토,진짜 너무 맛있어요 ㅠㅠㅠ 직원분들도 친절하시구 서비스도 많이 주시더라구요!!! 오늘 생일인데 덕분에 좋은 추억 남기고 갑니다!!!!!!
