date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""룸이 잘 되어있어요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
7.26.토,맛있게 잘 먹었어요. 분위기도 좋고 다음에는 친구들 다 모여서 프라이빗 룸에서 하이볼 무제한으로 먹어보고 싶어요. ㅎㅎ 가격 대비 가성비 좋은데 이런 이야기를 하기에는 분위기가 너무 좋아서 데이트 코스로도 솔직히 정말 좋을 것 같아요! ♥
6.28.토,"분위기가 대화하기에 참 좋았습니다✨ 주문한 음식들도 뭐 하나 빠짐없이 다 맛있었고요~ 다만, 음식들이 전체적으로 늦게 나오는 편이었어서 그게 살짝 아쉬웠을뿐..🥲"
7.5.토,친구들이랑 2차로 방문했어요! 배부를 때 안주랑 배고플 때 안주가 나뉘어있어 고르기 쉽고 하이볼 종류가 많아서 1차로도 2차로도 좋을 것 같습니당 :)
6.27.금,분위기가 너무좋아용 데이트하기도좋고 대화하기도 좋습니다☺️ 안주들도 다맛있어요!
6.6.금,"분위기 너무 좋고 맛있어서 두번째 방문이에요!! 하이볼 종류가 많고 안주도 맛있어여🥹🥹 기본안주로 주시는 프레첼 과자 짱맛있어요,,🫢 웰컴 드링크도 맛있었어요! 또 올게여<~~"
5.17.토,수컷웅 하이볼 왕십리 육회랑 하이볼 맛집>_< 분위기도 좋아서 데이트 소개팅하기에도 딱이구 음식도 하이볼도 너무 맛있어용 육회랑 같이 나온 김부각 조화 최고입니당
8.8.금,마싯고 직원분이 친절해용!!
5.7.수,분위기 너무 좋고 맛도 기가 막힙니다! 분위기 즐기고 하이볼 종류도 많아서 너무 좋습니다
7.22.화,두번째 방뭌입키당 넘 맛있어요ㅠㅠ
7.19.토,좋은 분위기에서 잘 먹었습니다!
7.11.금,연인끼리 데이트하고 조용히 얘기하기 너무 좋은거 같아요 분위기도 좋구
6.28.토,분위기도 너무 좋고 안주들도 맛있어서 친구들과 좋은 추억들 쌓았어요 무엇보다 시끄럽지 않아서 대화하기도 너무 좋았던거 같아요 강추합니다!!
6.6.금,여자친구 픽으로 같이 방문했는데 하이볼 맛 괜찮네요 다음에도 방문할게요~
6.18.수,너무 맛있어여!!! 술도 다양하고 분위기가 너무 젛아요 다음에 또 오겠습니다 ㅎㅎ
5.9.금,반응 남기기 방문일 5.9.금 2025년 5월 9일 금요일 1번째 방문 인증 수단 예약
2.1.토,우연히 근처 삼겹살 집을 왔다가 2차로 발견한 집입니다..! 제 이름에도 수컷 웅이 들어가서 바로 방문했는데 너무 안주 퀄리티도 좋고 하이볼도 너무 맛있어서 선배분들과 즐거운 시간 보내고 갑니다! 다음에도 지인들과 방문하고 싶어요!!
5.31.토,주변에 하이볼 파는데 찾아서 왔는데 맛있게 잘먹었어요 분위기도 좋고 좋아요
3.31.월,웰컴드링크부터 음식까지 거를 타선이 하나 없네요 너무 잘 먹고 마시고 갑니다
3.19.수,분위기가 정말 좋구요 웰컴 드링크가 맛있어요 하이볼도 맛있어요 직원분두 친절하셔서 기분이 좋아요 왕십리에서 하이볼 먹으면 여기로 올 것 같아요 !! :) 추천합니다
1.14.화,"분위기 좋고 조용한 왕십리맛집 왕십리술짐 ‘수컷웅 하이볼바’ 하이볼 좋아하시는 분들이나, 왕십리 인근에 감성있고 분위기 좋은 술집 찾으시는 분들은 꼭 여기 한번 방문해보세요! 하이볼은 물론이고, 안주들도 하나같이 다 맛있고 가글, 인공눈물, 충전 등등 서비스까지 좋은 센스있는 술집이었어요👍 왕십리 소개팅 장소로도 좋을 것 같아요!"
6.30.월,"분위기도 좋고 음식, 하이볼 너무 맛있습니다! 다음에도 오고싶네여"
6.12.목,"첫 방문이었고, 분위기가 괜찮다는 평을 보고 기대하며 갔습니다. 하지만 안주 구성과 응대 모두 실망이네요 바지락술찜을 시키려 했지만 재료소진이라 하셔서 대체로 제안받은 메론 푸로슈토를 주문했는데, 얇은 메론 2조각과 햄 몇 점, 방울토마토 두알이 전부였습니다. (두조각은 먹은사진) 정말 이게 안주 맞나 싶을 정도로 구성이 부실했고, 가성비는 물론 정성도 느껴지지 않아 당황스러웠습니다. 더 당혹스러웠던 건, 집에 와서 다른 분들 후기 사진을 보니 같은 메뉴임에도 구성이 완전 다르더라구요. 누구는 메론 여러 조각에 치즈 듬뿍, 예쁘게 플레이팅된 접시를 받았고, 저는 정말 비교할 수 없을 만큼 성의 없는 접시를 받았습니다. 메뉴의 일관성이 없고, 손님에 따라 퀄리티가 달라진다는 점에서 재방문 의사는 없습니다"
2.15.토,"친한 동생들과 모여서 식사 후~~ 2차로 카페 갈지 술집 갈지 정하다가...! 술집으로 모였네요. 주류도 다양하고, 술 안 마시는 친구가 있는데~~ 에이드 있어서 논알콜 음료 주문도 했네요^^ 이갸기 잘 나누었네요"
6.18.수,분위기 너무 좋고 노래도 좋고 예뻐요😻😻
6.20.금,분위기 좋고 이야기 나누기 좋은 하이볼집이에요~
7.17.목,반응 남기기 방문일 7.17.목 2025년 7월 17일 목요일 1번째 방문 인증 수단 영수증
5.2.금,분워기도 좋고 조용해서 좋아요~~
4.1.화,홍게장 오일 파스타 삼겹살 맛있어요! 얼그레이 하이볼도 달달하니 좋습니다
3.21.금,분위기가 정말 좋고 맛있어요😊
1.17.금,분위기 완전 좋은 하이볼 바 소개팅 장소로 추천하고요 너무 시끄럽지 않아서 친구랑 얘기하기 좋아여 파스타도 맛있고 하이볼도 은근 취하먕서 맛있어요
5.23.금,반응 남기기 방문일 5.23.금 2025년 5월 23일 금요일 1번째 방문 인증 수단 영수증
3.27.목,안주도 가성비좋고 맛있어용~!😊💕 하이볼도 종류많아서 안주랑 같이 먹기 좋아요 마늘볶음밥이 진짜 맛잇네요
3.21.금,다음에 또올게요 🙋‍♂️🧡
2.8.토,웰컴드링크도 인원수대로 주셨는데 달달하니 맛있었어요 게장오일파스타는 매콤하니 매력적.. 하이볼 바답게 하이볼 맛집입니당
6.6.금,파스타 너무 맛있었어요~
1.25.토,분위기도 조용하고 안주와 하이볼이 맛있어요! 아이스크림 너무 특이한데 맛있어서 깜놀했네요 친구들과 와서 대화하기 좋아요
3.27.목,웰컴드링크도 주시고 분위기 넘 좋아서 데이트하기 좋았던 곳
24.11.20.수,아마도 4번째 방문입니다✅️ 아주 오랜만에 와서 안먹어본 오븐삼겹플레이트 시켰는데 대성공이었어요.삽겹에 부추랑 백김치 조합 너무 좋네요=) 다만 바지락술찜은 (소금을 평소랑 다르게 넣으신건지까진 제가 알 수 없지만) 삼삼하게 먹는 편인데도 국물이 싱거워 소금을 요청드렸고 친절하게 가져다 주셨습니다ㅎㅎ 앗 그리고 위스키하이볼은 많이 마셔봐서 양귀비하이볼 먹어보고 싶었는데 솔드아웃이더라고요ㅠㅠ 7시반 방문이었는데 안주/주류 품절표시가 꽤 있어서 그 점이 살짝 슬펐어요. 다음에 오면 꼭 양귀비하이볼 마셔보고 싶어요~🌺
3.22.토,이벤트 종목도 다른 업종보다 다양하고 무엇보다 왕십리에서 데이트 하기 제일 좋은 장소입니다! 작년 여름에 방문 후 다시 방문했습니다. 데이트 할분들은 무조건 오십쇼🔥
24.10.5.토,분위기가 너무 좋아서 남자친구랑 데이트하는 기분 제대로 났어요!!!! 노래도 잔잔해서 대화하기도 넘 좋더라구요 소개팅으로 딱일것 같습니다. 메뉴도 다양하고 맛있구요! 왕십리에서 제일 분위기 좋은 술집이 아닐까 싶습니다. 또 갈게요!
24.12.31.화,딸내미랑 연말 분위기 제대로 내려고 예약했는데 너무 좋네요~분위기 좋구 음식 맛있구 분위기 짱짱짱~^^ 덕분에 딸이랑 좋은 시간 보냈습니다
24.12.19.목,왕십리에서 데이트나 소개팅하기 좋아요 분위기도 좋고 조명과 음악도 좋습니다 가격대는 좀 있지만 음식들도 맛있습니다👍🏻
1.22.수,분위기도 좋고 나오는 음악도 조아요 사장님도 생일이라고 아이스크림 주시고 친절하십니다 ㅠㅠ 또 올게요 육회가 레알 맛도리!!! 꼭 드세요 살살 녹아요 아 그리고 기본안주 존맛
1.24.금,지인이 가보고 추천해서 오게 된 수컷웅! 하이볼도 다양하고 맛있고 바닐라 뭐시기도 꿀맛이었어여 🍯 웨이팅이 있을 수 있는 맛집이니 잘 맞춰서 오세용ㅎㅎ
