date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
1.24.금,반응 남기기 방문일 1.24.금 2025년 1월 24일 금요일 4번째 방문 인증 수단 영수증
1.9.목,반응 남기기 방문일 1.9.목 2025년 1월 9일 목요일 3번째 방문 인증 수단 영수증
24.10.19.토,반응 남기기 방문일 24.10.19.토 2024년 10월 19일 토요일 1번째 방문 인증 수단 영수증
24.12.25.수,반응 남기기 방문일 24.12.25.수 2024년 12월 25일 수요일 2번째 방문 인증 수단 영수증
24.6.17.월,이전에 비해 반찬도 줄고 재료도 줄고...
24.10.7.월,반응 남기기 방문일 24.10.7.월 2024년 10월 7일 월요일 1번째 방문 인증 수단 영수증
24.11.4.월,반응 남기기 방문일 24.11.4.월 2024년 11월 4일 월요일 15번째 방문 인증 수단 영수증
24.3.13.수,친절한 사장님과 요리들 정말 맛있어요. 강추!!
24.9.4.수,반응 남기기 방문일 24.9.4.수 2024년 9월 4일 수요일 14번째 방문 인증 수단 영수증
23.10.20.금,몸이 으실할 때 생대구탕 최고!
24.6.11.화,반응 남기기 방문일 24.6.11.화 2024년 6월 11일 화요일 13번째 방문 인증 수단 영수증
24.6.4.화,반응 남기기 방문일 24.6.4.화 2024년 6월 4일 화요일 12번째 방문 인증 수단 영수증
24.5.16.목,반응 남기기 방문일 24.5.16.목 2024년 5월 16일 목요일 11번째 방문 인증 수단 영수증
24.5.14.화,반응 남기기 방문일 24.5.14.화 2024년 5월 14일 화요일 10번째 방문 인증 수단 영수증
24.4.22.월,반응 남기기 방문일 24.4.22.월 2024년 4월 22일 월요일 9번째 방문 인증 수단 영수증
24.4.12.금,반응 남기기 방문일 24.4.12.금 2024년 4월 12일 금요일 8번째 방문 인증 수단 영수증
24.4.8.월,반응 남기기 방문일 24.4.8.월 2024년 4월 8일 월요일 7번째 방문 인증 수단 영수증
23.12.7.목,반응 남기기 방문일 23.12.7.목 2023년 12월 7일 목요일 1번째 방문 인증 수단 영수증
24.3.11.월,반응 남기기 방문일 24.3.11.월 2024년 3월 11일 월요일 6번째 방문 인증 수단 영수증
23.10.25.수,반응 남기기 방문일 23.10.25.수 2023년 10월 25일 수요일 1번째 방문 인증 수단 영수증
23.10.4.수,반응 남기기 방문일 23.10.4.수 2023년 10월 4일 수요일 1번째 방문 인증 수단 영수증
