date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""환기가 잘 돼요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""샐러드바가 잘 되어있어요""","""샐러드바가 잘 되어있어요"""
9.29.월,아주 그냥 통통부들 생삼겹 그 자체 오랜만에 이런 삼겹 먹어요 로컬 맛집인듯 들어오는 손님마다 다 인사하심 반찬이 존맛인데 그 중 동치미 볶은게 대존맛 이게 진짜 이 집 킥임 담에 또 갈게요 예약했는데 늦어서 죄송해요ㅜㅜ 반갑게 맞이해주셔서 감사합니다 넘 맛있었어요 다음 회식도 여기로.
10.12.일,삼겹살 맛집 찾다가 제가 딱 원하는 느낌이라 방문했는데 !!! 진짜에요 .. 너무 맛있어요 ㅎㅎ 무생채도 특별하고 고기랑 밑반찬들이랑 사이드메뉴까지 맛있어요 그리고 사장님이 정말 정말 친절하세요 ㅋㅋㅋㅋㅎㅎ 잘먹었습니다 또 올게요 !!
