date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
5.28.수,술래잡기 0술집 의정부 맛집 굿~~~~
7.14.월,분위기좋고 맛도 좋고 직원분도 친절하십니다 매일 와서 먹어도 좋을것같아요 잘 먹겠습니다^^
6.21.토,반응 남기기 방문일 6.21.토 2025년 6월 21일 토요일 1번째 방문 인증 수단 영수증
24.8.2.금,삼합 맛있게 잘 먹었어요. 홍어가 지대로네요~^^(전 잘 못먹어요 ㅋㅋㅋ) 쌈배주가 싸먹기 좋은 싸이즈라 좋았어요. 먹으면서 계속 배추가 귀엽다고😂😂 기본안주로 배추전이 나오는데 맛있어요👍
24.11.23.토,보쌈맛집인대 오늘은 치킨에 오뎅탕 먹네요 쏘주를 부르는 맛집입니다^^
24.5.1.수,보쌈 맛집 찾다가 술래잡기 방문했어요 오래된듯 매장 분위기탓에 기대감은 더욱 높아집니다ㅋ 메뉴를 대충 쓰윽 봐준다음 보쌈을 시켰어요 생각보다 빨리 나온 보쌈^^ 일단 비주얼 좋아요 기본찬들도 하나같이 다 맛있어요 특히 저 깻잎장아찌 바로 담가 주신거라 넘 신선해요^^ 묵은지에 알배추에 깻잎에 싸서 먹으면 다양하게 즐길수있어요! 순두부수제비도 추가했어요~ 양 무슨일... 배터져도 이상하지않을정도로ㅋㅋ 맛있어서 남김없이 다먹었습니다 우리 동네에 있으면 자주갈듯!
24.8.9.금,둘이서 먹는 욕심이 과했어요 결국 포장 ㅋ~~
24.7.27.토,보쌈이랑 김치 수제비 강추합니다♥️♥️
24.7.17.수,단골 예약이요!! 나만 알규 싶은 술집이에요..😻 배추전 기본안주로 나오는데 너무 맛있어요 ! 겨울엔 굴보쌈 꼭 먹고 싶네용 ㅎㅎㅎ
24.7.17.수,골뱅이 무침 매콤새콤 너무 맛있어요 분위기도 조쿠요 기본으로 나오는 배추전 바사바삭.샐 러드 굿입니다 모임 하기 쪼아요
24.4.11.목,비주얼 만큼 양도 많고 맛있어요
24.6.15.토,김치수제비 최애 맛집이에요 일주일에 한번씩은 생각나서 오게되요  #의정부#포차#민락동
24.7.30.화,항상 맛있고 친절해요
24.3.2.토,"기본안주~ 사라다, 배추전^^ 오늘은 라볶이, 치킨을 시켰어요 🍜 🍗 가볍게 데이트하러 왔는데 참 좋네요 ^^ 또 올께요 🤗"
24.4.6.토,자주 들르는 곳입니다 항상 맛있고 푸짐하게 먹고 가요 삼합 좋아하시면 꼭 방문하세요
24.2.26.월,소개로 처음 왔는데 맛나네요 이것저것 골라 먹기도 좋고 추천해준 친구한테 감솨 ㅋㅋ
24.5.11.토,남편이 여기오고 싶어해서 지나다니다가 보기만했는데 막상오니 맛있고 친절하고 너무 좋아요 메뉴가 여러가지있고 기본안주로 배추전이 나오는데 넘맛있어요♡♡♡ 담에 또올게요
24.1.29.월,"인터넷에서 보고 다음에 가서 골뱅이쫄면 먹어야겠다고 하고 방문했는데, 2명이서 먹어도 배가 엄청부르네요... 역시 의정부민락동맛집 ㅠㅠㅠ 보쌈, 오뎅탕, 홍가리비구이, 들깨수제비 등등 진짜 하나도 빠짐없이 다 맛있는 곳..🫶🫶🩷"
24.2.15.목,반응 남기기 방문일 24.2.15.목 2024년 2월 15일 목요일 2번째 방문 인증 수단 영수증
24.3.1.금,맛있어요 추천해요 보쌈 좋아요
24.6.15.토,반응 남기기 방문일 24.6.15.토 2024년 6월 15일 토요일 5번째 방문 인증 수단 영수증
24.1.18.목,동네분의 추천으로 아버지 모시고 왔는데 너무 맛있네요. 신선하고 간도 적당히 좋았습니다!  무엇보다도 음악소리가 안크고 잔잔하니 더욱 좋았습니다.
24.3.1.금,집 근처 술집이라 와봤는데 음식이 맛있네영 🤗  #의정부 #포차 #민락동 성공!
23.11.21.화,두번 다 굴보쌈먹으러 갔네용😋 넘넘 맛있구요~ 사장님 너무 친절해서 좋아요! 안주들도 푸짐하니 굳굳👍🏻👍🏻❤️
24.1.30.화,양도 많고 직원분들이 너무 친절해요!!! 굿 !!!
23.11.27.월,두번째 방문인데 오늘 더 맛있어요 !!! 같은 메뉴 먹었는데 다음엔 오뎅탕 먹어보려구용!! 두번째도 보쌈 굿 배추전 굿굿이요 사장님 직원분들 다 친절하셔서 더 좋아요 !
23.11.24.금,처음 방문했는데 대만족이에요!!! 너무너무 친절하시고 안주도 맛있고! 기본안주가 무려 배추전..♡ 보쌈 냄새 1도없고 굴대박 맛있음 두번세번 재방문각입니당
24.2.3.토,삼합 먹었어요. 아주 맜있네요. 지인에게 추천 하려고요 양이 많아요
24.2.1.목,"여기 정말정말 맛집이네요,, 의정부에 20년을 살았는데 이제서야 알았다니 ㅠㅠ 사진은 못 찍었지만 굴보쌈,,겨울에 무조건 꼭 한 번은 가세요"
23.12.26.화,맛집이에요~보쌈이 너무 맛있어요~^^ 배추전도 아삭아삭 진짜 맛있어요
23.11.11.토,넘나 맛있고 사장님 친절에 감동입니다 해산물 좋아하지 않는 저도 아주 만족스러워요 배추전도 어쩜그리 바싹한지 제가 좋아하는 사람들과 함께오고 싶은 곳이에요
24.3.31.일,음식이 맛있고 써비스도 좋아서 자주 이용하는데 여기에오면 보쌈을 꼭 먹어보세요 정말 맛있어요
24.1.20.토,안주 증말 맛나요
23.11.17.금,"오늘은 뜨끈한 어묵탕, 칼칼 시원한 맛, 커다란 양푼속에 다 시마 마른새우가 듬뿍 들어가 있어 국물이 정말 맛있네요"
23.11.2.목,너무 맛있어요^^ 자주올께요~~~♡
23.11.21.화,모든 음식이 제입에 맞아요 사장님 친절하시구요
23.10.26.목,굴보쌈이랑 후라이드 너무 맛있어요! 인테리어도 멋집니닿ㅎ
23.12.27.수,너무맛있어요^~양도 많고~~ 너무너무 잘먹엇습니다~~
23.11.8.수,써비스로 배추전 너무 맛있었구요 써빙하신 남자분이 너무 친절하시고 양도 많고 한동안 자주 갈거같아요
23.12.26.화,첫 방문인데 너무너무 맛있어요. 굴보쌈 맛집 인정입니다❤️❤️❤️
24.2.19.월,반응 남기기 방문일 24.2.19.월 2024년 2월 19일 월요일 2번째 방문 인증 수단 영수증
24.4.12.금,반응 남기기 방문일 24.4.12.금 2024년 4월 12일 금요일 1번째 방문 인증 수단 영수증
23.12.20.수,"음식이 다 너무맛있어요~ 최고최고! 사장님도 너무 친절하세요! 단골집할래요,,"
