date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
8.14.목,이럴수가... 사진도 안 찍고 먹어버렸다..  한여름 비싸서 못 먹었던 수박~ 그라니타로 대체!!  커피먹고 기운자리고 싶었지만 여름한정 못 먹고 지나갈까 봐 선택!!  정신이 번쩍 난다~~ 아이스크림 한스쿱 추가해도 별미☺️
7.31.목,카페인 수혈이 필요한 날~~ 단백한 비스코티와 함께~~  나를 위한 힐링타임!!  민생회복 소비쿠폰도 되고 느무 좋네~~^^
9.10.수,편안하게 커피 마시고 싶을 때~~~  생크림 케이크가 먹고 싶지만 다이어트 시작했으니 참자!!  이 시간 아아는 🐶꿀이다~~
7.26.토,날이 너무 더워서 시원한 음료 마시러 들렀어요. 아이들이랑 다같이 왔는데 오자마자 원샷이라 사진은 못 찍었네요.^^; 새로 나온 수박그라니타가 얼음사각거리고 수박100인데 엄청 달고 맛있었어요! 디저트야 뭐 믿고 먹구욬 바깥풍경이 초록초록해서 앉아있어도 답답하지 않고 좋아요.
6.19.목,레몬티라미슈 먹으러 달려왔는데 새콤달콤 무더운 여름에 딱!! 레몬까지 꾹꾹 짜서 먹으니 단맛은 살짝 눌러주며 싹싹 비움  아아와의 조합 강추~~!!!!🍋
8.10.일,여기 커피랑 디저트 진짜 너무 맛있어요!! 그리고 무엇보다 주인분이 너무 친절하세요~!!!! 이 동네 소중한 커피숍!!! 없어지지않고 오래오래 있었음 좋겠어요!!!!! 아이스라떼~~ 아이스 쵸코랑 케익 추천합니다!!
