date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""차가 맛있어요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""주문제작을 잘해줘요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
8.13.수,카페 처음 간곳인데 분위기 힙하고 무엇보다도 디저트랑 커피가 넘넘 맛있습니다 사장님두 친절하시구용 다음에 재방문 의사 있습니다 다음에 또 방문할게요😊😊💖
5.6.화,와플이 진짜진짜 대박 맛있어요.. 겉바속촉의 대명사..💞 아이스크림도 완전 꾸덕하고 엄청 달지도 않고 딱 좋은 맛 !! 가격대가 좀 있긴하지만 그만큼 엄청 맛있어서 만족스러웠어요 -! 딸기라떼도 지금까지 마셔본 것 중에 탑3 안에 드는 맛이고 밀크티도 말모말모 !! 사장님도 정말 친절하시고 날 좋을 때 바깥 구경하면서 시간 보내기 딱 좋은 공간이에요 🫧
3.15.토,이렇게 맛있는 치즈케익을 오늘 알았다니 늦은밤 심야카페는 맛없는 커피와 굳어버린 케익뿐이였는데.. 이제 이곳으로 오겠습니다 사장님도 넘 친절하셔요
