date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
10.13.월,"리뷰는 무조건 좋게 쓰는 편인데 직원분 응대가 최악이라 이런리뷰는 첨써봐요  계산할 때 인스타 이벤트가 있길래 작성하고 보여주려는데, 비공개 계정이면 안된다 하시더라구요?  그럼 해제하고 보여준다구 하니까,  원래부터 공개계정인 경우만 된다고, 사람들이 결제 끝나고 다시 비공개로 전환해서 안된다고 쳐다도 안보시고 말하는데  이유야 충분히 이해는 되는데 그렇다고 저희가 그렇게 한 건 아니잖아요?  직원 분 말투나 태도만 보면 저희가 이미 그렇게 한것처럼 쳐다도 안보시고 말하시는데 기분 나쁘더라구요  그럴거면 차라리 인스타 이벤트는 없애시는 게 나으실 거 같아요 초밥먹고 싶어서 나름 검색하고 첨 간건데 최악의 경험이였어요~  동네장사인데, 손님 대하시는 태도에 놀랬습니다.."
7.14.월,동천동에서 젤 맛있는 초밥집이에영ㅎㅎㅎ새우랑 육회 초밥이 특히 존맛입니당🥰 원하는 초밥 있으면 말씀드리면 바로 만들어주세용ㅎㅎㅎ
