date,content
"""신선해요""",이 키워드를 선택한 인원
"""과일이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가격이 합리적이에요""",이 키워드를 선택한 인원
"""상품이 다양해요""",이 키워드를 선택한 인원
"""제철 과일이 빨리 나와요""","""제철 과일이 빨리 나와요"""
"""매장이 청결해요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""원산지 표시가 명확해요""","""원산지 표시가 명확해요"""
"""주차하기 편해요""",이 키워드를 선택한 인원
10.20.월,반응 남기기 방문일 10.20.월 2025년 10월 20일 월요일 50번째 방문 인증 수단 영수증
10.17.금,샤인머스켓 구매합니다. 넘 달콤하고 맛있어요. 자주 구매하러와야겠어요
10.16.목,반응 남기기 방문일 10.16.목 2025년 10월 16일 목요일 9번째 방문 인증 수단 영수증
10.15.수,반응 남기기 방문일 10.15.수 2025년 10월 15일 수요일 8번째 방문 인증 수단 영수증
10.15.수,가격이 저렴하고 과일과채소가 신선해요
10.4.토,가격이 저렴하고 과일이 좋아요. 직원 분들도 친절해요.
10.3.금,반응 남기기 방문일 10.3.금 2025년 10월 3일 금요일 9번째 방문 인증 수단 영수증
9.30.화,반응 남기기 방문일 9.30.화 2025년 9월 30일 화요일 2번째 방문 인증 수단 영수증
9.30.화,달콤하고 신선해서 맛있어요
9.29.월,반응 남기기 방문일 9.29.월 2025년 9월 29일 월요일 1번째 방문 인증 수단 영수증
9.25.목,반응 남기기 방문일 9.25.목 2025년 9월 25일 목요일 1번째 방문 인증 수단 영수증
9.22.월,달걀과 채소가 신선해요
9.12.금,반응 남기기 방문일 9.12.금 2025년 9월 12일 금요일 7번째 방문 인증 수단 영수증
9.9.화,반응 남기기 방문일 9.9.화 2025년 9월 9일 화요일 47번째 방문 인증 수단 영수증
9.9.화,토마토 한박스 싱싱하네요
9.8.월,친절해요 가끔 안싱싱한 과일이 있어요ㅠ 그래도 잘 환불해주셔서 좋아요
9.8.월,반응 남기기 방문일 9.8.월 2025년 9월 8일 월요일 46번째 방문 인증 수단 영수증
9.3.수,과일이 저렴하고 맛있어요
9.3.수,반응 남기기 방문일 9.3.수 2025년 9월 3일 수요일 6번째 방문 인증 수단 영수증
9.1.월,반응 남기기 방문일 9.1.월 2025년 9월 1일 월요일 45번째 방문 인증 수단 영수증
8.30.토,왕란사러옴 가격 합리적 진철함
8.26.화,"박스 내 과일 밑쪽, 안보이는 부분이 조금 썩어있는데. 확인 필요. 맛은 있어요."
8.22.금,반응 남기기 방문일 8.22.금 2025년 8월 22일 금요일 1번째 방문 인증 수단 영수증
8.20.수,반응 남기기 방문일 8.20.수 2025년 8월 20일 수요일 1번째 방문 인증 수단 영수증
8.20.수,반응 남기기 방문일 8.20.수 2025년 8월 20일 수요일 5번째 방문 인증 수단 영수증
