date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
10.10.금,얼그레이 컵케익 맛있어요
9.25.목,반응 남기기 방문일 9.25.목 2025년 9월 25일 목요일 1번째 방문 인증 수단 영수증
24.11.13.수,다쿠아즈 넘 맛있었어요~ 직접 만드신다고 하네요~
24.11.16.토,옥수동 최애 카페에요 조용하고 디저트도 맛있고 분위기도 좋습니다 왜 사람들은 스타**카페에만 버글버글하나 모르겠어요 조용하고 커피도 훨씬 좋은 이런 카페가 전 더 좋아요👍👍
24.7.20.토,디저트 완전 맛있고 분위기도 좋아요!! 과일이 왕창!!!! 추천추천!!
24.5.3.금,바스크치즈.블루베리.얼그레이.키위 네가지 먹어봤는데 너무 맛있었어요!! 특히 과일류는 다 신선하고 생과일인 키위도 꽉꽉 넣어주시고 블루베리도 그렇구!! 바스크 치즈케이크도 치즈향이 너무 좋았어요 얼그레이도 말해뭐해입니다!! 또 사먹고싶네요🤤🤤 사장님도 친절한데 맛 또한 친절하네요 진짜 네가지 강추입니다!!🤤🤤🤤😄
24.1.7.일,집앞인데 조용한곳이라 가끔 가볼까 생각했는데 음..나만의 작은 카페다 오늘부턴 여긴 ㅜㅜ! 다쿠아즈 맛있어요
23.12.29.금,반응 남기기 방문일 23.12.29.금 2023년 12월 29일 금요일 2번째 방문 인증 수단 영수증
23.9.21.목,너무 편안한 분위기에 맛있는 디져트가 가득해요! 브라우니 엄지척!!👍👍👍
23.6.24.토,서울에서 제일 좋아하는 디저트집이에요! 특히 이번시즌에 신상으로 나온 블루로즈... 다쿠아즈 위에 생크림에 블루베리.. 그리고 로즈마리 향으로 마무리되는 완벽함 ㅠㅠㅠ 진짜 사장님 천재만재...블루베리 시즌 지나기 전에 더 자주 먹으러 올거에요!!
23.11.23.목,반응 남기기 방문일 23.11.23.목 2023년 11월 23일 목요일 1번째 방문 인증 수단 영수증
