date,content
2.14.금,완전 고급진 맛이에요~ 재료도 좋은거 쓰시는게 느껴져요ㅎㅎㅎ
1.17.금,반응 남기기 방문일 1.17.금 2025년 1월 17일 금요일 1번째 방문 인증 수단 영수증
24.3.14.목,늘 가는 곳인데 화이트데이라 들러봤어요! 사장님도 늘 따스하시고 뭣보다 사탕이랑 카라멜이 진짜 맛있어요!!🖤 가끔 내놓으시는 과자도 맛있답니당 히히 또 올게요~
23.5.17.수,오며가며 보고 언젠가 한 번은 꼭 먹어봐야지 하다가 오늘 들러봤어요 ◡̈ 가격도 맛도 넘 좋았고 사장님도 넘넘 친절하셨어요 ꈍ◡ꈍ 가게도 아기자기 예뻐서 다음에도 지나갈 때 꼭 들러서 사가려구요 🥰 클래스도 꼭 한 번 듣고 싶어요 ㅎㅎ 맛있는 카라멜 감사합니다 🫶🏻
22.4.18.월,수제카라멜 검색중 집근처에 있어 방문해봤는데.. 매장도 예쁘고 다양한 수제사탕과 수제카라멜이 많이 있더라구요. 생각이상으로 고급스런 맛이에요. 담엔 다른종류도 맛보고 싶네요^^
22.4.23.토,마음 편하게 선물하기 좋은 사탕과 카라멜이라 만족해요❣️ 수제라서 다 맛있어용 무엇보다 사장님이 되게 친절하시답니다ㅎㅎ 다음에는 원데이클래스도 가보려고요!
21.10.13.수,사장님도 항상 친절하시고 무엇보다 캬라멜이 진짜 맛있어요. 특히 솔티캬라멜 제 최애인데 집근처가 아니라 자주 못가는게 아쉽네요ㅠ.ㅠ 캬라멜 좋아하좋는분들은 꼭 드셔보세요~! 홍대에 슈*브랑 더불에 최애 캬라멜 맛집입니당!!
21.10.16.토,아주 맛있는 카라멜 입니다 🥰
21.9.10.금,사탕 정말 맛있어요~ 언제나 반겨 주셔서 감사합니다:)
21.3.10.수,반응 남기기 방문일 21.3.10.수 2021년 3월 10일 수요일 1번째 방문 인증 수단 영수증
