date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
24.2.20.화,음식 맛이 변했어요 김밥은 푸석거리고 엄청 짜고... 레시피대로 한다고는 하는데 그때 그때 변하네요 맛이...
24.1.25.목,매번 배달해서 먹는~
24.2.9.금,반응 남기기 방문일 24.2.9.금 2024년 2월 9일 금요일 17번째 방문 인증 수단 영수증
23.11.29.수,매번 배달해서 먹는~
23.12.23.토,음식 종류가 다양하고 맛있어요.
23.9.12.화,"맵찔이한테 약간 맵지만, 메뉴 구성 좋고 맛있습니다."
23.11.16.목,반응 남기기 방문일 23.11.16.목 2023년 11월 16일 목요일 1번째 방문 인증 수단 영수증
23.8.19.토,반응 남기기 방문일 23.8.19.토 2023년 8월 19일 토요일 14번째 방문 인증 수단 영수증
23.11.11.토,반응 남기기 방문일 23.11.11.토 2023년 11월 11일 토요일 1번째 방문 인증 수단 영수증
23.7.14.금,반응 남기기 방문일 23.7.14.금 2023년 7월 14일 금요일 8번째 방문 인증 수단 영수증
23.7.29.토,반응 남기기 방문일 23.7.29.토 2023년 7월 29일 토요일 13번째 방문 인증 수단 영수증
23.5.27.토,반응 남기기 방문일 23.5.27.토 2023년 5월 27일 토요일 11번째 방문 인증 수단 영수증
23.5.12.금,반응 남기기 방문일 23.5.12.금 2023년 5월 12일 금요일 10번째 방문 인증 수단 영수증
23.11.23.목,반응 남기기 방문일 23.11.23.목 2023년 11월 23일 목요일 1번째 방문 인증 수단 영수증
23.9.13.수,반응 남기기 방문일 23.9.13.수 2023년 9월 13일 수요일 1번째 방문 인증 수단 영수증
23.6.19.월,반응 남기기 방문일 23.6.19.월 2023년 6월 19일 월요일 7번째 방문 인증 수단 영수증
23.8.7.월,반응 남기기 방문일 23.8.7.월 2023년 8월 7일 월요일 2번째 방문 인증 수단 영수증
23.3.11.토,"쌀국수,분식은 스쿨푸드 자주 이용하고 있어요"
23.7.25.화,반응 남기기 방문일 23.7.25.화 2023년 7월 25일 화요일 1번째 방문 인증 수단 영수증
23.3.7.화,진짜 비싸긴 한데 맛이있어요~
23.5.28.일,배고플때 자주 먹어요
23.5.28.일,반응 남기기 방문일 23.5.28.일 2023년 5월 28일 일요일 1번째 방문 인증 수단 영수증
23.8.26.토,진짜 도시 나올때마다 사먹는데 넘나맛있어요
22.12.31.토,반응 남기기 방문일 22.12.31.토 2022년 12월 31일 토요일 8번째 방문 인증 수단 영수증
23.6.11.일,반응 남기기 방문일 23.6.11.일 2023년 6월 11일 일요일 1번째 방문 인증 수단 영수증
23.3.17.금,반응 남기기 방문일 23.3.17.금 2023년 3월 17일 금요일 6번째 방문 인증 수단 영수증
23.5.18.목,반응 남기기 방문일 23.5.18.목 2023년 5월 18일 목요일 2번째 방문 인증 수단 영수증
23.3.12.일,반응 남기기 방문일 23.3.12.일 2023년 3월 12일 일요일 1번째 방문 인증 수단 영수증
23.2.10.금,반응 남기기 방문일 23.2.10.금 2023년 2월 10일 금요일 5번째 방문 인증 수단 영수증
23.2.5.일,반응 남기기 방문일 23.2.5.일 2023년 2월 5일 일요일 6번째 방문 인증 수단 영수증
22.8.28.일,"양념만두는 속은 알찬데 양념이 좀 말랐고, 오징어튀김은 말린걸 썼어도 튀김옷이 두껍고 너무 빈약해요.어간장은 예전에 엄마도 저도 맛있게 먹었었는데 이번엔 위에만 뜨셨는지 거의 기름이랑 향이라 간이 약해서 간장 더 넣어 먹었어요ㅠ 야채는 넉넉하고 고기도 살코기로 알찬건 좋았어요. 소스만 제대로면 다른덴 잘 없는 색다르게 즐길 수 있는 메뉴예요"
23.6.2.금,반응 남기기 방문일 23.6.2.금 2023년 6월 2일 금요일 4번째 방문 인증 수단 영수증
23.1.10.화,아이가 너무 좋아해요!
23.1.15.일,반응 남기기 방문일 23.1.15.일 2023년 1월 15일 일요일 4번째 방문 인증 수단 영수증
23.3.24.금,간만에 먹었눈대 여전히 맛있어요
22.10.15.토,반응 남기기 방문일 22.10.15.토 2022년 10월 15일 토요일 7번째 방문 인증 수단 영수증
22.12.24.토,반응 남기기 방문일 22.12.24.토 2022년 12월 24일 토요일 2번째 방문 인증 수단 영수증
22.12.10.토,반응 남기기 방문일 22.12.10.토 2022년 12월 10일 토요일 3번째 방문 인증 수단 영수증
23.2.2.목,반응 남기기 방문일 23.2.2.목 2023년 2월 2일 목요일 1번째 방문 인증 수단 영수증
22.11.14.월,반응 남기기 방문일 22.11.14.월 2022년 11월 14일 월요일 2번째 방문 인증 수단 영수증
22.11.24.목,반응 남기기 방문일 22.11.24.목 2022년 11월 24일 목요일 1번째 방문 인증 수단 영수증
23.1.10.화,반응 남기기 방문일 23.1.10.화 2023년 1월 10일 화요일 3번째 방문 인증 수단 영수증
22.8.31.수,배달로 먹었는데 다른건 괜찮은데 모짜렐라 스팸계란마리는 양이 너무 적어요
23.1.4.수,반응 남기기 방문일 23.1.4.수 2023년 1월 4일 수요일 1번째 방문 인증 수단 영수증
22.10.2.일,반응 남기기 방문일 22.10.2.일 2022년 10월 2일 일요일 6번째 방문 인증 수단 영수증
23.2.9.목,반응 남기기 방문일 23.2.9.목 2023년 2월 9일 목요일 1번째 방문 인증 수단 영수증
22.12.18.일,반응 남기기 방문일 22.12.18.일 2022년 12월 18일 일요일 1번째 방문 인증 수단 영수증
22.11.7.월,반응 남기기 방문일 22.11.7.월 2022년 11월 7일 월요일 5번째 방문 인증 수단 영수증
22.11.7.월,반응 남기기 방문일 22.11.7.월 2022년 11월 7일 월요일 2번째 방문 인증 수단 영수증
22.10.29.토,반응 남기기 방문일 22.10.29.토 2022년 10월 29일 토요일 2번째 방문 인증 수단 영수증
22.10.25.화,반응 남기기 방문일 22.10.25.화 2022년 10월 25일 화요일 1번째 방문 인증 수단 영수증
22.9.15.목,좀 양이 적어요
22.8.26.금,반응 남기기 방문일 22.8.26.금 2022년 8월 26일 금요일 1번째 방문 인증 수단 영수증
23.2.18.토,반응 남기기 방문일 23.2.18.토 2023년 2월 18일 토요일 2번째 방문 인증 수단 영수증
22.8.13.토,반응 남기기 방문일 22.8.13.토 2022년 8월 13일 토요일 1번째 방문 인증 수단 영수증
23.2.5.일,반응 남기기 방문일 23.2.5.일 2023년 2월 5일 일요일 4번째 방문 인증 수단 영수증
22.10.3.월,반응 남기기 방문일 22.10.3.월 2022년 10월 3일 월요일 1번째 방문 인증 수단 영수증
22.6.29.수,반응 남기기 방문일 22.6.29.수 2022년 6월 29일 수요일 2번째 방문 인증 수단 영수증
22.10.16.일,반응 남기기 방문일 22.10.16.일 2022년 10월 16일 일요일 1번째 방문 인증 수단 영수증
22.9.18.일,반응 남기기 방문일 22.9.18.일 2022년 9월 18일 일요일 4번째 방문 인증 수단 영수증
22.9.18.일,반응 남기기 방문일 22.9.18.일 2022년 9월 18일 일요일 2번째 방문 인증 수단 영수증
