date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""아늑해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
9.21.일,파스타 맛나용 매장이 작아서 예약 필수입니다
5.19.월,"친한 동생과 제이드앤워터 왔다가 문이 닫혀서 바로 옆건물 스탠다드빌라가 보여서 바로 찾았어요.  점심 메뉴가 가성이 너무 좋은데 전 다른 파스타 먹고 싶어서 하나만 메뉴로 시켰고요.  파스타 면익힘도 적당히 탱글하니 맛있고 새우도 신선하고 매콤해서 너무 맛있었어요.  커피 두잔 시키려고 보니 커피는 매일 아침에 더치로 내린다고 하시면서 딱 한잔만 가능하다고 해서 하나는 레몬에이드 시켰는데, 커피가 정말 맛있더라고요!  사장님 혼자 주문 서빙 요리까지 하셔서 바빠보이셨지만 요리도 맛있었고 친절하셔서 또 방문하고 싶네요!"
6.15.일,"쉬림프 에그탈틴, 까르보나라, 머쉬룸크림뇨끼 이렇게 세가지 메뉴에 주스까지 주문했는데 모두 맛있었어요! 자극적이지 않은 자연스러운 맛이어서 좋았습니다. 사장님&직원분도 친절하셔서 기분 좋게 식사하고 왔어요."
5.9.금,"맛있다는 소문 듣고 간 곳인데.. 역시나 맛집 인정입니다. 음식도 빠르게 나오고, 담음새도 이뻤어요. 보통 눈에만 이쁘고 다소 맛은 아쉬운 곳들도 있는데, 여기는 찐으로 맛있어서 좋았어요. 브런치 서비스로 주신 음료도 너무 맛있었어요. 다음번엔 다른 메뉴도 먹어보고 싶네요. 번창하세요~~~^^"
6.15.일,주문한 음식이 다 맛있었어요~간도 잘 맞고 느끼할 수 있는 메뉴인데 느끼하지 않고 맛있습니다~사장님도 친절하시고 좋았어요~ 재방문할 듯 합니다^^
8.7.목,사장님 혼자서 요리해주셔서 요리 시간이 좀 걸리긴 한데 그만큼 정성이 드러간 맛이에요 :)
8.20.수,기념일에 방문했습니다. 모든 메뉴가 만족스러웠고 특히 비스크와 버섯 뇨끼가 맛있었어요. 여기만의 특별한 분위기가 있어 다시 방문하게 될 것 같습니다😄
4.21.월,첨 오게됬는데 넘 맛집이 숨어있었네요!!! 같이 먹은 딸래미도 👍엄지척 했네요!! 다른 먹어보지못한 메뉴도 기대되어요~~ 조만간 또 올듯하네요!! 리뷰이벤트도 없는 리뷰이벤트~~ 맛난 식사에 기분좋아서 자발적으로 찐리뷰 쓰게되네용♡
3.29.토,토핑은 거의 없고 깔끔한 느낌의 요리에요 토마토는 무난하고 리조또가 맛있었어요
3.23.일,"운동 끝나고 지나가는 길에 늘 사람이 많길래 호기심에 가봤는데 음식도 늦게 나오고 가격대비 굳이 찾을만함 맛인가라고 생각해보면 잘 모르겠어요. 위치나 접근성, 접객 대비 비싼 가격인 것 같고 점심에 브런치 메뉴가 벌써 다 소진되서 안된다는 게 잘 이해되지 않네요. 한 끼를 위해 방문할 만큼 큰 메리트는 없는 것 같아요."
1.24.금,"남자친구랑 맛있는 파스타 먹고 싶어서 엄청 찾아보다가 갔던 곳인데 제 써치실력에 또 한 번 감동했네요 너무 맛있었어요! 남자친구는 인생 까르보나라 찾았다며 기뻐했고 저도 마찬가지였습니다,,! 자주 가기에 조금 먼 거리라 아쉬워서 뇨끼도 시켰는데 버섯좋아하신다면 강추에요! 물론 쉬림프 파스타도 새우도 많고 맛있답니다!!"
3.9.일,"옥수동의 보물! 주말에 맛있는 식사로 힐링하고 갑니다. 면의 익힘도, 와인을 부르는 소스도 완벽해요. 친절하신 사장님, 직원분까지 더할나위 없습니다^^b 최고최고ㅎㅎ"
5.1.목,샐러드 신선해요!!! 파스타는 맛있는데 양이 작아요ㅠ 조금만 양이 늘어도 좋겠어요 여자가 먹어두 좀 부족할 양이에요ㅠ 후후. 맛은채고!
24.12.7.토,"옥수역 7번출구 5분 거리. 언덕에 있는 예쁜 레스토랑이라 이전부터 가려고 벼르던 곳. 콥샐러드의 무한한 양에 놀라고, 담백한 파스타 맛에 또 한 번 놀람. 평일 런치는 좀 더 저렴한 가격에 세트처럼 먹을 수 있음. 평일에 다른 메뉴 먹으러 오려 함. 공간이 살짝 비좁은 게 아쉬운 점. 다시 예약할 땐 매장 우측 창가석을 찜해볼 생각. 곧 다시 찾아뵐게요."
5.11.일,콥샐러드와 탈틴(새우) 맛있어요! 너무 신선~~~ 샐러드와 커피 종류가 좀 더 추가되면 좋을 것 같아요ㅎㅎ
1.25.토,가족모임으로 다녀왔는데 음식도 너무 맛있고 깔끔하고 양도 많네요.  음식 잘한다 라는 표현이 절로 나와요.  재방문의사 100!!
5.4.일,스탠다드 빌라 6.5.목 주말 점심 예약 방문 주셨었죠? 멋지고 예쁜 사진까지 남겨주셔서 정말 감사합니다. 부디 행복하고 즐거운 시간 보내셨길 바라며 다음에 또 뵙길 기다리고 있을께요. 감사합니다. :-) 접기
24.12.18.수,"사장님 너무 친절하시고, 가게 분위기가 제스탈 ! 그리고 에그요리 맛있었어요 ㅠㅠ 트러플 뇨끼두요! 제가 원래 엔초비는 안좋아해서 친구 때문에 시켰지만 다음 방문때는 다른 파스타 먹랑 에그요리 먹으러 또 갈게요 ☺️☺️"
3.24.월,사장님이 너무 친절하셨고 음식이 건강하게 맛있어서 만족스러웠습니다❕
24.12.25.수,"메뉴 3개 먹었는데 음식이 빨리 나오고, 플레이팅도 예쁘고, 맛있었어요!!!"
24.12.27.금,"몇 년만에 방문인데, 여전히 맛있고 좋았어요^^"
24.10.9.수,"옥수역 브런치 파스타 맛집인 스탠다드 빌라! 옥수역에서 도보로 갈 수 있고 가게가 아담해서 좌석이 많지 않더라구요. 네이버 예약이 가능해서 좌석 걱정 된다면 미리 예약하고 가시는 게 좋아요👍 저희는 볼로네제파스타, 머쉬룸 크림 뇨끼를 주문해서 먹었는데 뇨끼가 왜 대표메뉴인지 알 정도로 쫀득하고 버섯도 듬뿍 들어가 있어 넘 맛있었어요🥹👍 주말 오후에 가면 탈틴 등 품절된 메뉴가 많아서 오전에 가보세요! 넘 맛있어서 다음에도 또 재방문 하고 싶을 정도였어요."
