date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
9.24.수,회사 동료들과 처음 방문했는데 커피가 느무 맛나요👍 다음에 또 방문하고 싶어요❤️
10.2.목,항상 친절하시고 커피도 빵도 맛있어용
3.11.화,"바닐라 라떼를 마셨는데, 빈이 들어가서 풍미가 좋았습니다~~"
24.2.20.화,토스트 중 카야버터가 제일 맛있는 것 같습니다. 다양하게 시켜서 10분정도는 걸릴 줄 알았는데 5분만에 메뉴가 다 나왔어요~~
23.2.15.수,너무 맛있네요 초코마들렌 춡출해서 아무생각없이 먹었다가 맛있어서빈그릇만 찍어서 올립니다 ㅎ커피와마들렌궁합은 …..사하라 사막에서 길잃고 헤메다 대추야자와 삼다수생수얻어마신것같이 너무 좋네요~^
23.8.24.목,반응 남기기 방문일 23.8.24.목 2023년 8월 24일 목요일 2번째 방문 인증 수단 영수증
23.8.19.토,반응 남기기 방문일 23.8.19.토 2023년 8월 19일 토요일 1번째 방문 인증 수단 영수증
22.12.14.수,"디저트와 음료가 둘다 아주 만족스럽고 맛있었고, 특히 마늘빵 서비스로 주신거 진짜 너무 맛있어서 꼭 다시 구매하러 갈겁니다…인테리어 아기자기 예뻤고 이것저것 시도해보고 싶은 메뉴가 많아서 꼭 다시 가고싶은 카페입니다."
22.12.2.금,매장에서 추가 주문한 토스트가 굿! 매장 일찍 열고 준비도 잘 해주셔서 포장주문 제 시간에 맞춰 사갔어요
23.1.20.금,반응 남기기 방문일 23.1.20.금 2023년 1월 20일 금요일 1번째 방문 인증 수단 영수증
22.9.3.토,되게좁아요. 안쪽에 한두명 앉을 좌석 있습니다! 잠시 앉아서 이야기하기엔 괜찮습니다.
22.11.3.목,반응 남기기 방문일 22.11.3.목 2022년 11월 3일 목요일 1번째 방문 인증 수단 매장주문
22.9.29.목,반응 남기기 방문일 22.9.29.목 2022년 9월 29일 목요일 1번째 방문 인증 수단 영수증
