date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""향신료가 강하지 않아요""","""향신료가 강하지 않아요"""
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
9.20.토,간단하고 건강하게 먹기 좋네요. 친절하세요 또 올게요.
10.11.토,회들어간 포케먹고싶어서 왔는데 참치랑 연어 있어서 좋았어요~ 다음엔 솔트엔페퍼 앞다리살도 먹고싶어요
10.17.금,맛있어소 또 왔습니당 여기 최고에요~다음에 도 올게요
9.24.수,혼밥하기 짱좋아여 포케도 맛있어요!!
10.16.목,시험기간에 먹으러 왔어요 건강한 맛 좋아요😋
10.17.금,혼밥하기 좋고 맛있어요!
9.11.목,항상 맛있게 잘 먹고 있습니다~
8.7.목,첫방문인데 음식이 신선하구 깔끔해요-!!!! 매장은 첫이용. 💪🏻
9.15.월,양도 푸짐하고 재료가신선한것같습니당 ㅎㅎ
9.13.토,반응 남기기 방문일 9.13.토 2025년 9월 13일 토요일 19번째 방문 인증 수단 영수증
