date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""아늑해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
6.28.토,"정식2인에 오징어볶음, 계란찜 추가해서 큰언니 둘이 아점하고 왔어요^^ 다른 식당들은 더 늦게 오픈해서 시간대 맞고 한식이라야 하는 우리들^^ 관광들에 입맛을 고려한건지 슴슴하고 달달한듯 시골밥상 밥 반찬들^^ 와중에 계란찜 완전 옛날식 맛있게 먹었어요!!"
8.17.일,연극 보고 밥먹으려고 들른곳. 진짜 맛있다.
9.2.화,근처에 밥먹을곳 찾다가 알게되서 갔는데 반찬 너무 잘나오고 가성비 좋게 잘 먹고왔어요~ 단점이 가게 내부가 작은거랑 주차할곳 없는거만 빼면 최고입니다
9.21.일,무조건 강추인데 백반시키고 추가로 다른 매뉴를 돈 받는건 좀 그러네요 백반아니여도 다른메뉴를 따로 시켜으면 어땧을까 싶네요ㅠㅠ
9.24.수,다양한 반찬이 건강해 보여요.
6.29.일,반찬 가짓수 많고 다양하지만 굳이 찾아와서 웨이팅까지 하면서 먹을만한곳은 아닌거 같아요. 매장이 엄청 좁아서 많은 인원이가서 먹기엔 불편한곳입니다.  *참고로 주말에는 주류 주문이 불가합니다.
6.22.일,가성비이만한게없쥬 정식2개에 추가요리1개시키면 될듯
7.5.토,반찬의 가짓수에 놀란 밥집. 맛은 생각하기 나름^^
7.25.금,위생이 걱정되었고 화장실이 수직 계단 올라가서 2층에 계란찜은 진짜 최악 옛날에 만들어 놓고 팔지 못한걸 데워나온듯 진짜 최악 스펀지 수준 제육은 고기 부위가 여러개에 질겨요 반찬은 가짓수만 많고 쉰맛 가족끼리 간거라 기분 망치기 싫어 좋게 나 옴 친구랑 갔으면 안먹고 나올 수준
4.20.일,음식도 정갈하고 오징어랑 제육도 넘 맛나요~~ 꼭 가보셔요~~~~~~~~~
4.25.금,"백반 일인 ₩12,000. 반찬이 너무 많아요. 맛있는 반찬으로 푸짐하게 나오는것이 더 나을것 같아요. 한식백반인데 주방에 외국주방아주머님들만 계시더군요....어쨌든 감사합니다."
6.21.토,다양한반찬 비교적 저렴한 가격이라 큰 불만없이 먹었네요
6.12.목,다양한 반찬을 한번에 먹을 수 있어서 좋고 게다가 맛도 있으니 좋네요! 제육은 치킨스톡?같은 맛이 나는 조금 다른 맛이었어요! 다른 다양한 반찬은 너무 좋았습니다!
5.2.금,"사진으로 보기에는 이쁘게 나오기만 하고 양은 엄청 적어요..  2인분 양이라고 하기에는 가격대비 너무 빈약한…  반찬 그릇 당 2개씩.. 메추리알 2개, 호박 2개, 오이 2개…  리필 된다고 말은 하시는데.. 1번 먹으면 바로 또 리필해야함;"
2.28.금,후기에 반찬으로 인한 별로 좋지않은 경험담을 올렸기에 악풀이라 생각했으나.. 그 이유를 경험으로 헤아려봅니다. 반찬리필을 해주신다더니 10분이상기다려도 안와서 기다리다 2가지 그릇 가져가서 타다 먹었어요. 그냥 주실거면 기분 좋게 주시고 아예 조금 넉넉히 반찬 놓아주셔요.. 딱 호박도 2~3조각 한젖가락 씩이라. 모자라요.. 악플이라 생각 했는데 제가 이런글 쓸줄은 몰랐네여
