date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
9.15.월,사장인지 종업원인지 뭔지 말투가 좀 어이가 없네요. 밥다먹고 나가는데 수고하세요 하고 나가는데 결재 했어요?하길래 네? 하니깐 결재 이러길래 핸드폰으로 했어요 하니깐 그냥 에 하고 고개 돌려 버리네요. 혼자 먹기 편해서 가끔 갔는데.  두번 다신 안갈듯
2.3.월,"수육, 파전 나올땐 무조건 갑니다."
1.13.월,내일은 어떤 메뉴가 나올지 기대되는 점심 맛집
2.10.월,반응 남기기 방문일 2.10.월 2025년 2월 10일 월요일 10번째 방문 인증 수단 결제내역
24.12.2.월,가성비 기사식당 ! ㅎㅎ 항상 줄이 많아서 못가봤는데 드디어 입성 !! 리필도 되고 한끼로 부담 없고 좋았어요
1.10.금,아직까진 주변 가성비 탑급 점심식사하는곳
1.7.화,좋아요 평일점심 매번 이용해요 도시락에도 반찬많이 담아주시면 더더좋을거같아요 ^^
24.12.27.금,이 날도 좋았습니다.
24.12.6.금,기다려도 먹을만한 점심 맛집
24.12.30.월,다양하게 바뀌는 메뉴가 특징인 밥집입니다.
24.12.20.금,뚝섬역 근처 직장인 점심의 메카
24.10.28.월,"더이상 반찬 리필, 국 리필, 이런 것은 기대할 수 없어보입니다. 준비가 안되어있는 경우가 종종 있네요"
2.6.목,반응 남기기 방문일 2.6.목 2025년 2월 6일 목요일 1번째 방문 인증 수단 영수증
24.11.29.금,메뉴가 다양해서 주 5일가도 안지겨운 점심 맛집
24.10.30.수,"최악의 점심식사였습니다.  미리 해둔 음식을 담아서 서빙해주시는 도시락 혹은 급식 같은 메뉴였으나, 음식은 모두 준비가 되어있지 않았고, 저희 앞에 이미 다섯 테이블 이상 음식이 나오지 않아 기다리고 있는 상태였습니다. 음식 준비 시간이 오래 걸리고, 직원분들이 일머리가 없으신건지 서빙 역시 느렸습니다. 이렇게 손이 느리실거면 뷔페를 하시는게 낫다고 생각했습니다. 잔반 버리기 및 접시 정리까지 손님에게 시키시면서 음식도 느리고, 맛있지도 않은 가게였습니다."
24.8.8.목,처음 방문했어요. 배달로만 시키다가. 손님들 많아지니 직원분들 너무 정신없어 보임. 반찬 다른 건 맛있었는데 오이냉국 한입 먹으니 식초국이라.. 물로 희석해도 또 같음.. 뭐지 했고 계산할때 물어보니 국이 잘 못되었다고만 답변하고 양해의 말도 없고... 음식을 만들 면서 간을 안보시나봐요..
24.8.22.목,반응 남기기 방문일 24.8.22.목 2024년 8월 22일 목요일 6번째 방문 인증 수단 영수증
24.5.22.수,생긴지 얼마안된 백반집인거 같아 다녀왔습니다. 깔끔하니 맛있는데 인테리어 분위기도 참 좋네요~ 가끔 와서 점심 먹고 가기 좋을듯 합니다!
24.8.16.금,"별로임... 양도 줄고 직원도 예의없고 메뉴가지고 장난질침. 쪽갈비 품절이래서 걍 소불고기 준다는거 ㅇㅋ 했더니 원래 전에왔을때 양의 절반도 안되게 주네? 심지어 반 이상이 버섯이나 양파. 양을 적게, 그것도 대체메뉴 줄거면 이런식으로 장난질 치는건 아니지 않나? 계란말이는 한조각도 아니고 반조각 줘놓고 리필할라니까 없대. 새로한대. 그럼 이거 4명한테 남들이 먹고남은 2조각 더굽기 싫어서 네개로 나눠서 짬처리했다는 말밖에 더 됨? 내가 무슨 짬타이거나 음쓰먹는 가축도 아니고 돈내고 먹는데 계란말이 더 없냐했다고 황당한 눈으로 보고 사람 앉은 바로 뒷자리에서 귀 찢어질정도로 큰소리로 그릇 옮기고... 어차피 우리가 마지막 손님인데 나가고 하면 덧나나. 다신 안감."
24.6.13.목,너무맛있는 점심 정식!
24.7.4.목,매일매일 달라지는 반찬에 리필도 가능하고 가성비 좋은것같아요 !
24.1.29.월,뚝섬역에서 가장 맛있는 점심맛집😘 늘 달라지는 메뉴구성에 맛까지 있으니 안 갈 수가 없어요ㅜㅜ 회전율도 나름 빨라서 기다렸다 먹지만 오지마~ 저만 알고 싶은 맛집입니당ㅋㅋ 메뉴들이 하나같이 정갈하고 맛있어용>< 메인메뉴는 리필이 안돼도 그 외의 반찬들은 리필이 되는데 그 외 반찬들이 너무 맛있어서 끊을 수 없는 시치미 쫀맛탱😋
24.8.14.수,반응 남기기 방문일 24.8.14.수 2024년 8월 14일 수요일 5번째 방문 인증 수단 영수증
24.6.24.월,평소에 시치미 시원 둘다 너무 애정하는데요 점심 시치미 안경쓰신 알바분 ..너무 느려요... 갈때마다 바쁜 점심시간에 혼자 서빙하시는데 음식 먼저 안내주시고 물채우고 계시고 음식 떨어진거있어서 기다리라하시고 아무것도 안하고 멍때리고 계시고..나머지 반찬이라도 먼저 푸시거나 주시면 좋을거같나뇨...너무 늦게나와서 점심시간에 가기힘들어요
24.1.17.수,"너무 맛있어요! 한 번 가면 단골됩니당>< 반찬은 평범하고 한식파가 아닌 사람이 보기엔 뭐야 나물이잖아? 하는데 가서 먹어보면 존맛이에요!! 오이냉국수 처음 먹어보았는데 간도 딱 맞고 입맛을 돋구어줍니당! 다릉 반찬들도 너무 맛있고 매일 달라지는 반찬들도, 쉐프님이 특히 요리 자체를 매우 잘 하십니다! 저 같은 편식쟁이가 이틀 내내, 매주 갈 정도니까요😋"
24.1.31.수,음식이 정말정말 깔끔하고 담백한 맛이에요!!! 콩나물무침 정말 최고 ㅠㅠㅠㅠ!!!!!!! 밥을 스쿱으로 쪼금씩 퍼야하는 것 말고는 정말 대만족입니다 ㅋㅋㅋㅋㅋㅋ 그리고 밥 적절한 찰기가 멋졌어요🤡 너무 맛있어서 과식하고 싶은 곳 ㅇㅇㅇ 핥아먹고갑니드아아앙 아! 그리고 인기가 너무 많아서 입장이 어려운 것도 단점이라면 단점 ㅜㅜ 흜훍흙
24.4.25.목,맛있어요~ 늘 사람이 붐비는곳
24.8.7.수,반응 남기기 1 명 방문일 24.8.7.수 2024년 8월 7일 수요일 1번째 방문 인증 수단 결제내역
