date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""룸이 잘 되어있어요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
8.29.금,"카라데미돈까스 새로 나왔다고 해서 먹어봤는데 맛있었어요! 한그릇 구성이라 점심메뉴 간단히 먹기 좋구, 맵기 2단계로 했는데 많이 안 매워서 다음에는 3단계로 먹어보려고요!🔥"
7.19.토,마파두부랑 돈가스 먹었는데 너무 맛있었어요!! 둘다 다른 곳에서 먹은 맛이랑 약간씩 다른데 다르게 너무 맛있었어요 너무 짜거나 하지 않고 간도 딱 맛있었어요🤩 돈가스는 소스가 부어져 있어도 바삭하고 고기가 엄청 두툼했어요 마파두부도 살짝 매콤하면서 호로록 들어가서 넘 맛났어용 돈가스 곱빼기도 무료라 곱뺘기 했는데 완밥했습니다ㅎ 사장님도 너무 친절하시고 매장 분위기도 완전 일본풍이라 색다르고 좋았습니당 담에 또 올거같아요🍚🍚
